ID, RESTAURANTE, PISCINA, PARQUEADERO, WIFI, TV, H24
 174,0,1,0,1,0,0
 175,0,0,1,0,0,1
 176,1,0,0,0,0,0
 177,0,0,0,1,1,0
 178,0,0,0,0,0,1
 179,1,0,1,1,1,1
 180,1,1,0,0,0,1
 181,0,0,1,1,0,0
 182,0,0,0,1,0,1
 183,1,1,0,1,1,0
 184,0,1,0,1,1,0
 185,1,0,1,0,0,0
 186,0,1,0,1,0,0
 187,0,1,1,1,1,0
 188,1,0,1,0,0,0
 189,0,0,1,0,0,1
 190,1,1,1,0,1,0
 191,1,1,1,0,1,0
 192,0,0,1,1,0,1
 193,0,0,1,1,1,1
 194,0,0,0,0,0,0
 195,1,0,0,0,1,1
 196,0,0,0,0,0,0
 197,1,1,0,0,0,1
 198,0,1,1,1,1,0
 199,0,1,1,1,0,0
 200,1,1,0,1,0,1
 201,0,0,1,1,0,0
 202,1,1,1,1,0,1
 203,1,1,0,1,0,0
 204,1,1,1,0,0,0
 205,1,1,1,0,0,0
 206,1,1,1,1,0,0
 207,1,1,0,0,1,1
 208,0,0,1,0,0,1
 209,1,1,1,0,0,1
 210,0,0,0,1,1,1
 211,1,1,1,1,1,1
 212,1,0,0,0,0,1
 213,0,0,1,0,0,0
 214,0,0,0,0,0,1
 215,1,0,1,1,1,0
 216,1,1,0,0,1,1
 217,0,1,1,1,0,0
 218,1,1,1,1,1,0
 219,1,0,1,1,1,1
 220,0,0,0,1,0,0
 221,1,1,0,0,1,1
 222,0,0,1,0,0,0
 223,1,0,1,0,0,0
 224,0,0,0,0,1,0
 225,1,1,0,0,0,1
 226,1,1,0,1,1,1
 227,0,1,0,0,1,1
 228,1,1,1,0,0,1
 229,0,1,0,0,1,1
 230,0,0,1,1,1,0
 231,0,1,1,0,1,1
 232,1,0,0,0,1,0
 233,1,1,0,0,0,1
 234,1,0,0,0,0,0
 235,1,0,1,0,1,0
 236,0,1,1,0,1,0
 237,1,0,0,1,1,0
 238,0,0,0,0,1,1
 239,1,1,1,1,1,1
 240,1,1,1,1,0,1
 241,0,1,0,1,0,0
 242,1,1,1,1,1,0
 243,0,0,0,0,0,0
 244,1,0,0,1,1,1
 245,1,1,0,1,1,1
 246,0,0,0,0,1,0
 247,1,1,1,0,0,0
 248,0,0,1,0,0,0
 249,1,0,1,1,1,1
 250,1,0,1,1,0,0
 251,1,0,0,1,0,1
 252,0,0,1,0,0,1
 253,1,0,0,1,0,1
 254,0,0,1,1,1,0
 255,1,1,1,0,0,1
 256,0,0,1,0,0,1
 257,0,0,1,0,0,1
 258,0,1,0,1,0,1
 259,0,1,1,1,0,0
 260,1,1,0,1,0,1
 261,1,0,1,0,1,0
 262,0,1,0,0,0,1
 263,1,1,1,0,0,0
 264,0,0,1,0,1,1
 265,1,1,0,0,1,0
 266,1,1,1,0,1,1
 267,1,1,1,0,1,0
 268,1,0,0,0,0,1
 269,0,0,0,1,1,0
 270,1,0,0,1,0,1
 271,1,1,0,0,0,1
 272,0,0,0,0,0,1
 273,1,0,1,0,0,0
 274,0,1,0,1,0,1
 275,1,1,1,0,0,0
 276,0,1,0,0,1,1
 277,0,1,1,1,1,1
 278,1,0,0,1,0,1
 279,1,1,0,0,1,0
 280,0,0,0,1,0,0
 281,0,1,1,1,0,1
 282,0,0,0,1,1,1
 283,0,1,1,0,0,1
 284,1,1,1,0,1,1
 285,1,0,1,0,1,1
 286,0,0,1,1,0,1
 287,0,0,1,1,0,1
 288,1,0,1,1,1,0
 289,0,0,0,0,1,0
 290,1,0,0,1,0,1
 291,0,1,0,0,1,1
 292,0,0,0,0,0,0
 293,0,0,0,0,0,1
 294,1,1,0,1,1,0
 295,0,1,1,1,1,1
 296,1,1,0,1,0,0
 297,1,0,0,0,1,1
 298,0,0,0,1,0,0
 299,0,0,1,1,1,1
 300,0,1,0,0,0,0
 301,1,1,0,0,0,0
 302,1,1,1,0,1,1
 303,0,1,1,0,1,0
 304,1,0,0,0,0,0
 305,0,1,0,1,1,0
 306,1,0,0,0,1,0
 307,0,0,0,1,0,0
 308,1,1,1,0,1,1
 309,1,0,0,1,0,1
 310,0,0,1,0,0,0
 311,1,1,1,0,1,0
 312,0,1,1,0,0,1
 313,0,0,0,1,1,0
 314,0,1,1,0,1,0
 315,0,0,1,1,1,0
 316,0,0,0,1,0,0
 317,0,0,1,0,1,0
 318,0,1,1,0,0,1
 319,1,1,1,1,0,1
 320,1,1,0,0,0,0
 321,1,1,0,1,1,0
 322,1,0,0,1,1,0
 323,0,1,0,1,0,0
 324,1,1,1,0,0,1
 325,0,1,0,1,0,0
 326,1,0,1,1,1,0
 327,1,0,0,0,1,1
 328,1,0,0,1,0,0
 329,1,1,1,0,0,0
 330,0,0,1,0,0,0
 331,1,0,0,0,1,0
 332,1,1,0,0,1,0
 333,0,0,1,0,1,1
 334,0,0,1,0,0,1
 335,1,0,0,1,1,1
 336,0,0,1,0,1,1
 337,1,1,0,1,0,1
 338,0,0,0,1,0,0
 339,1,1,0,1,0,0
 340,0,0,1,0,0,0
 341,0,1,1,0,0,1
 342,1,1,0,0,1,1
 343,1,1,1,1,0,0
 344,0,0,0,0,0,1
 345,1,0,0,0,1,0
 346,1,0,1,0,0,1
 347,0,1,1,0,0,1
 348,1,1,0,1,1,1
 349,1,1,1,1,1,0
 350,0,1,1,0,0,0
 351,1,1,1,0,1,0
 352,0,1,0,0,0,0
 353,0,1,1,0,1,1
 354,0,0,0,1,1,1
 355,0,1,0,1,1,0
 356,0,1,1,1,0,0
 357,0,0,0,1,1,1
 358,0,0,0,1,1,0
 359,1,0,0,1,0,0
 360,1,0,1,1,1,1
 361,0,1,0,0,0,0
 362,1,0,1,0,0,0
 363,1,0,0,1,1,0
 364,0,1,0,0,0,1
 365,1,0,0,0,0,0
 366,0,1,1,0,0,0
 367,0,1,1,0,0,1
 368,0,1,0,0,1,0
 369,1,0,0,0,0,1
 370,0,1,1,0,0,1
 371,0,0,1,1,1,1
 372,1,0,0,1,0,0
 373,1,0,0,1,0,1
 374,0,0,1,0,1,1
 375,0,0,0,0,1,1
 376,0,1,0,1,1,1
 377,0,0,1,1,1,1
 378,0,1,0,0,0,0
 379,0,0,0,0,0,0
 380,0,0,0,1,1,0
 381,0,1,1,1,1,1
 382,0,0,0,1,1,1
 383,1,0,0,0,1,1
 384,1,1,0,0,0,1
 385,1,1,0,0,0,0
 386,0,0,1,0,0,0
 387,1,1,1,1,0,1
 388,1,1,0,0,1,0
 389,0,0,1,0,0,1
 390,1,1,1,1,1,0
 391,1,0,1,0,1,1
 392,0,1,1,1,0,1
 393,0,1,1,1,0,1
 394,0,0,0,1,1,1
 395,0,0,0,0,0,0
 396,1,0,0,0,1,1
 397,0,1,0,0,0,0
 398,1,0,1,1,1,0
 399,1,1,0,1,0,1
 400,1,0,0,0,1,1
 401,1,0,1,0,1,0
 402,0,0,1,0,0,1
 403,1,0,0,0,0,1
 404,0,0,0,0,0,1
 405,1,1,1,0,0,1
 406,0,1,1,0,0,0
 407,1,0,1,1,0,1
 408,1,0,0,1,1,1
 409,1,1,1,1,0,1
 410,0,0,1,1,0,0
 411,0,1,1,0,0,0
 412,0,1,0,0,1,1
 413,0,1,1,0,0,1
 414,1,0,0,0,0,1
 415,1,1,1,1,1,1
 416,1,0,0,1,0,0
 417,0,0,0,0,0,0
 418,0,0,0,0,0,0
 419,0,0,1,1,0,0
 420,1,0,1,0,1,1
 421,1,0,1,0,1,0
 422,1,1,0,1,0,1
 423,0,0,1,1,0,1
 424,0,0,0,1,0,0
 425,0,1,0,1,1,0
 426,0,1,1,0,0,0
 427,1,0,1,0,1,0
 428,1,0,0,0,1,1
 429,1,1,0,0,0,0
 430,1,1,1,0,1,0
 431,0,1,0,0,1,1
 432,0,1,0,0,0,0
 433,1,0,1,0,0,0
 434,1,0,0,0,1,1
 435,1,1,1,1,1,0
 436,1,0,1,0,1,1
 437,1,1,1,1,0,1
 438,1,1,0,1,0,1
 439,1,1,0,1,1,0
 440,1,1,1,0,0,1
 441,1,0,1,1,0,0
 442,0,1,0,1,0,0
 443,1,0,1,0,0,1
 444,1,1,0,1,1,1
 445,1,1,0,1,0,1
 446,0,1,1,0,0,0
 447,0,0,1,0,1,1
 448,0,0,0,0,0,1
 449,0,1,0,0,0,0
 450,0,0,0,0,0,1
 451,0,0,0,1,1,0
 452,0,0,1,0,1,0
 453,1,0,1,0,1,1
 454,1,0,0,0,0,0
 455,0,1,1,1,1,0
 456,1,1,1,0,1,1
 457,1,1,1,0,1,0
 458,0,0,0,0,1,1
 459,1,0,1,0,1,0
 460,1,1,1,1,1,0
 461,1,1,0,0,0,0
 462,1,1,0,1,0,1
 463,1,1,0,1,1,0
 464,1,0,0,0,1,0
 465,0,0,0,0,0,0
 466,1,1,0,1,1,1
 467,1,0,0,0,0,1
 468,0,1,0,1,1,0
 469,0,1,0,1,1,1
 470,1,1,0,1,0,0
 471,1,1,0,1,0,1
 472,0,1,0,0,0,0
 473,1,0,1,0,1,0
 474,0,0,0,1,1,0
 475,1,1,1,1,0,0
 476,0,0,1,0,1,1
 477,1,1,0,1,0,1
 478,0,1,1,0,1,0
 479,0,0,1,0,1,0
 480,0,1,1,0,1,0
 481,1,1,0,0,0,0
 482,1,0,0,1,0,0
 483,1,0,0,1,1,1
 484,1,0,1,0,0,1
 485,1,0,1,0,1,1
 486,1,1,0,0,1,1
 487,0,1,0,0,0,0
 488,1,1,1,1,0,1
 489,1,1,0,1,0,0
 490,0,1,0,0,1,1
 491,1,1,0,1,0,1
 492,0,1,0,1,1,0
 493,0,0,1,1,0,1
 494,1,0,0,0,0,0
 495,0,0,0,0,1,1
 496,1,1,1,0,1,1
 497,1,0,0,1,1,1
 498,1,0,0,1,1,0
 499,1,0,0,0,0,1
 500,1,0,1,0,0,1
 501,1,0,0,0,0,1
 502,1,0,1,1,1,1
 503,0,0,0,0,1,1
 504,0,1,0,0,0,1
 505,0,1,1,0,1,1
 506,1,0,0,1,0,0
 507,1,0,0,1,0,1
 508,0,1,0,1,0,1
 509,1,1,0,0,1,1
 510,0,1,0,0,1,1
 511,0,0,0,0,1,1
 512,0,0,1,1,0,0
 513,0,1,1,0,1,0
 514,0,1,0,1,1,1
 515,0,1,1,0,1,0
 516,1,0,0,0,0,1
 517,1,0,0,0,1,1
 518,1,0,0,0,0,1
 519,0,0,1,1,1,1
 520,1,1,0,0,0,1
 521,1,1,0,1,0,0
 522,0,0,1,1,0,1
 523,1,0,0,1,0,0
 524,0,0,1,0,0,1
 525,1,1,1,0,1,0
 526,0,1,1,0,1,1
 527,1,1,1,0,1,0
 528,0,0,0,1,0,1
 529,0,0,1,0,1,1
 530,1,0,0,1,1,0
 531,0,0,1,0,1,0
 532,1,1,1,1,0,1
 533,1,1,0,0,0,0
 534,0,0,0,0,0,0
 535,1,1,0,0,1,0
 536,0,1,1,1,1,0
 537,0,0,0,0,0,0
 538,0,0,1,1,1,0
 539,1,1,1,1,1,1
 540,0,0,1,1,0,0
 541,1,1,0,0,1,1
 542,0,1,0,1,1,1
 543,1,0,1,1,0,0
 544,1,1,1,0,1,0
 545,1,1,1,1,0,0
 546,0,1,0,1,0,0
 547,0,0,0,1,0,0
 548,1,0,1,0,1,0
 549,0,0,0,0,1,0
 550,1,0,1,0,1,1
 551,1,1,1,1,1,0
 552,1,0,0,0,1,1
 553,0,0,0,0,0,0
 554,0,1,1,0,0,1
 555,0,0,0,0,1,0
 556,1,1,0,0,0,1
 557,0,1,1,0,0,0
 558,0,1,1,0,1,0
 559,1,0,1,1,1,1
 560,0,0,0,1,0,1
 561,1,0,1,1,0,1
 562,1,0,1,0,1,1
 563,0,0,1,1,0,0
 564,1,1,1,0,0,1
 565,0,1,1,0,1,1
 566,0,0,0,0,0,0
 567,0,1,0,1,0,1
 568,0,0,1,0,1,0
 569,1,1,0,1,1,0
 570,0,0,0,0,1,0
 571,0,0,1,1,1,0
 572,1,0,0,1,0,0
 573,1,1,0,1,1,1
 574,0,1,1,0,0,0
 575,1,1,0,1,0,1
 576,1,1,0,0,1,1
 577,0,0,0,0,0,1
 578,1,1,0,1,0,0
 579,0,1,1,1,0,1
 580,0,1,1,0,1,1
 581,0,0,1,1,1,1
 582,1,1,0,0,0,1
 583,1,0,1,1,1,1
 584,0,0,0,0,0,1
 585,0,0,1,0,0,1
 586,1,1,0,0,1,1
 587,1,0,0,1,1,0
 588,1,0,1,0,0,0
 589,0,0,0,1,0,1
 590,0,1,1,0,1,1
 591,1,0,1,1,0,0
 592,1,0,1,1,0,1
 593,1,0,0,1,0,0
 594,1,1,1,0,0,1
 595,1,1,1,1,0,1
 596,1,1,1,1,0,1
 597,1,1,1,0,1,1
 598,1,1,0,0,1,0
 599,1,1,0,0,0,0
 600,0,1,0,0,1,0
 601,1,0,1,1,0,1
 602,1,1,0,0,0,1
 603,0,1,0,0,1,1
 604,1,0,1,0,1,0
 605,1,0,0,0,1,0
 606,0,1,1,0,0,1
 607,0,1,1,0,0,0
 608,0,1,0,0,0,0
 609,1,1,1,0,0,0
 610,0,0,0,0,1,1
 611,0,1,0,1,1,1
 612,0,0,1,0,1,0
 613,1,0,1,0,0,0
 614,1,1,1,0,1,1
 615,0,1,0,1,1,1
 616,0,0,1,0,0,1
 617,1,0,1,1,1,1
 618,1,1,1,1,0,1
 619,1,1,0,1,1,1
 620,1,1,1,0,0,1
 621,0,0,1,1,0,1
 622,1,1,1,0,1,0
 623,0,1,0,0,1,1
 624,0,1,0,0,0,1
 625,0,1,0,0,1,0
 626,1,1,1,1,0,1
 627,0,1,1,1,0,0
 628,1,1,1,0,1,1
 629,1,0,0,0,1,1
 630,0,0,0,1,1,0
 631,1,0,1,1,1,0
 632,0,1,0,0,0,0
 633,0,0,0,0,0,0
 634,1,0,1,0,0,1
 635,1,0,1,0,1,0
 636,0,1,1,0,0,1
 637,1,1,1,0,1,1
 638,1,1,0,0,0,1
 639,1,0,0,0,1,1
 640,0,1,1,0,1,0
 641,0,0,0,1,1,1
 642,0,0,0,1,1,0
 643,0,0,0,1,1,0
 644,0,0,1,0,0,0
 645,0,0,0,1,1,0
 646,1,1,1,0,1,1
 647,0,1,0,0,1,0
 648,0,0,1,1,0,0
 649,1,1,1,0,0,0
 650,1,1,0,1,1,0
 651,1,1,1,1,1,1
 652,0,1,0,0,0,0
 653,1,0,0,1,0,0
 654,1,0,1,0,1,0
 655,0,0,1,0,1,0
 656,0,1,1,1,1,0
 657,1,0,0,1,1,0
 658,0,0,1,0,0,1
 659,1,1,0,1,1,1
 660,0,0,1,0,0,1
 661,1,0,1,0,1,0
 662,1,0,0,1,0,0
 663,0,0,1,1,1,1
 664,0,0,0,1,1,0
 665,1,1,1,0,1,0
 666,1,0,1,1,1,1
 667,0,1,1,0,0,0
 668,0,1,0,1,1,0
 669,0,1,0,0,0,0
 670,1,1,0,1,0,0
 671,0,1,0,1,1,1
 672,1,0,0,1,1,0
 673,0,0,0,0,0,1
 674,0,1,0,1,1,0
 675,1,1,1,0,0,0
 676,1,0,0,0,1,0
 677,0,1,1,0,0,0
 678,1,0,0,0,1,0
 679,0,0,1,1,1,0
 680,1,0,0,0,1,0
 681,1,0,1,0,1,0
 682,1,1,0,0,0,0
 683,1,1,1,1,0,0
 684,1,0,0,0,1,1
 685,1,0,0,1,0,0
 686,1,0,0,0,1,0
 687,1,0,0,0,1,0
 688,1,0,0,0,0,0
 689,0,1,0,0,1,0
 690,0,1,0,0,1,1
 691,0,0,1,1,1,0
 692,0,0,1,1,1,0
 693,0,1,0,1,0,0
 694,0,0,1,0,0,1
 695,0,0,0,1,1,1
 696,1,1,1,0,0,1
 697,0,0,1,0,0,1
 698,0,0,1,0,0,1
 699,1,1,1,0,1,0
 700,1,1,0,0,0,1
 701,1,0,1,1,0,1
 702,1,0,1,0,1,1
 703,0,0,1,0,0,1
 704,0,0,1,0,1,0
 705,0,1,0,0,0,1
 706,0,0,1,0,1,0
 707,1,0,0,1,0,1
 708,0,0,0,0,1,0
 709,0,0,0,0,1,0
 710,1,1,0,1,1,1
 711,0,0,0,0,0,1
 712,1,0,0,0,1,1
 713,1,1,1,0,0,1
 714,1,1,1,1,1,1
 715,0,0,1,0,0,0
 716,0,0,0,1,0,1
 717,0,1,0,1,1,1
 718,1,1,0,0,1,1
 719,1,1,1,1,0,1
 720,1,1,1,1,0,0
 721,1,0,1,0,1,1
 722,1,0,0,0,0,1
 723,1,0,0,0,0,0
 724,1,0,1,1,0,1
 725,1,0,0,1,1,0
 726,0,0,0,0,1,1
 727,0,1,0,0,0,1
 728,0,0,0,0,0,0
 729,0,0,1,0,1,0
 730,1,0,0,1,0,0
 731,0,0,0,0,0,1
 732,1,1,0,0,1,1
 733,1,1,0,0,1,0
 734,1,1,0,1,1,1
 735,1,1,0,1,1,0
 736,1,0,1,0,1,0
 737,0,0,0,0,0,0
 738,1,1,0,0,1,1
 739,1,0,1,1,0,0
 740,1,1,0,1,1,1
 741,0,1,1,1,0,1
 742,0,1,1,0,1,1
 743,1,0,0,0,1,0
 744,1,1,1,0,1,1
 745,1,1,0,1,0,1
 746,0,1,1,1,0,1
 747,1,0,0,1,1,1
 748,0,1,1,1,1,1
 749,0,0,0,0,0,1
 750,0,1,0,1,1,0
 751,0,1,0,1,0,1
 752,1,0,0,0,1,0
 753,1,1,0,1,1,1
 754,0,0,1,1,1,0
 755,0,0,0,0,1,1
 756,1,1,1,0,1,0
 757,0,1,1,1,0,1
 758,0,1,0,1,1,1
 759,1,1,1,1,0,1
 760,1,1,1,0,0,1
 761,0,0,0,0,1,0
 762,1,0,1,1,0,1
 763,0,0,0,0,0,1
 764,1,0,0,1,0,0
 765,1,0,0,0,1,0
 766,1,0,0,1,1,0
 767,0,1,0,1,1,1
 768,1,0,0,1,1,1
 769,0,1,0,1,0,1
 770,0,1,0,0,1,0
 771,1,0,0,0,0,0
 772,1,0,1,0,0,1
 773,1,0,0,1,0,1
 774,0,0,0,1,0,0
 775,0,1,0,0,1,0
 776,0,0,0,1,1,0
 777,0,0,0,1,1,1
 778,0,1,0,1,0,0
 779,1,0,1,1,1,0
 780,1,1,1,0,1,1
 781,1,0,1,0,0,0
 782,0,0,0,1,1,0
 783,0,1,0,1,0,1
 784,0,1,1,1,0,1
 785,0,0,1,0,1,1
 786,1,0,0,0,1,1
 787,1,1,0,0,1,0
 788,1,0,1,0,0,1
 789,0,1,1,1,0,1
 790,0,1,0,1,0,1
 791,0,0,0,0,1,1
 792,0,1,0,1,0,1
 793,1,1,0,0,0,1
 794,1,1,1,0,1,0
 795,0,0,1,0,0,1
 796,1,1,0,1,0,0
 797,0,0,1,0,0,0
 798,1,1,0,1,1,1
 799,0,1,1,0,1,1
 800,1,0,1,1,0,0
 801,1,1,1,1,0,0
 802,1,0,0,1,1,0
 803,0,1,1,1,0,1
 804,0,1,0,0,0,1
 805,1,1,0,1,0,0
 806,0,1,1,1,1,1
 807,0,1,0,1,1,0
 808,0,0,0,0,0,0
 809,0,0,0,1,0,0
 810,1,0,1,0,1,0
 811,1,1,0,0,1,1
 812,0,1,1,0,1,0
 813,0,0,1,0,0,0
 814,1,1,1,0,0,0
 815,0,1,0,1,0,1
 816,0,0,1,1,1,0
 817,1,1,0,1,1,0
 818,0,0,1,0,0,0
 819,1,1,0,0,0,1
 820,1,0,1,0,1,1
 821,0,0,0,0,1,1
 822,0,0,1,1,0,0
 823,1,1,0,1,1,0
 824,0,1,1,0,1,0
 825,0,1,1,1,0,1
 826,1,0,0,0,0,0
 827,0,1,0,0,0,0
 828,0,1,0,1,0,0
 829,0,1,0,0,1,1
 830,1,0,1,1,1,0
 831,1,0,1,0,0,0
 832,1,1,1,0,1,1
 833,1,1,1,0,1,0
 834,0,0,1,0,1,0
 835,0,1,0,1,0,1
 836,1,1,1,1,0,1
 837,1,0,1,0,1,0
 838,1,1,1,0,0,0
 839,1,1,1,1,1,1
 840,0,1,0,0,1,1
 841,0,0,1,1,0,1
 842,1,0,0,0,1,1
 843,0,0,0,0,1,1
 844,1,1,1,0,0,0
 845,1,0,0,1,0,1
 846,0,1,1,1,0,1
 847,0,1,0,0,1,0
 848,0,0,0,1,1,1
 849,0,0,0,1,1,1
 850,0,1,0,0,1,1
 851,0,0,1,1,1,0
 852,1,0,1,0,0,0
 853,0,1,0,0,1,1
 854,0,1,0,1,0,1
 855,0,0,0,0,1,1
 856,1,1,0,1,1,1
 857,0,1,1,0,0,0
 858,1,0,1,0,1,0
 859,1,0,0,0,1,1
 860,0,1,0,1,0,0
 861,1,0,0,1,0,1
 862,1,1,1,0,1,0
 863,1,0,1,0,1,0
 864,1,0,0,0,0,0
 865,1,0,0,0,1,1
 866,0,1,1,0,0,1
 867,0,0,1,0,1,0
 868,1,0,1,0,1,0
 869,0,1,0,0,1,0
 870,1,0,0,0,0,0
 871,1,0,1,1,0,0
 872,0,0,1,1,1,1
 873,1,0,1,1,1,1
 874,0,0,0,0,0,0
 875,1,0,0,1,0,0
 876,1,0,0,0,0,1
 877,0,0,1,1,1,0
 878,0,0,1,0,1,1
 879,1,0,1,0,1,0
 880,1,1,1,1,1,1
 881,0,0,0,0,1,0
 882,0,0,0,0,0,0
 883,0,0,0,1,1,1
 884,0,1,0,0,1,0
 885,1,1,0,1,1,0
 886,1,0,1,0,1,1
 887,0,1,0,0,1,1
 888,0,0,0,1,1,1
 889,1,1,1,1,1,0
 890,0,0,0,1,1,1
 891,1,1,0,0,1,1
 892,1,0,0,1,1,1
 893,0,0,1,1,1,1
 894,1,1,1,0,1,0
 895,1,0,0,1,0,0
 896,0,1,0,1,1,1
 897,1,1,0,1,0,0
 898,1,0,0,0,1,1
 899,1,1,1,1,0,1
 900,1,0,1,0,1,1
 901,1,1,0,1,0,0
 902,1,1,1,0,1,1
 903,1,1,1,1,1,1
 904,0,0,1,1,0,1
 905,0,0,1,1,0,1
 906,0,0,0,0,0,1
 907,0,0,0,0,1,1
 908,1,0,1,1,1,1
 909,1,0,1,0,0,1
 910,1,1,1,0,0,1
 911,1,0,1,1,1,1
 912,1,0,1,1,1,1
 913,0,0,1,1,0,1
 914,1,1,0,1,0,0
 915,0,1,1,0,0,1
 916,1,0,0,0,1,0
 917,0,1,1,1,0,0
 918,1,1,0,0,0,1
 919,0,1,1,1,1,1
 920,0,1,0,0,0,0
 921,1,0,0,0,0,1
 922,1,0,0,1,0,1
 923,1,0,0,1,1,0
 924,1,0,1,1,1,1
 925,0,1,1,1,0,1
 926,0,0,1,1,1,1
 927,0,0,1,0,0,1
 928,0,1,0,1,0,1
