ID, REGISTROCAMARACOMERCIO, CATEGORIA
 324,4858,1
 325,1851,4
 326,9088,4
 327,7987,1
 328,9620,1
 329,8905,4
 330,4655,4
 331,1251,4
 332,3579,1
 333,3178,4
 334,3781,1
 335,9736,3
 336,3600,4
 337,3914,2
 338,3371,2
 339,2535,2
 340,2084,3
 341,4850,4
 342,3230,1
 343,6687,4
 344,9000,3
 345,8973,3
 346,3735,5
 347,8859,4
 348,8251,4
 349,7927,4
 350,1069,3
 351,5257,3
 352,7692,5
 353,1669,5
 354,8762,4
 355,5674,2
 356,1251,2
 357,3135,5
 358,5117,2
 359,9152,1
 360,1363,4
 361,4648,5
 362,3715,4
 363,7554,1
 364,2396,2
 365,1407,2
 366,7898,5
 367,8553,3
 368,3679,5
 369,9970,3
 370,3804,4
 371,1209,1
 372,1450,1
 373,8741,4
 374,2325,5
 375,2063,4
 376,2959,3
 377,4828,2
 378,3809,1
 379,1302,5
 380,9501,4
 381,6386,2
 382,6661,2
 383,7913,1
 384,2200,2
 385,7060,2
 386,5076,5
 387,6611,3
 388,1816,2
 389,6697,1
 390,5022,5
 391,3650,3
 392,5873,4
 393,9736,5
 394,2832,1
 395,4342,5
 396,6542,4
 397,4957,4
 398,2279,4
 399,9441,2
 400,2998,1
 401,8153,3
 402,2211,3
 403,3414,3
 404,6801,5
 405,6931,3
 406,6000,1
 407,3758,5
 408,3656,1
 409,5833,4
 410,4491,5
 411,2192,2
 412,2844,4
 413,2275,3
 414,6786,4
 415,1612,1
 416,3480,2
 417,6573,5
 418,4258,2
 419,9711,4
 420,9337,1
 421,3010,3
 422,2901,2
 423,1675,3
 424,5613,1
 425,6545,3
 426,6694,3
 427,5448,3
 428,7572,3
 429,1335,2
 430,8546,3
 431,5599,5
 432,7149,1
 433,5920,4
 434,2344,2
 435,7500,5
 436,5623,3
 437,7893,1
 438,2096,5
 439,2844,4
 440,5385,3
 441,8789,4
 442,4394,3
 443,5171,1
 444,6536,4
 445,8171,3
 446,1992,5
 447,7326,1
 448,5923,3
 449,4602,4
 450,3635,4
 451,3262,2
 452,2312,3
 453,5876,4
 454,3178,1
 455,9507,2
 456,7429,1
 457,7195,1
 458,2954,3
 459,3946,2
 460,8194,5
 461,7716,3
 462,4826,1
 463,5906,4
 464,3304,1
 465,4125,3
 466,1035,4
 467,3918,2
 468,3500,1
 469,5541,2
 470,1558,1
 471,4017,3
 472,3599,4
 473,4649,2
 474,7790,2
 475,3838,5
 476,7300,3
 477,4920,5
 478,3226,3
 479,7753,1
 480,6764,5
 481,1143,4
 482,6832,3
 483,8152,4
 484,8537,1
 485,6090,4
 486,7414,4
 487,6561,3
 488,1085,3
 489,3500,4
 490,2340,1
 491,9563,4
 492,4894,4
 493,5151,1
 494,2482,3
 495,9272,1
 496,3421,4
 497,9997,5
 498,5327,5
 499,9108,3
 500,8510,5
 501,7863,4
 502,1603,1
 503,8005,4
 504,3982,2
 505,6349,5
 506,3029,3
 507,1917,2
 508,3246,4
 509,1314,2
 510,8851,4
 511,7998,4
 512,9675,4
 513,7115,2
 514,5968,3
 515,3888,4
 516,8188,2
 517,3848,3
 518,5142,1
 519,8801,3
 520,1015,5
 521,8304,1
 522,6779,3
 523,5875,1
 524,5518,2
 525,4727,2
 526,4960,5
 527,8270,3
 528,3568,4
 529,1839,2
 530,2361,4
 531,5834,2
 532,7882,3
 533,4075,2
 534,8244,4
 535,3271,2
 536,4341,3
 537,9895,3
 538,4500,3
 539,5035,3
 540,9895,1
 541,1044,1
 542,5605,2
 543,7636,2
 544,6020,5
 545,3503,3
 546,6575,3
 547,5302,5
 548,8964,1
 549,3682,2
 550,5101,3
 551,8168,2
 552,2135,1
 553,7395,1
 554,3487,4
 555,3051,4
 556,5997,5
 557,1307,4
 558,2000,4
 559,8355,2
 560,9615,5
 561,8635,2
 562,9854,3
 563,4462,2
 564,7370,2
 565,8495,2
 566,2150,1
 567,6456,3
 568,7928,3
 569,7489,3
 570,1618,3
 571,6238,2
 572,8315,3
 573,6041,3
 574,8717,4
 575,4736,2
 576,4031,5
 577,9499,2
 578,5921,3
 579,3985,2
 580,8788,1
 581,7620,5
 582,2387,3
 583,8502,5
 584,6212,2
 585,8724,5
 586,4197,5
 587,2930,2
 588,8900,3
 589,3077,1
 590,9370,4
 591,9573,3
 592,2353,2
 593,9775,2
 594,7863,3
 595,6493,3
 596,6356,2
 597,6473,1
 598,2616,4
 599,7580,3
 600,7329,5
 601,2813,5
 602,4167,1
 603,5217,3
 604,6532,2
 605,1739,4
 606,5898,5
 607,2168,5
 608,2926,4
 609,5728,4
 610,6923,4
 611,3709,3
 612,4273,5
 613,2148,3
 614,2445,5
 615,8428,1
 616,3566,3
 617,1487,1
 618,7419,5
 619,2932,1
 620,8104,4
 621,3023,3
 622,9675,5
 623,6038,5
 624,3470,2
 625,5071,5
 626,9504,3
 627,7102,4
 628,9293,3
 629,7892,5
 630,6207,3
 631,4389,5
 632,6039,2
 633,3980,2
 634,8585,3
 635,7153,5
 636,2553,5
 637,8658,2
 638,4527,3
 639,2682,3
 640,8367,1
 641,2609,5
 642,1988,1
 643,2904,3
 644,8672,1
 645,6907,5
 646,9928,3
 647,3747,2
 648,9328,4
 649,9296,1
 650,1608,1
 651,8797,1
 652,6732,3
 653,1679,1
 654,9948,2
 655,6919,3
 656,8188,4
 657,4476,2
 658,4836,1
 659,8852,1
 660,7764,1
 661,8047,2
 662,4112,1
 663,1711,1
 664,4382,2
 665,7412,2
 666,5163,1
 667,8272,4
 668,8810,3
 669,9931,2
 670,1243,2
 671,9402,4
 672,6639,1
 673,8722,4
 674,8914,1
 675,5218,3
 676,9361,1
 677,9422,3
 678,7088,4
 679,7105,2
 680,4424,4
 681,5237,5
 682,5311,1
 683,1769,2
 684,8379,2
 685,6538,3
 686,1956,1
 687,7292,4
 688,2968,5
 689,1833,3
 690,1029,3
 691,6075,1
 692,2608,4
 693,7442,2
 694,3850,2
 695,5023,2
 696,4575,4
 697,1975,5
 698,4664,3
 699,2013,2
 700,5739,1
 701,4800,2
 702,7425,2
 703,4446,3
 704,6456,5
 705,9649,4
 706,4946,1
 707,2858,1
 708,1225,1
 709,7605,3
 710,7308,4
 711,1427,2
 712,3201,1
 713,2812,4
 714,9084,4
 715,9604,2
 716,8349,3
 717,1350,4
 718,5630,2
 719,4284,4
 720,8713,1
 721,8280,1
 722,3411,1
 723,1999,3
 724,9898,4
 725,1218,1
 726,3628,3
 727,1910,1
 728,5252,1
 729,6573,3
 730,4232,3
 731,2085,4
 732,8251,1
 733,2544,2
 734,8492,2
 735,1842,5
 736,5865,1
 737,8357,5
 738,4746,2
 739,1983,5
 740,5095,1
 741,8458,3
 742,4766,3
 743,9449,1
 744,3992,4
 745,4923,2
 746,1929,1
 747,4803,3
 748,7843,1
 749,2007,2
 750,5277,3
 751,7289,2
 752,9609,3
 753,4267,2
 754,6891,4
 755,7485,1
 756,7788,1
 757,9778,4
 758,5799,5
 759,5770,4
 760,3240,3
 761,5648,3
 762,4701,3
 763,5121,4
 764,3984,3
 765,5730,5
 766,7322,2
 767,6872,4
 768,5724,2
 769,5290,4
 770,8829,4
 771,9073,2
 772,8362,5
 773,2895,4
 774,8947,4
 775,6527,4
 776,1752,2
 777,5107,1
 778,4340,5
 779,7875,1
 780,4121,2
 781,8650,5
 782,2250,1
 783,3796,2
 784,8979,5
 785,2393,5
 786,2607,2
 787,6831,5
 788,1177,1
 789,4671,5
 790,1471,3
 791,9436,5
 792,8161,5
 793,9430,5
 794,4220,5
 795,3825,1
 796,4955,5
 797,5933,1
 798,5100,1
 799,7448,4
 800,4436,1
 801,7582,3
 802,9552,4
 803,5133,1
 804,5391,4
 805,4752,1
 806,9050,5
 807,8171,1
 808,6878,1
 809,7055,1
 810,4821,2
 811,2275,2
 812,2021,2
 813,6709,3
 814,7412,1
 815,5778,4
 816,1306,1
 817,3226,5
 818,1111,4
 819,2660,2
 820,1633,3
 821,2931,4
 822,1357,4
 823,1069,5
 824,6659,1
 825,3998,4
 826,4900,5
 827,7903,1
 828,4816,1
 829,7716,4
 830,3995,1
 831,9897,2
 832,9423,4
 833,3970,5
 834,5388,2
 835,1109,2
 836,2571,1
 837,4739,5
 838,8047,5
 839,5555,1
 840,9723,2
 841,7608,3
 842,7340,5
 843,9236,1
 844,8678,5
 845,5693,3
 846,6207,4
 847,3315,1
 848,4099,4
 849,7418,1
 850,6126,3
 851,2464,4
 852,6113,3
 853,9901,4
 854,9927,5
 855,2064,5
 856,9260,2
 857,1812,3
 858,7727,1
 859,3175,3
 860,4416,2
 861,2905,5
 862,9768,3
 863,5593,3
 864,7435,3
 865,5108,3
 866,4527,1
 867,9499,3
 868,2225,5
 869,7716,5
 870,8877,1
 871,3839,5
 872,8971,1
 873,9316,3
 874,8696,1
 875,3118,4
 876,6402,1
 877,2167,3
 878,8933,5
 879,5407,3
 880,3028,4
 881,8056,3
 882,3883,5
 883,4529,3
 884,2559,2
 885,7655,1
 886,6462,1
 887,8403,2
 888,5395,3
 889,5385,2
 890,2072,3
 891,1514,2
 892,3062,3
 893,5114,5
 894,1605,3
 895,1659,4
 896,9462,1
 897,9002,1
 898,8474,4
 899,1704,4
 900,2754,3
 901,7834,4
 902,6634,2
 903,6824,3
 904,2956,5
 905,5284,2
 906,2840,1
 907,9579,1
 908,1015,4
 909,1521,1
 910,8808,5
 911,1565,3
 912,9276,4
 913,8727,2
 914,9718,2
 915,1773,3
 916,5848,1
 917,4291,3
 918,4797,4
 919,3995,3
 920,9491,2
 921,6912,4
 922,4328,2
 923,1939,3
 924,5925,5
 925,1017,3
 926,9458,4
 927,5023,5
 928,5551,2
 929,2266,3
 930,8218,2
 931,8792,4
 932,2648,5
 933,8456,4
 934,6768,4
 935,6874,4
 936,4728,3
 937,2080,2
 938,9303,1
 939,4322,3
 940,1552,1
 941,8644,3
 942,1980,3
 943,9078,3
 944,6818,4
 945,8816,5
 946,6149,2
 947,1324,5
 948,2201,4
 949,9505,4
 950,3067,5
 951,6467,1
 952,9272,2
 953,4570,5
 954,5215,3
 955,4456,5
 956,3574,5
 957,4120,2
 958,6773,5
 959,7934,3
 960,3126,4
 961,9090,4
 962,3684,4
 963,3589,2
 964,4789,4
 965,1767,2
 966,1177,4
 967,2878,3
 968,2200,3
 969,1140,5
 970,3074,2
 971,2777,2
 972,6684,3
 973,5943,1
 974,7787,5
 975,8811,1
 976,9371,2
 977,8124,2
 978,1250,5
 979,7097,5
 980,4136,5
 981,1734,1
 982,2819,2
 983,4330,1
 984,9277,3
 985,5517,3
 986,6445,5
 987,7659,1
 988,5941,2
 989,5932,4
 990,1395,2
 991,7740,3
 992,2060,5
 993,6860,1
 994,3093,2
 995,8756,2
 996,1240,1
 997,4752,1
 998,7547,1
 999,6321,5
 1000,3078,5
 1001,1343,1
 1002,3686,1
 1003,5759,3
 1004,8892,2
 1005,2561,5
 1006,6274,2
 1007,7956,3
 1008,7604,1
 1009,7570,3
 1010,3101,2
 1011,9460,5
 1012,3828,1
 1013,6666,1
 1014,7517,3
 1015,9493,1
 1016,1834,1
 1017,2133,3
 1018,2144,4
 1019,2446,5
 1020,6551,1
 1021,7900,3
 1022,5989,4
 1023,3603,1
 1024,7406,3
 1025,9339,4
 1026,8483,5
 1027,4190,5
 1028,8192,4
 1029,3619,4
 1030,6107,3
 1031,3561,5
 1032,4794,5
 1033,9126,1
 1034,1038,1
 1035,4747,5
 1036,2056,3
 1037,7024,2
 1038,5765,1
 1039,9072,4
 1040,6179,4
 1041,9204,1
 1042,7852,3
 1043,9099,4
 1044,2649,4
 1045,9112,4
 1046,7943,1
 1047,1344,5
 1048,9868,2
 1049,3918,3
 1050,3698,2
 1051,8508,4
 1052,8384,4
 1053,8041,4
 1054,4710,1
 1055,6451,2
 1056,9855,4
 1057,3272,5
 1058,2824,4
 1059,8819,5
 1060,6168,2
 1061,8715,5
 1062,1444,5
 1063,8409,1
 1064,7456,5
 1065,7773,2
 1066,8654,4
 1067,1799,3
 1068,9962,2
 1069,4085,4
 1070,5151,3
 1071,7778,4
 1072,3623,3
 1073,5901,3
 1074,9732,5
 1075,9154,3
 1076,1521,1
 1077,4900,3
 1078,1752,5
 1079,3265,4
 1080,6722,1
 1081,1847,4
 1082,9199,2
 1083,4375,5
 1084,9316,1
 1085,8598,1
 1086,7213,1
 1087,3081,4
 1088,8599,4
 1089,4038,1
 1090,8922,2
 1091,7673,3
 1092,5486,1
 1093,7823,1
 1094,3571,4
 1095,9183,4
 1096,7627,2
 1097,2676,3
 1098,9852,3
 1099,1538,4
 1100,9764,1
 1101,6070,5
 1102,7366,5
 1103,5218,3
 1104,4514,1
 1105,1431,1
 1106,1168,4
 1107,5196,1
 1108,5869,1
 1109,2256,3
 1110,2688,1
 1111,6073,2
 1112,5669,3
 1113,6090,1
 1114,2708,5
 1115,6464,5
 1116,6207,3
 1117,5115,3
 1118,3532,1
 1119,3959,5
 1120,6539,3
 1121,5650,2
 1122,3917,4
 1123,5309,4
 1124,7314,1
 1125,8084,3
 1126,3343,5
 1127,5745,4
 1128,9387,2
 1129,1419,3
 1130,3973,5
 1131,1837,2
 1132,9491,2
 1133,1257,1
 1134,3633,5
 1135,1360,5
 1136,4745,2
 1137,7481,5
 1138,3637,4
 1139,1126,3
 1140,6318,5
 1141,9287,2
 1142,5498,1
 1143,4889,2
 1144,9858,5
 1145,2939,5
 1146,6925,1
 1147,2269,4
 1148,3761,3
 1149,4409,5
 1150,8440,2
 1151,9699,2
 1152,3772,2
 1153,6415,4
 1154,7822,1
 1155,1514,5
 1156,1484,2
 1157,5229,2
 1158,4241,2
 1159,9523,3
 1160,6788,3
 1161,9248,4
 1162,7332,2
 1163,9297,5
 1164,1525,1
 1165,7263,4
 1166,2016,4
 1167,2016,4
 1168,8329,1
 1169,3309,2
 1170,8314,5
 1171,3072,5
 1172,8568,1
 1173,9685,3
 1174,8662,1
 1175,5199,3
 1176,1525,5
 1177,2138,4
 1178,6609,5
 1179,7783,5
 1180,7165,3
 1181,9679,1
 1182,1217,1
 1183,3819,4
 1184,7231,1
 1185,6392,3
 1186,2882,3
 1187,9077,4
 1188,3869,1
 1189,5297,4
 1190,9965,3
 1191,3708,4
 1192,3479,5
 1193,9550,5
 1194,4849,5
 1195,9461,4
 1196,9094,3
 1197,5673,1
 1198,3906,3
 1199,9305,1
 1200,3037,5
 1201,8099,2
 1202,5322,1
 1203,1578,1
 1204,7362,5
 1205,5393,4
 1206,5672,3
 1207,6355,1
 1208,5554,4
 1209,2805,2
 1210,6510,2
 1211,4856,1
 1212,6081,1
 1213,4209,1
 1214,8033,2
 1215,4636,3
 1216,6750,4
 1217,3865,3
 1218,2451,1
 1219,1668,2
 1220,1958,5
 1221,9355,1
 1222,3349,1
 1223,6936,5
 1224,3174,4
 1225,6026,2
 1226,7914,2
 1227,9873,5
 1228,5105,4
 1229,1110,4
 1230,6774,2
 1231,6244,4
 1232,2826,2
 1233,6528,2
 1234,9112,1
 1235,2039,1
 1236,2092,3
 1237,8551,4
 1238,3950,3
 1239,6536,2
 1240,4122,3
 1241,3697,4
 1242,9768,3
 1243,7414,1
 1244,2561,3
 1245,9296,3
 1246,9480,3
 1247,7973,3
 1248,7094,1
 1249,3516,5
 1250,1947,1
 1251,5640,4
 1252,6778,2
 1253,7749,5
 1254,6708,2
 1255,7968,3
 1256,5142,3
 1257,3865,2
 1258,8650,3
 1259,6624,3
 1260,4409,4
 1261,7460,3
 1262,7720,4
 1263,5492,5
 1264,4237,3
 1265,7601,5
 1266,3809,2
 1267,9605,5
 1268,6475,1
 1269,5497,4
 1270,7464,5
 1271,6224,5
 1272,2761,5
 1273,4304,1
 1274,5543,5
 1275,1363,2
 1276,4125,2
 1277,4747,5
 1278,1588,4
 1279,9901,5
 1280,1156,4
 1281,6363,4
 1282,7572,3
 1283,6510,4
 1284,5137,5
 1285,2560,3
 1286,8659,3
 1287,4602,1
 1288,5901,3
 1289,6290,4
 1290,4916,1
 1291,6961,3
 1292,1356,2
 1293,9460,2
 1294,4393,5
 1295,9684,2
 1296,1888,4
 1297,3231,5
 1298,6630,3
 1299,6230,4
 1300,4988,3
 1301,2707,3
 1302,1056,4
 1303,1686,3
 1304,4682,2
 1305,3346,1
 1306,5217,5
 1307,3322,2
 1308,1899,2
 1309,7632,4
 1310,3914,2
 1311,7128,3
 1312,5690,3
 1313,1016,3
 1314,6600,2
 1315,8525,5
 1316,1882,2
 1317,3057,5
 1318,3355,2
 1319,4193,3
 1320,6734,5
 1321,5323,5
 1322,8237,2
 1323,3536,4
 1324,6675,2
 1325,9322,3
 1326,1233,4
 1327,7099,2
 1328,6011,1
 1329,2247,2
 1330,8360,4
 1331,8692,3
 1332,3578,4
 1333,4700,5
 1334,8561,4
 1335,9424,1
 1336,9222,5
 1337,5851,2
 1338,5007,2
 1339,7147,5
 1340,8179,5
 1341,3361,2
 1342,4256,3
 1343,7663,2
 1344,9257,3
 1345,6785,4
 1346,8946,3
 1347,2942,2
 1348,7424,3
 1349,2611,1
 1350,2524,4
 1351,5101,3
 1352,7222,5
 1353,7352,3
 1354,3384,2
 1355,4040,1
 1356,5543,1
 1357,9793,1
 1358,3841,3
 1359,3635,1
 1360,6666,1
 1361,3628,1
 1362,1797,1
 1363,5167,2
 1364,2394,4
 1365,2452,5
 1366,6758,4
 1367,3571,4
 1368,1887,3
 1369,1918,3
 1370,4693,4
 1371,5946,2
 1372,9674,2
 1373,6386,5
 1374,3297,1
 1375,6208,3
 1376,6430,2
 1377,4285,5
 1378,2671,2
 1379,3072,4
 1380,9107,2
 1381,5366,2
 1382,7859,3
 1383,1627,2
 1384,7225,3
 1385,5979,1
 1386,3336,2
 1387,1489,4
 1388,6560,3
 1389,2073,5
 1390,7346,5
 1391,2625,2
 1392,9366,1
 1393,3674,4
 1394,1075,1
 1395,1845,3
 1396,3828,2
 1397,4546,4
 1398,3746,4
 1399,2303,1
 1400,8489,2
 1401,4055,1
 1402,6888,1
 1403,9969,1
 1404,5124,4
 1405,4512,1
 1406,3571,1
 1407,7279,2
 1408,3792,5
 1409,2308,1
 1410,5812,1
 1411,8842,1
 1412,6952,3
 1413,1893,3
 1414,3239,1
 1415,2697,5
 1416,5887,1
 1417,7086,1
 1418,8177,4
 1419,6262,5
 1420,1002,1
 1421,3234,3
 1422,2975,4
 1423,1143,4
 1424,4663,2
 1425,4588,3
 1426,8047,4
 1427,2518,3
 1428,7822,3
 1429,5952,4
 1430,6210,4
 1431,1420,5
 1432,9236,4
 1433,4592,4
 1434,2880,4
 1435,7023,4
 1436,7220,5
 1437,7944,1
 1438,1062,5
 1439,4690,4
 1440,1023,1
 1441,1265,1
 1442,9769,3
 1443,5658,2
 1444,4574,3
 1445,9644,1
 1446,1864,4
 1447,1063,2
 1448,3122,1
 1449,7376,3
 1450,7617,2
 1451,3463,5
 1452,9680,4
 1453,1171,3
 1454,4912,5
 1455,4461,1
 1456,4947,3
 1457,3774,3
 1458,9406,1
 1459,4561,2
 1460,9443,3
 1461,6988,2
 1462,6506,2
 1463,7140,5
 1464,5807,2
 1465,4055,1
 1466,9604,3
 1467,2071,5
 1468,8263,1
 1469,2965,2
 1470,7496,5
 1471,7592,1
 1472,2004,4
 1473,3838,2
 1474,8430,1
 1475,3251,5
 1476,3371,2
 1477,8699,4
 1478,1888,2
 1479,1523,1
 1480,6723,4
 1481,6722,2
 1482,4646,3
 1483,2102,1
 1484,8743,3
 1485,5313,4
 1486,1321,4
 1487,7333,4
 1488,8135,3
 1489,3052,4
 1490,9616,1
 1491,8782,1
 1492,8128,5
 1493,5340,5
 1494,4175,2
 1495,8578,4
 1496,7794,4
 1497,4535,5
 1498,6686,4
 1499,3340,3
 1500,6520,1
 1501,4453,2
 1502,8950,5
 1503,9621,3
 1504,2884,5
 1505,4885,1
 1506,4797,4
 1507,3953,1
 1508,2705,1
 1509,2056,2
 1510,1620,5
 1511,7959,3
 1512,7126,1
 1513,5208,1
 1514,7864,4
 1515,3358,3
 1516,9861,1
 1517,5065,1
 1518,5310,2
 1519,6311,5
 1520,4120,2
 1521,9348,1
 1522,6242,1
 1523,3451,3
 1524,9919,3
 1525,4107,4
 1526,8085,2
 1527,5067,4
 1528,1263,5
 1529,8271,3
 1530,8240,4
 1531,7386,1
 1532,6128,3
 1533,6081,3
 1534,4655,3
 1535,2556,2
 1536,1354,1
 1537,7009,5
 1538,1683,5
 1539,4916,2
 1540,4718,2
 1541,1774,4
 1542,3976,1
 1543,8673,5
 1544,5782,1
 1545,8832,5
 1546,1574,3
 1547,6872,1
 1548,2123,3
 1549,9029,2
 1550,4302,1
 1551,7225,5
 1552,1788,3
 1553,3054,5
 1554,6405,2
 1555,6427,5
 1556,1202,2
 1557,1390,3
 1558,7320,5
 1559,7531,5
 1560,3925,1
 1561,7614,2
 1562,2525,5
 1563,6640,2
 1564,6127,5
 1565,3543,4
 1566,4095,3
 1567,9953,4
 1568,2862,5
 1569,7415,3
 1570,8189,3
 1571,9047,1
 1572,7988,1
 1573,5334,1
 1574,3440,5
 1575,9356,5
 1576,3499,3
 1577,6007,4
 1578,6705,4
 1579,4988,2
 1580,4241,5
 1581,4774,4
 1582,9558,4
 1583,9395,4
 1584,2416,1
 1585,3465,5
 1586,1790,2
 1587,1264,1
 1588,3059,5
 1589,4373,4
 1590,5407,4
 1591,8087,4
 1592,3739,3
 1593,4705,1
 1594,8309,3
 1595,2799,1
 1596,7818,1
 1597,8724,2
 1598,2590,1
 1599,9675,1
 1600,7457,1
 1601,4194,2
 1602,5426,5
 1603,7353,5
 1604,4224,3
 1605,4824,1
 1606,3984,2
 1607,7066,3
 1608,6724,1
 1609,2489,1
 1610,1059,1
 1611,2612,5
 1612,3754,5
 1613,2040,5
 1614,8375,3
 1615,4905,1
 1616,9182,2
 1617,6036,1
 1618,4012,4
 1619,5884,2
 1620,1753,4
 1621,6694,5
 1622,7381,1
 1623,2183,3
 1624,1757,1
 1625,3017,4
 1626,8615,5
 1627,4383,3
 1628,4301,5
 1629,4487,5
 1630,3753,4
 1631,3278,3
 1632,2752,4
 1633,9736,3
 1634,8619,4
 1635,5420,2
 1636,5039,1
 1637,4929,3
 1638,2903,1
 1639,5458,3
 1640,4583,5
 1641,8774,1
 1642,1896,5
 1643,3496,1
 1644,6518,1
 1645,7774,2
 1646,9375,2
 1647,7395,3
 1648,5014,2
 1649,9340,2
 1650,7163,4
 1651,1912,4
 1652,9496,1
 1653,3809,3
 1654,5430,3
 1655,8807,2
 1656,8201,5
 1657,8187,2
 1658,2711,1
 1659,7686,3
 1660,6543,1
