ID,REGISTROCAMARACOMERCIO,APERTURA,CIERRE
263,263,8,10
264,264,6,11
265,265,6,8
266,266,7,9
267,267,5,9
268,268,6,11
269,269,6,8
270,270,8,9
271,271,7,10
272,272,8,9
273,273,5,8
274,274,7,12
275,275,7,12
276,276,5,9
277,277,7,11
278,278,6,11
279,279,7,9
280,280,6,10
281,281,7,8
282,282,5,8
283,283,5,11
284,284,6,11
285,285,5,9
286,286,8,10
287,287,7,9
288,288,7,8
289,289,6,12
290,290,6,9
291,291,5,11
292,292,5,12
293,293,7,12
294,294,6,10
295,295,5,12
296,296,8,10
297,297,7,9
298,298,8,12
299,299,6,9
300,300,8,9
301,301,8,8
302,302,5,9
303,303,5,10
304,304,5,10
305,305,7,9
306,306,7,8
307,307,6,8
308,308,7,8
309,309,8,10
310,310,5,11
311,311,5,9
312,312,8,12
313,313,8,10
314,314,5,9
315,315,5,8
316,316,5,10
317,317,6,12
318,318,7,11
319,319,6,10
320,320,8,9
321,321,7,11
322,322,6,9
323,323,8,11
324,324,8,9
325,325,8,12
326,326,8,9
327,327,6,10
328,328,5,11
329,329,6,10
330,330,5,12
331,331,7,9
332,332,6,9
333,333,6,8
334,334,6,12
335,335,6,12
336,336,6,10
337,337,6,11
338,338,7,11
339,339,8,12
340,340,6,12
341,341,8,9
342,342,5,9
343,343,5,9
344,344,5,11
345,345,7,9
346,346,7,8
347,347,8,8
348,348,5,10
349,349,5,12
350,350,5,10
351,351,8,11
352,352,7,10
353,353,5,11
354,354,8,9
355,355,7,9
356,356,8,12
357,357,7,8
358,358,7,10
359,359,8,10
360,360,6,9
361,361,6,9
362,362,5,11
363,363,7,8
364,364,5,8
365,365,8,11
366,366,8,8
367,367,6,11
368,368,6,11
369,369,6,8
370,370,8,8
371,371,8,9
372,372,6,12
373,373,8,12
374,374,8,12
375,375,5,11
376,376,7,10
377,377,8,8
378,378,8,12
379,379,6,12
380,380,7,9
381,381,7,8
382,382,5,9
383,383,6,8
384,384,7,9
385,385,7,12
386,386,6,9
387,387,7,9
388,388,7,11
389,389,8,12
390,390,7,12
391,391,8,11
392,392,6,12
393,393,8,10
394,394,6,8
395,395,8,10
396,396,5,12
397,397,7,11
398,398,6,9
399,399,5,9
400,400,6,9
401,401,8,10
402,402,8,10
403,403,5,8
404,404,8,11
405,405,6,10
406,406,6,9
407,407,5,8
408,408,5,10
409,409,5,10
410,410,6,11
411,411,6,8
412,412,6,8
413,413,8,10
414,414,8,12
415,415,7,12
416,416,7,8
417,417,5,9
418,418,8,11
419,419,6,9
420,420,8,9
421,421,7,9
422,422,7,12
423,423,6,9
424,424,7,9
425,425,8,12
426,426,7,8
427,427,5,8
428,428,8,10
429,429,7,11
430,430,7,12
431,431,7,8
432,432,6,8
433,433,6,9
434,434,6,12
435,435,7,9
436,436,7,11
437,437,6,9
438,438,6,9
439,439,5,11
440,440,6,11
441,441,5,9
442,442,7,10
443,443,7,10
444,444,5,11
445,445,6,11
446,446,7,11
447,447,6,9
448,448,8,11
449,449,5,9
450,450,5,11
451,451,8,8
452,452,8,12
453,453,5,8
454,454,7,11
455,455,6,8
456,456,6,11
457,457,5,12
458,458,8,10
459,459,7,10
460,460,8,12
461,461,7,8
462,462,6,8
463,463,5,11
464,464,5,10
465,465,7,11
466,466,5,8
467,467,6,8
468,468,8,11
469,469,5,8
470,470,8,12
471,471,7,8
472,472,6,12
473,473,5,12
474,474,8,11
475,475,5,11
476,476,7,10
477,477,8,8
478,478,6,12
479,479,6,11
480,480,7,8
481,481,6,12
482,482,6,12
483,483,7,9
484,484,7,11
485,485,6,12
486,486,7,11
487,487,5,12
488,488,5,10
489,489,7,8
490,490,5,12
491,491,6,12
492,492,6,8
493,493,7,9
494,494,8,12
495,495,5,8
496,496,7,9
497,497,7,8
498,498,8,10
499,499,8,10
500,500,6,8
501,501,5,10
502,502,6,8
503,503,8,8
504,504,8,12
505,505,7,8
506,506,5,9
507,507,5,10
508,508,8,11
509,509,6,9
510,510,7,12
511,511,7,12
512,512,8,8
513,513,7,11
514,514,7,9
515,515,8,8
516,516,6,11
517,517,6,11
518,518,8,12
519,519,6,10
520,520,7,12
521,521,7,10
522,522,8,12
523,523,7,9
524,524,5,11
525,525,6,10
526,526,6,10
527,527,6,10
528,528,6,8
529,529,6,9
530,530,6,9
531,531,5,8
532,532,5,9
533,533,6,12
534,534,8,8
535,535,8,11
536,536,5,8
537,537,8,12
538,538,6,10
539,539,8,10
540,540,8,9
541,541,6,9
542,542,8,12
543,543,8,10
544,544,5,9
545,545,7,9
546,546,6,10
547,547,5,8
548,548,8,8
549,549,8,9
550,550,5,9
551,551,7,8
552,552,7,11
553,553,6,11
554,554,7,12
555,555,5,10
556,556,7,11
557,557,5,9
558,558,5,10
559,559,8,12
560,560,8,9
561,561,8,11
562,562,8,11
563,563,5,8
564,564,5,10
565,565,5,11
566,566,7,9
567,567,5,12
568,568,8,10
569,569,7,9
570,570,7,12
571,571,8,11
572,572,6,10
573,573,6,12
574,574,7,8
575,575,6,8
576,576,5,10
577,577,5,11
578,578,8,11
579,579,8,12
580,580,7,11
581,581,5,10
582,582,7,11
583,583,5,10
584,584,6,9
585,585,7,8
586,586,8,9
587,587,8,8
588,588,5,11
589,589,5,10
590,590,6,8
591,591,6,12
592,592,7,9
593,593,6,12
594,594,8,9
595,595,7,10
596,596,7,8
597,597,5,11
598,598,7,8
599,599,6,12
600,600,6,9
601,601,6,11
602,602,8,9
603,603,6,12
604,604,6,10
605,605,6,8
606,606,5,8
607,607,8,10
608,608,5,11
609,609,8,10
610,610,6,8
611,611,7,12
612,612,5,10
613,613,8,8
614,614,6,12
615,615,7,9
616,616,5,10
617,617,8,9
618,618,6,9
619,619,7,10
620,620,7,10
621,621,8,11
622,622,6,9
623,623,5,10
624,624,7,10
625,625,6,12
626,626,6,11
627,627,6,11
628,628,7,10
629,629,5,9
630,630,5,8
631,631,7,10
632,632,6,12
633,633,6,11
634,634,6,11
635,635,5,8
636,636,5,12
637,637,8,10
638,638,7,10
639,639,8,11
640,640,8,11
641,641,7,10
642,642,7,9
643,643,5,11
644,644,5,8
645,645,5,9
646,646,7,8
647,647,6,12
648,648,7,10
649,649,6,8
650,650,7,9
651,651,6,9
652,652,5,8
653,653,7,9
654,654,6,8
655,655,7,10
656,656,6,9
657,657,6,11
658,658,5,12
659,659,8,10
660,660,5,12
661,661,6,9
662,662,7,10
663,663,5,8
664,664,8,8
665,665,6,10
666,666,8,10
667,667,6,9
668,668,8,8
669,669,8,10
670,670,8,9
671,671,5,10
672,672,6,12
673,673,5,9
674,674,7,9
675,675,5,12
676,676,5,9
677,677,6,8
678,678,5,9
679,679,7,9
680,680,6,9
681,681,5,10
682,682,6,12
683,683,8,10
684,684,5,8
685,685,5,9
686,686,5,9
687,687,6,12
688,688,6,9
689,689,8,8
690,690,6,11
691,691,7,12
692,692,8,9
693,693,8,9
694,694,5,10
695,695,7,11
696,696,6,9
697,697,5,9
698,698,6,10
699,699,8,11
700,700,7,10
701,701,7,8
702,702,5,8
703,703,7,9
704,704,6,8
705,705,5,12
706,706,6,10
707,707,6,11
708,708,5,9
709,709,7,9
710,710,8,11
711,711,7,10
712,712,7,9
713,713,7,10
714,714,8,9
715,715,7,12
716,716,8,12
717,717,5,9
718,718,8,10
719,719,5,8
720,720,8,12
721,721,7,8
722,722,8,11
723,723,7,8
724,724,7,11
725,725,7,8
726,726,7,8
727,727,5,10
728,728,8,9
729,729,8,11
730,730,6,10
731,731,6,9
732,732,8,12
733,733,7,10
734,734,7,8
735,735,7,12
736,736,5,10
737,737,6,12
738,738,5,12
739,739,8,11
740,740,6,11
741,741,7,11
742,742,5,12
743,743,8,11
744,744,8,10
745,745,5,8
746,746,5,9
747,747,7,10
748,748,5,9
749,749,7,11
750,750,5,10
751,751,7,11
752,752,6,10
753,753,7,8
754,754,8,10
755,755,5,11
756,756,6,10
757,757,6,12
758,758,6,9
759,759,5,8
760,760,5,9
761,761,6,10
762,762,5,9
763,763,7,12
764,764,5,11
765,765,8,9
766,766,7,11
767,767,5,12
768,768,7,11
769,769,6,10
770,770,6,11
771,771,5,11
772,772,6,9
773,773,6,12
774,774,6,10
775,775,7,12
776,776,7,9
777,777,8,8
778,778,5,12
779,779,8,11
780,780,7,8
781,781,7,9
782,782,5,9
783,783,6,10
784,784,8,12
785,785,8,10
786,786,8,12
787,787,6,8
788,788,6,9
789,789,8,11
790,790,7,9
791,791,7,9
792,792,6,9
793,793,6,8
794,794,5,10
795,795,5,11
796,796,5,9
797,797,6,10
798,798,7,8
799,799,7,9
800,800,5,9
801,801,5,12
802,802,6,10
803,803,6,9
804,804,7,9
805,805,5,10
806,806,8,12
807,807,5,10
808,808,7,8
809,809,5,11
810,810,8,12
811,811,6,9
812,812,8,9
813,813,7,10
814,814,8,9
815,815,7,12
816,816,8,8
817,817,8,8
818,818,8,8
819,819,8,10
820,820,8,9
821,821,6,10
822,822,8,8
823,823,7,10
824,824,5,9
825,825,6,9
826,826,8,11
827,827,6,10
828,828,6,11
829,829,7,8
830,830,7,8
831,831,8,10
832,832,6,12
833,833,5,11
834,834,5,8
835,835,5,12
836,836,6,10
837,837,7,11
838,838,8,10
839,839,6,8
840,840,5,10
841,841,5,9
842,842,5,9
843,843,7,10
844,844,6,12
845,845,5,8
846,846,7,10
847,847,6,9
848,848,8,9
849,849,7,9
850,850,5,10
851,851,6,9
852,852,7,10
853,853,5,9
854,854,7,8
855,855,6,12
856,856,8,8
857,857,7,10
858,858,5,11
859,859,5,9
860,860,7,10
861,861,7,11
862,862,6,10
863,863,6,11
864,864,6,9
865,865,7,9
866,866,7,8
867,867,6,11
868,868,7,9
869,869,8,12
870,870,8,11
871,871,8,8
872,872,5,8
873,873,6,11
874,874,7,11
875,875,6,10
876,876,7,9
877,877,5,12
878,878,7,10
879,879,7,11
880,880,5,9
881,881,7,12
882,882,6,9
883,883,7,8
884,884,7,8
885,885,5,9
886,886,5,12
887,887,5,8
888,888,5,12
889,889,8,11
890,890,5,11
891,891,5,9
892,892,7,8
893,893,7,8
894,894,7,9
895,895,6,12
896,896,5,12
897,897,5,9
898,898,8,9
899,899,7,8
900,900,5,10
901,901,5,12
902,902,8,10
903,903,6,11
904,904,7,9
905,905,6,8
906,906,5,8
907,907,6,11
908,908,6,8
909,909,6,10
910,910,5,8
911,911,7,12
912,912,5,8
913,913,7,10
914,914,8,9
915,915,7,11
916,916,6,9
917,917,6,9
918,918,7,11
919,919,5,8
920,920,7,12
921,921,5,10
922,922,5,9
923,923,6,8
924,924,8,8
925,925,7,12
926,926,8,10
927,927,8,8
928,928,6,12
929,929,7,10
930,930,7,12
931,931,7,10
932,932,5,12
933,933,8,10
934,934,7,9
935,935,8,9
936,936,7,11
937,937,7,9
938,938,8,11
939,939,5,11
940,940,7,12
941,941,5,8
942,942,7,10
943,943,8,12
944,944,8,11
945,945,6,10
946,946,8,8
947,947,5,12
948,948,8,8
949,949,6,9
950,950,5,11
951,951,6,8
952,952,5,11
953,953,6,12
954,954,5,11
955,955,6,10
956,956,6,8
957,957,5,11
958,958,8,8
959,959,7,9
960,960,5,10
961,961,6,8
962,962,8,11
963,963,6,9
964,964,8,11
965,965,7,8
966,966,6,10
967,967,8,8
968,968,7,11
969,969,7,8
970,970,8,11
971,971,6,11
972,972,6,11
973,973,7,12
974,974,5,8
975,975,7,8
976,976,6,9
977,977,5,10
978,978,5,11
979,979,7,11
980,980,6,10
981,981,7,11
982,982,8,11
983,983,8,10
984,984,6,10
985,985,8,12
986,986,6,8
987,987,5,12
988,988,6,9
989,989,7,10
990,990,6,10
991,991,5,11
992,992,6,10
993,993,5,8
994,994,5,12
995,995,5,10
996,996,6,8
997,997,7,12
998,998,5,8
999,999,6,9
1000,1000,6,10
1001,1001,5,10
1002,1002,6,11
1003,1003,5,10
1004,1004,7,10
1005,1005,5,12
1006,1006,7,12
1007,1007,8,9
1008,1008,8,11
1009,1009,8,9
1010,1010,5,8
1011,1011,7,12
1012,1012,8,10
1013,1013,6,8
1014,1014,7,12
1015,1015,6,8
1016,1016,5,8
1017,1017,7,12
1018,1018,7,9
1019,1019,5,10
1020,1020,6,11
1021,1021,8,10
1022,1022,8,9
1023,1023,8,11
1024,1024,7,10
1025,1025,6,8
1026,1026,7,12
1027,1027,8,10
1028,1028,7,11
1029,1029,7,9
1030,1030,8,9
1031,1031,6,9
1032,1032,6,8
1033,1033,8,9
1034,1034,8,11
1035,1035,6,10
1036,1036,8,8
1037,1037,5,8
1038,1038,8,12
1039,1039,6,11
1040,1040,6,11
1041,1041,5,9
1042,1042,8,10
1043,1043,8,10
1044,1044,5,8
1045,1045,6,10
1046,1046,5,11
1047,1047,6,8
1048,1048,8,9
1049,1049,5,8
1050,1050,5,12
1051,1051,8,12
1052,1052,5,9
1053,1053,8,8
1054,1054,6,12
1055,1055,6,11
1056,1056,8,12
1057,1057,5,9
1058,1058,7,8
1059,1059,7,11
1060,1060,7,8
1061,1061,8,9
1062,1062,8,9
1063,1063,7,12
1064,1064,5,11
1065,1065,8,8
1066,1066,8,11
1067,1067,7,12
1068,1068,7,12
1069,1069,6,8
1070,1070,7,8
1071,1071,7,9
1072,1072,8,10
1073,1073,5,8
1074,1074,5,10
1075,1075,5,10
1076,1076,6,8
1077,1077,5,12
1078,1078,6,11
1079,1079,6,10
1080,1080,6,9
1081,1081,7,9
1082,1082,7,9
1083,1083,6,8
1084,1084,5,12
1085,1085,6,10
1086,1086,6,8
1087,1087,8,9
1088,1088,6,12
1089,1089,6,11
1090,1090,8,8
1091,1091,6,8
1092,1092,5,11
1093,1093,6,10
1094,1094,7,11
1095,1095,8,8
1096,1096,7,9
1097,1097,5,9
1098,1098,6,8
1099,1099,5,8
1100,1100,6,12
1101,1101,7,9
1102,1102,5,11
1103,1103,6,9
1104,1104,8,9
1105,1105,5,10
1106,1106,8,11
1107,1107,7,12
1108,1108,5,8
1109,1109,5,11
1110,1110,8,9
1111,1111,5,8
1112,1112,5,10
1113,1113,6,8
1114,1114,7,8
1115,1115,7,8
1116,1116,8,9
1117,1117,8,8
1118,1118,7,8
1119,1119,5,12
1120,1120,7,9
1121,1121,8,12
1122,1122,5,11
1123,1123,6,8
1124,1124,6,12
1125,1125,8,11
1126,1126,8,11
1127,1127,6,8
1128,1128,5,10
1129,1129,8,9
1130,1130,6,8
1131,1131,5,8
1132,1132,7,9
1133,1133,5,8
1134,1134,6,8
1135,1135,8,11
1136,1136,6,10
1137,1137,6,9
1138,1138,6,11
1139,1139,5,9
1140,1140,5,9
1141,1141,5,9
1142,1142,8,9
1143,1143,8,9
1144,1144,6,12
1145,1145,8,12
1146,1146,8,12
1147,1147,5,9
1148,1148,8,8
1149,1149,5,11
1150,1150,7,12
1151,1151,8,8
1152,1152,7,11
1153,1153,6,12
1154,1154,6,10
1155,1155,7,11
1156,1156,7,12
1157,1157,6,9
1158,1158,5,9
1159,1159,5,11
1160,1160,6,9
1161,1161,8,12
1162,1162,6,8
1163,1163,7,10
1164,1164,5,8
1165,1165,6,11
1166,1166,5,8
1167,1167,8,12
1168,1168,8,8
1169,1169,5,12
1170,1170,6,11
1171,1171,7,11
1172,1172,7,12
1173,1173,5,12
1174,1174,6,10
1175,1175,8,10
1176,1176,5,12
1177,1177,7,12
1178,1178,6,9
1179,1179,5,8
1180,1180,7,10
1181,1181,6,12
1182,1182,7,8
1183,1183,5,9
1184,1184,7,10
1185,1185,8,12
1186,1186,6,8
1187,1187,5,12
1188,1188,5,8
1189,1189,6,8
1190,1190,5,8
1191,1191,5,12
1192,1192,8,11
1193,1193,8,8
1194,1194,6,8
1195,1195,8,11
1196,1196,7,11
1197,1197,6,10
1198,1198,8,9
1199,1199,5,9
1200,1200,6,9
1201,1201,7,8
1202,1202,8,8
1203,1203,8,9
1204,1204,6,12
1205,1205,7,11
1206,1206,8,12
1207,1207,5,9
1208,1208,5,8
1209,1209,6,11
1210,1210,7,10
1211,1211,8,10
1212,1212,6,12
1213,1213,7,11
1214,1214,5,9
1215,1215,7,11
1216,1216,8,8
1217,1217,8,9
1218,1218,8,11
1219,1219,7,8
1220,1220,8,9
1221,1221,7,10
1222,1222,5,10
1223,1223,6,10
1224,1224,5,8
1225,1225,6,8
1226,1226,8,10
1227,1227,7,12
1228,1228,6,11
1229,1229,5,11
1230,1230,5,9
1231,1231,6,11
1232,1232,7,9
1233,1233,8,12
1234,1234,7,9
1235,1235,5,8
1236,1236,8,10
1237,1237,6,8
1238,1238,8,11
1239,1239,6,11
1240,1240,6,10
1241,1241,5,9
1242,1242,7,8
1243,1243,8,8
1244,1244,7,8
1245,1245,5,8
1246,1246,5,8
1247,1247,6,12
1248,1248,7,11
1249,1249,8,8
1250,1250,6,10
1251,1251,6,12
1252,1252,6,11
1253,1253,6,11
1254,1254,7,10
1255,1255,8,11
1256,1256,7,12
1257,1257,8,9
1258,1258,6,12
1259,1259,5,10
1260,1260,7,12
1261,1261,8,9
1262,1262,5,9
1263,1263,8,11
1264,1264,6,12
1265,1265,7,12
1266,1266,5,11
1267,1267,6,9
1268,1268,5,11
1269,1269,8,11
1270,1270,7,11
1271,1271,7,12
1272,1272,7,9
1273,1273,5,8
1274,1274,6,9
1275,1275,5,12
1276,1276,7,11
1277,1277,7,12
1278,1278,6,11
1279,1279,8,10
1280,1280,5,11
1281,1281,7,11
1282,1282,8,9
1283,1283,8,10
1284,1284,5,10
1285,1285,7,12
1286,1286,5,8
1287,1287,5,9
1288,1288,6,9
1289,1289,7,12
1290,1290,8,11
1291,1291,6,11
1292,1292,8,8
1293,1293,5,10
1294,1294,5,10
1295,1295,7,12
1296,1296,5,12
1297,1297,6,10
1298,1298,6,12
1299,1299,6,12
1300,1300,5,9
1301,1301,7,8
1302,1302,7,8
1303,1303,7,10
1304,1304,6,12
1305,1305,5,10
1306,1306,5,10
1307,1307,7,11
1308,1308,8,9
1309,1309,6,10
1310,1310,5,11
1311,1311,5,8
1312,1312,7,12
1313,1313,5,11
1314,1314,7,8
1315,1315,5,11
1316,1316,7,10
1317,1317,7,10
1318,1318,7,8
1319,1319,6,9
1320,1320,7,11
1321,1321,7,9
1322,1322,5,8
1323,1323,6,8
1324,1324,6,9
1325,1325,5,8
1326,1326,5,10
1327,1327,7,11
1328,1328,8,11
1329,1329,5,12
1330,1330,7,8
1331,1331,5,11
1332,1332,7,8
1333,1333,7,10
1334,1334,6,9
1335,1335,6,10
1336,1336,8,12
1337,1337,5,9
1338,1338,8,9
1339,1339,7,11
1340,1340,6,10
1341,1341,7,11
1342,1342,6,8
1343,1343,8,11
1344,1344,8,8
1345,1345,8,10
1346,1346,8,8
1347,1347,7,10
1348,1348,6,8
1349,1349,7,8
1350,1350,6,10
1351,1351,5,9
1352,1352,6,11
1353,1353,5,12
1354,1354,8,12
1355,1355,8,9
1356,1356,7,8
1357,1357,8,8
1358,1358,5,10
1359,1359,6,10
1360,1360,5,11
1361,1361,5,9
1362,1362,7,12
1363,1363,7,12
1364,1364,8,12
1365,1365,8,11
1366,1366,7,11
1367,1367,7,11
1368,1368,5,10
1369,1369,7,8
1370,1370,7,10
1371,1371,8,8
1372,1372,8,11
1373,1373,8,9
1374,1374,8,9
1375,1375,7,12
1376,1376,7,12
1377,1377,7,12
1378,1378,5,11
1379,1379,8,9
1380,1380,5,10
1381,1381,7,8
1382,1382,7,9
1383,1383,5,10
1384,1384,5,12
1385,1385,7,8
1386,1386,6,10
1387,1387,7,10
1388,1388,5,12
1389,1389,8,10
1390,1390,8,8
1391,1391,5,10
1392,1392,6,11
1393,1393,5,9
1394,1394,8,12
1395,1395,5,8
1396,1396,5,11
1397,1397,8,12
1398,1398,7,8
1399,1399,7,8
1400,1400,6,10
1401,1401,5,8
1402,1402,6,12
1403,1403,7,11
1404,1404,7,8
1405,1405,5,12
1406,1406,8,11
1407,1407,7,12
1408,1408,6,10
1409,1409,8,11
1410,1410,5,12
1411,1411,8,12
1412,1412,7,9
1413,1413,6,12
1414,1414,6,12
1415,1415,8,9
1416,1416,8,10
1417,1417,8,12
1418,1418,5,10
1419,1419,8,12
1420,1420,6,8
1421,1421,8,11
1422,1422,6,8
1423,1423,5,12
1424,1424,6,10
1425,1425,5,12
1426,1426,6,11
1427,1427,5,12
1428,1428,6,9
1429,1429,6,8
1430,1430,6,9
1431,1431,5,11
1432,1432,8,9
1433,1433,7,10
1434,1434,5,9
1435,1435,8,9
1436,1436,5,12
1437,1437,8,10
1438,1438,5,11
1439,1439,8,12
1440,1440,5,10
1441,1441,6,9
1442,1442,8,8
1443,1443,7,9
1444,1444,8,12
1445,1445,5,10
1446,1446,6,9
1447,1447,8,8
1448,1448,5,8
1449,1449,6,10
1450,1450,5,9
1451,1451,7,12
1452,1452,7,9
1453,1453,6,12
1454,1454,7,11
1455,1455,5,12
1456,1456,5,11
1457,1457,6,9
1458,1458,8,10
1459,1459,7,11
1460,1460,6,9
1461,1461,7,11
1462,1462,7,10
1463,1463,6,11
1464,1464,6,8
1465,1465,6,9
1466,1466,7,9
1467,1467,7,10
1468,1468,5,12
1469,1469,7,11
1470,1470,6,12
1471,1471,7,8
1472,1472,8,12
1473,1473,8,12
1474,1474,8,8
1475,1475,6,10
1476,1476,8,9
1477,1477,5,10
1478,1478,5,10
1479,1479,5,11
1480,1480,7,12
1481,1481,7,9
1482,1482,6,12
1483,1483,6,8
1484,1484,6,8
1485,1485,7,10
1486,1486,5,10
1487,1487,7,8
1488,1488,5,8
1489,1489,7,12
1490,1490,5,9
1491,1491,8,12
1492,1492,5,8
1493,1493,8,11
1494,1494,6,11
1495,1495,7,9
1496,1496,6,9
1497,1497,7,11
1498,1498,5,12
1499,1499,6,8
1500,1500,5,11
1501,1501,6,11
1502,1502,5,9
1503,1503,7,8
1504,1504,5,9
1505,1505,8,12
1506,1506,5,10
1507,1507,8,8
1508,1508,8,8
1509,1509,6,8
1510,1510,7,12
1511,1511,5,12
1512,1512,8,10
1513,1513,5,9
1514,1514,6,10
1515,1515,8,10
1516,1516,6,8
1517,1517,5,12
1518,1518,7,8
1519,1519,5,9
1520,1520,8,9
1521,1521,6,8
1522,1522,6,12
1523,1523,5,8
1524,1524,5,9
1525,1525,5,10
1526,1526,5,10
1527,1527,6,11
1528,1528,8,12
1529,1529,8,11
1530,1530,6,12
1531,1531,5,8
1532,1532,5,10
1533,1533,7,12
1534,1534,8,8
1535,1535,5,8
1536,1536,5,12
1537,1537,8,11
1538,1538,7,8
1539,1539,8,11
1540,1540,5,12
1541,1541,5,11
1542,1542,8,11
1543,1543,5,10
1544,1544,6,12
1545,1545,8,10
1546,1546,6,8
1547,1547,7,11
1548,1548,5,8
1549,1549,7,8
1550,1550,6,11
1551,1551,5,8
1552,1552,6,12
1553,1553,7,11
1554,1554,6,12
1555,1555,6,8
1556,1556,7,10
1557,1557,7,10
1558,1558,5,9
1559,1559,7,10
1560,1560,5,10
1561,1561,6,10
1562,1562,6,8
1563,1563,5,10
1564,1564,8,10
1565,1565,6,8
1566,1566,6,11
1567,1567,8,9
1568,1568,5,10
1569,1569,6,8
1570,1570,5,10
1571,1571,6,11
1572,1572,7,9
1573,1573,6,8
1574,1574,8,12
1575,1575,7,11
1576,1576,7,10
1577,1577,7,12
1578,1578,7,10
1579,1579,6,8
1580,1580,7,9
1581,1581,8,9
1582,1582,5,8
1583,1583,6,12
1584,1584,7,12
1585,1585,5,12
1586,1586,7,9
1587,1587,6,8
1588,1588,5,9
1589,1589,5,9
1590,1590,6,8
1591,1591,5,12
1592,1592,7,12
