IDCLIENTE,OFERTAID,CANTIDAD,FECHAINICIAL,FECHAFINAL
159,160,159,23/05/2020,22/05/2020
160,161,160,24/05/2020,23/05/2020
161,162,161,22/05/2020,19/05/2020
162,163,162,23/05/2020,21/05/2020
163,164,163,22/05/2020,23/05/2020
164,165,164,23/05/2020,18/05/2020
165,166,165,24/05/2020,21/05/2020
166,167,166,21/05/2020,23/05/2020
167,168,167,18/05/2020,23/05/2020
168,169,168,19/05/2020,18/05/2020
169,170,169,21/05/2020,20/05/2020
170,171,170,21/05/2020,22/05/2020
171,172,171,18/05/2020,22/05/2020
172,173,172,19/05/2020,18/05/2020
173,174,173,19/05/2020,19/05/2020
174,175,174,20/05/2020,22/05/2020
175,176,175,18/05/2020,20/05/2020
176,177,176,22/05/2020,19/05/2020
177,178,177,23/05/2020,21/05/2020
178,179,178,21/05/2020,20/05/2020
179,180,179,19/05/2020,21/05/2020
180,181,180,24/05/2020,19/05/2020
181,182,181,23/05/2020,20/05/2020
182,183,182,22/05/2020,22/05/2020
183,184,183,20/05/2020,24/05/2020
184,185,184,22/05/2020,23/05/2020
185,186,185,24/05/2020,19/05/2020
186,187,186,23/05/2020,23/05/2020
187,188,187,20/05/2020,19/05/2020
188,189,188,23/05/2020,24/05/2020
189,190,189,24/05/2020,20/05/2020
190,191,190,24/05/2020,20/05/2020
191,192,191,18/05/2020,20/05/2020
192,193,192,24/05/2020,20/05/2020
193,194,193,19/05/2020,21/05/2020
194,195,194,20/05/2020,24/05/2020
195,196,195,19/05/2020,20/05/2020
196,197,196,23/05/2020,23/05/2020
197,198,197,20/05/2020,23/05/2020
198,199,198,24/05/2020,19/05/2020
199,200,199,24/05/2020,19/05/2020
200,201,200,18/05/2020,23/05/2020
201,202,201,18/05/2020,23/05/2020
202,203,202,20/05/2020,19/05/2020
203,204,203,24/05/2020,21/05/2020
204,205,204,19/05/2020,19/05/2020
205,206,205,21/05/2020,20/05/2020
206,207,206,18/05/2020,23/05/2020
207,208,207,21/05/2020,21/05/2020
208,209,208,20/05/2020,20/05/2020
209,210,209,19/05/2020,24/05/2020
210,211,210,24/05/2020,19/05/2020
211,212,211,21/05/2020,21/05/2020
212,213,212,21/05/2020,23/05/2020
213,214,213,21/05/2020,20/05/2020
214,215,214,21/05/2020,23/05/2020
215,216,215,21/05/2020,23/05/2020
216,217,216,20/05/2020,19/05/2020
217,218,217,22/05/2020,20/05/2020
218,219,218,23/05/2020,21/05/2020
219,220,219,21/05/2020,22/05/2020
220,221,220,20/05/2020,18/05/2020
221,222,221,19/05/2020,20/05/2020
222,223,222,18/05/2020,21/05/2020
223,224,223,21/05/2020,24/05/2020
224,225,224,19/05/2020,22/05/2020
225,226,225,18/05/2020,23/05/2020
226,227,226,21/05/2020,24/05/2020
227,228,227,18/05/2020,18/05/2020
228,229,228,21/05/2020,23/05/2020
229,230,229,24/05/2020,23/05/2020
230,231,230,22/05/2020,21/05/2020
231,232,231,20/05/2020,20/05/2020
232,233,232,20/05/2020,20/05/2020
233,234,233,19/05/2020,21/05/2020
234,235,234,19/05/2020,22/05/2020
235,236,235,24/05/2020,18/05/2020
236,237,236,24/05/2020,20/05/2020
237,238,237,18/05/2020,22/05/2020
238,239,238,19/05/2020,22/05/2020
239,240,239,20/05/2020,22/05/2020
240,241,240,21/05/2020,22/05/2020
241,242,241,19/05/2020,23/05/2020
242,243,242,23/05/2020,20/05/2020
243,244,243,22/05/2020,23/05/2020
244,245,244,23/05/2020,19/05/2020
245,246,245,22/05/2020,18/05/2020
246,247,246,21/05/2020,24/05/2020
247,248,247,22/05/2020,21/05/2020
248,249,248,24/05/2020,20/05/2020
249,250,249,24/05/2020,20/05/2020
250,251,250,21/05/2020,18/05/2020
251,252,251,24/05/2020,23/05/2020
252,253,252,19/05/2020,23/05/2020
253,254,253,24/05/2020,18/05/2020
254,255,254,19/05/2020,19/05/2020
255,256,255,24/05/2020,18/05/2020
256,257,256,24/05/2020,21/05/2020
257,258,257,18/05/2020,18/05/2020
258,259,258,21/05/2020,19/05/2020
259,260,259,18/05/2020,21/05/2020
260,261,260,18/05/2020,24/05/2020
261,262,261,18/05/2020,20/05/2020
262,263,262,24/05/2020,21/05/2020
263,264,263,18/05/2020,19/05/2020
264,265,264,20/05/2020,19/05/2020
265,266,265,22/05/2020,18/05/2020
266,267,266,22/05/2020,20/05/2020
267,268,267,19/05/2020,24/05/2020
268,269,268,19/05/2020,20/05/2020
269,270,269,18/05/2020,20/05/2020
270,271,270,21/05/2020,22/05/2020
271,272,271,19/05/2020,24/05/2020
272,273,272,19/05/2020,21/05/2020
273,274,273,20/05/2020,19/05/2020
274,275,274,19/05/2020,20/05/2020
275,276,275,22/05/2020,18/05/2020
276,277,276,20/05/2020,22/05/2020
277,278,277,24/05/2020,23/05/2020
278,279,278,24/05/2020,19/05/2020
279,280,279,21/05/2020,20/05/2020
280,281,280,21/05/2020,18/05/2020
281,282,281,21/05/2020,19/05/2020
282,283,282,21/05/2020,20/05/2020
283,284,283,22/05/2020,20/05/2020
284,285,284,24/05/2020,19/05/2020
285,286,285,23/05/2020,24/05/2020
286,287,286,21/05/2020,19/05/2020
287,288,287,24/05/2020,24/05/2020
288,289,288,21/05/2020,21/05/2020
289,290,289,23/05/2020,19/05/2020
290,291,290,18/05/2020,18/05/2020
291,292,291,18/05/2020,22/05/2020
292,293,292,23/05/2020,22/05/2020
293,294,293,20/05/2020,21/05/2020
294,295,294,21/05/2020,24/05/2020
295,296,295,19/05/2020,20/05/2020
296,297,296,22/05/2020,24/05/2020
297,298,297,21/05/2020,21/05/2020
298,299,298,20/05/2020,18/05/2020
299,300,299,24/05/2020,22/05/2020
300,301,300,19/05/2020,22/05/2020
301,302,301,19/05/2020,21/05/2020
302,303,302,21/05/2020,23/05/2020
303,304,303,19/05/2020,20/05/2020
304,305,304,22/05/2020,19/05/2020
305,306,305,20/05/2020,20/05/2020
306,307,306,20/05/2020,18/05/2020
307,308,307,20/05/2020,20/05/2020
308,309,308,23/05/2020,20/05/2020
309,310,309,21/05/2020,18/05/2020
310,311,310,20/05/2020,22/05/2020
311,312,311,18/05/2020,22/05/2020
312,313,312,22/05/2020,18/05/2020
313,314,313,18/05/2020,18/05/2020
314,315,314,24/05/2020,22/05/2020
315,316,315,24/05/2020,20/05/2020
316,317,316,21/05/2020,22/05/2020
317,318,317,23/05/2020,24/05/2020
318,319,318,22/05/2020,21/05/2020
319,320,319,18/05/2020,18/05/2020
320,321,320,19/05/2020,22/05/2020
321,322,321,21/05/2020,20/05/2020
322,323,322,20/05/2020,24/05/2020
323,324,323,24/05/2020,23/05/2020
324,325,324,24/05/2020,23/05/2020
325,326,325,18/05/2020,21/05/2020
326,327,326,23/05/2020,19/05/2020
327,328,327,22/05/2020,22/05/2020
328,329,328,22/05/2020,18/05/2020
329,330,329,20/05/2020,19/05/2020
330,331,330,19/05/2020,21/05/2020
331,332,331,22/05/2020,24/05/2020
332,333,332,20/05/2020,24/05/2020
333,334,333,22/05/2020,22/05/2020
334,335,334,21/05/2020,19/05/2020
335,336,335,23/05/2020,20/05/2020
336,337,336,19/05/2020,19/05/2020
337,338,337,19/05/2020,23/05/2020
338,339,338,21/05/2020,18/05/2020
339,340,339,20/05/2020,21/05/2020
340,341,340,23/05/2020,22/05/2020
341,342,341,24/05/2020,19/05/2020
342,343,342,20/05/2020,19/05/2020
343,344,343,19/05/2020,21/05/2020
344,345,344,20/05/2020,18/05/2020
345,346,345,19/05/2020,24/05/2020
346,347,346,24/05/2020,18/05/2020
347,348,347,24/05/2020,18/05/2020
348,349,348,18/05/2020,23/05/2020
349,350,349,24/05/2020,23/05/2020
350,351,350,20/05/2020,21/05/2020
351,352,351,18/05/2020,23/05/2020
352,353,352,19/05/2020,21/05/2020
353,354,353,24/05/2020,22/05/2020
354,355,354,23/05/2020,18/05/2020
355,356,355,20/05/2020,21/05/2020
356,357,356,18/05/2020,24/05/2020
357,358,357,19/05/2020,18/05/2020
358,359,358,21/05/2020,21/05/2020
359,360,359,22/05/2020,23/05/2020
360,361,360,19/05/2020,24/05/2020
361,362,361,23/05/2020,22/05/2020
362,363,362,21/05/2020,18/05/2020
363,364,363,21/05/2020,22/05/2020
364,365,364,24/05/2020,22/05/2020
365,366,365,24/05/2020,24/05/2020
366,367,366,19/05/2020,19/05/2020
367,368,367,18/05/2020,21/05/2020
368,369,368,19/05/2020,18/05/2020
369,370,369,19/05/2020,24/05/2020
370,371,370,22/05/2020,24/05/2020
371,372,371,19/05/2020,23/05/2020
372,373,372,19/05/2020,18/05/2020
373,374,373,21/05/2020,21/05/2020
374,375,374,21/05/2020,20/05/2020
375,376,375,22/05/2020,22/05/2020
376,377,376,19/05/2020,21/05/2020
377,378,377,23/05/2020,23/05/2020
378,379,378,20/05/2020,24/05/2020
379,380,379,24/05/2020,24/05/2020
380,381,380,18/05/2020,18/05/2020
381,382,381,22/05/2020,20/05/2020
382,383,382,18/05/2020,19/05/2020
383,384,383,23/05/2020,24/05/2020
384,385,384,19/05/2020,19/05/2020
385,386,385,20/05/2020,19/05/2020
386,387,386,23/05/2020,21/05/2020
387,388,387,22/05/2020,23/05/2020
388,389,388,23/05/2020,23/05/2020
389,390,389,21/05/2020,24/05/2020
390,391,390,21/05/2020,20/05/2020
391,392,391,18/05/2020,23/05/2020
392,393,392,20/05/2020,19/05/2020
393,394,393,18/05/2020,21/05/2020
394,395,394,21/05/2020,24/05/2020
395,396,395,23/05/2020,24/05/2020
396,397,396,23/05/2020,23/05/2020
397,398,397,18/05/2020,23/05/2020
398,399,398,20/05/2020,19/05/2020
399,400,399,18/05/2020,23/05/2020
400,401,400,20/05/2020,20/05/2020
401,402,401,20/05/2020,24/05/2020
402,403,402,19/05/2020,20/05/2020
403,404,403,21/05/2020,20/05/2020
404,405,404,22/05/2020,22/05/2020
405,406,405,19/05/2020,18/05/2020
406,407,406,22/05/2020,24/05/2020
407,408,407,20/05/2020,19/05/2020
408,409,408,22/05/2020,23/05/2020
409,410,409,22/05/2020,18/05/2020
410,411,410,19/05/2020,18/05/2020
411,412,411,18/05/2020,23/05/2020
412,413,412,22/05/2020,21/05/2020
413,414,413,23/05/2020,23/05/2020
414,415,414,21/05/2020,21/05/2020
415,416,415,23/05/2020,23/05/2020
416,417,416,21/05/2020,24/05/2020
417,418,417,23/05/2020,19/05/2020
418,419,418,22/05/2020,19/05/2020
419,420,419,24/05/2020,19/05/2020
420,421,420,18/05/2020,23/05/2020
421,422,421,21/05/2020,19/05/2020
422,423,422,24/05/2020,23/05/2020
423,424,423,22/05/2020,21/05/2020
424,425,424,24/05/2020,21/05/2020
425,426,425,24/05/2020,24/05/2020
426,427,426,22/05/2020,20/05/2020
427,428,427,22/05/2020,18/05/2020
428,429,428,23/05/2020,22/05/2020
429,430,429,20/05/2020,19/05/2020
430,431,430,24/05/2020,22/05/2020
431,432,431,21/05/2020,20/05/2020
432,433,432,23/05/2020,21/05/2020
433,434,433,18/05/2020,23/05/2020
434,435,434,24/05/2020,22/05/2020
435,436,435,19/05/2020,21/05/2020
436,437,436,21/05/2020,18/05/2020
437,438,437,18/05/2020,20/05/2020
438,439,438,22/05/2020,22/05/2020
439,440,439,19/05/2020,23/05/2020
440,441,440,21/05/2020,22/05/2020
441,442,441,19/05/2020,21/05/2020
442,443,442,18/05/2020,20/05/2020
443,444,443,19/05/2020,24/05/2020
444,445,444,19/05/2020,22/05/2020
445,446,445,18/05/2020,21/05/2020
446,447,446,20/05/2020,21/05/2020
447,448,447,21/05/2020,23/05/2020
448,449,448,21/05/2020,24/05/2020
449,450,449,19/05/2020,23/05/2020
450,451,450,24/05/2020,23/05/2020
451,452,451,21/05/2020,22/05/2020
452,453,452,20/05/2020,20/05/2020
453,454,453,20/05/2020,18/05/2020
454,455,454,24/05/2020,19/05/2020
455,456,455,20/05/2020,18/05/2020
456,457,456,21/05/2020,19/05/2020
457,458,457,20/05/2020,20/05/2020
458,459,458,22/05/2020,24/05/2020
459,460,459,22/05/2020,21/05/2020
460,461,460,18/05/2020,20/05/2020
461,462,461,23/05/2020,22/05/2020
462,463,462,20/05/2020,18/05/2020
463,464,463,20/05/2020,24/05/2020
464,465,464,20/05/2020,23/05/2020
465,466,465,21/05/2020,24/05/2020
466,467,466,22/05/2020,20/05/2020
467,468,467,22/05/2020,22/05/2020
468,469,468,20/05/2020,21/05/2020
469,470,469,19/05/2020,22/05/2020
470,471,470,22/05/2020,24/05/2020
471,472,471,20/05/2020,22/05/2020
472,473,472,21/05/2020,24/05/2020
473,474,473,21/05/2020,23/05/2020
474,475,474,19/05/2020,21/05/2020
475,476,475,23/05/2020,19/05/2020
476,477,476,18/05/2020,20/05/2020
477,478,477,22/05/2020,19/05/2020
478,479,478,23/05/2020,21/05/2020
479,480,479,22/05/2020,22/05/2020
480,481,480,18/05/2020,20/05/2020
481,482,481,22/05/2020,19/05/2020
482,483,482,23/05/2020,21/05/2020
483,484,483,20/05/2020,20/05/2020
484,485,484,18/05/2020,20/05/2020
485,486,485,19/05/2020,23/05/2020
486,487,486,22/05/2020,18/05/2020
487,488,487,24/05/2020,18/05/2020
488,489,488,22/05/2020,20/05/2020
489,490,489,21/05/2020,21/05/2020
490,491,490,22/05/2020,18/05/2020
491,492,491,23/05/2020,18/05/2020
492,493,492,20/05/2020,24/05/2020
493,494,493,23/05/2020,21/05/2020
494,495,494,19/05/2020,24/05/2020
495,496,495,18/05/2020,23/05/2020
496,497,496,18/05/2020,21/05/2020
497,498,497,22/05/2020,21/05/2020
498,499,498,21/05/2020,23/05/2020
499,500,499,20/05/2020,20/05/2020
500,501,500,21/05/2020,23/05/2020
501,502,501,22/05/2020,19/05/2020
502,503,502,19/05/2020,18/05/2020
503,504,503,24/05/2020,22/05/2020
504,505,504,20/05/2020,22/05/2020
505,506,505,19/05/2020,24/05/2020
506,507,506,18/05/2020,22/05/2020
507,508,507,20/05/2020,22/05/2020
508,509,508,19/05/2020,18/05/2020
509,510,509,21/05/2020,22/05/2020
510,511,510,23/05/2020,20/05/2020
511,512,511,20/05/2020,24/05/2020
512,513,512,21/05/2020,20/05/2020
513,514,513,23/05/2020,18/05/2020
514,515,514,22/05/2020,24/05/2020
515,516,515,22/05/2020,21/05/2020
516,517,516,20/05/2020,18/05/2020
517,518,517,18/05/2020,19/05/2020
518,519,518,18/05/2020,19/05/2020
519,520,519,19/05/2020,19/05/2020
520,521,520,23/05/2020,22/05/2020
521,522,521,19/05/2020,20/05/2020
522,523,522,21/05/2020,24/05/2020
523,524,523,23/05/2020,20/05/2020
524,525,524,20/05/2020,21/05/2020
525,526,525,21/05/2020,20/05/2020
526,527,526,20/05/2020,23/05/2020
527,528,527,24/05/2020,18/05/2020
528,529,528,20/05/2020,23/05/2020
529,530,529,18/05/2020,19/05/2020
530,531,530,22/05/2020,23/05/2020
531,532,531,21/05/2020,19/05/2020
532,533,532,21/05/2020,19/05/2020
533,534,533,20/05/2020,19/05/2020
534,535,534,18/05/2020,20/05/2020
535,536,535,23/05/2020,23/05/2020
536,537,536,22/05/2020,24/05/2020
537,538,537,23/05/2020,20/05/2020
538,539,538,20/05/2020,19/05/2020
539,540,539,19/05/2020,22/05/2020
540,541,540,18/05/2020,19/05/2020
541,542,541,24/05/2020,24/05/2020
542,543,542,22/05/2020,18/05/2020
543,544,543,19/05/2020,22/05/2020
544,545,544,21/05/2020,23/05/2020
545,546,545,18/05/2020,21/05/2020
546,547,546,19/05/2020,20/05/2020
547,548,547,22/05/2020,19/05/2020
548,549,548,19/05/2020,21/05/2020
549,550,549,21/05/2020,24/05/2020
550,551,550,22/05/2020,19/05/2020
551,552,551,21/05/2020,24/05/2020
552,553,552,24/05/2020,21/05/2020
553,554,553,24/05/2020,21/05/2020
554,555,554,19/05/2020,19/05/2020
555,556,555,22/05/2020,24/05/2020
556,557,556,22/05/2020,24/05/2020
557,558,557,19/05/2020,21/05/2020
558,559,558,21/05/2020,23/05/2020
559,560,559,19/05/2020,18/05/2020
560,561,560,20/05/2020,21/05/2020
561,562,561,23/05/2020,18/05/2020
562,563,562,23/05/2020,22/05/2020
563,564,563,18/05/2020,24/05/2020
564,565,564,18/05/2020,22/05/2020
565,566,565,18/05/2020,22/05/2020
566,567,566,20/05/2020,24/05/2020
567,568,567,21/05/2020,19/05/2020
568,569,568,19/05/2020,22/05/2020
569,570,569,19/05/2020,19/05/2020
570,571,570,18/05/2020,24/05/2020
571,572,571,18/05/2020,20/05/2020
572,573,572,24/05/2020,20/05/2020
573,574,573,23/05/2020,23/05/2020
574,575,574,24/05/2020,21/05/2020
575,576,575,23/05/2020,24/05/2020
576,577,576,18/05/2020,20/05/2020
577,578,577,19/05/2020,19/05/2020
578,579,578,21/05/2020,19/05/2020
579,580,579,24/05/2020,24/05/2020
580,581,580,23/05/2020,22/05/2020
581,582,581,22/05/2020,19/05/2020
582,583,582,19/05/2020,19/05/2020
583,584,583,22/05/2020,19/05/2020
584,585,584,18/05/2020,21/05/2020
585,586,585,18/05/2020,21/05/2020
586,587,586,21/05/2020,18/05/2020
587,588,587,24/05/2020,22/05/2020
588,589,588,19/05/2020,21/05/2020
589,590,589,23/05/2020,24/05/2020
590,591,590,21/05/2020,24/05/2020
591,592,591,19/05/2020,22/05/2020
592,593,592,24/05/2020,21/05/2020
593,594,593,24/05/2020,18/05/2020
594,595,594,24/05/2020,20/05/2020
595,596,595,21/05/2020,24/05/2020
596,597,596,19/05/2020,24/05/2020
597,598,597,19/05/2020,22/05/2020
598,599,598,20/05/2020,19/05/2020
599,600,599,19/05/2020,18/05/2020
600,601,600,20/05/2020,24/05/2020
601,602,601,21/05/2020,23/05/2020
602,603,602,23/05/2020,21/05/2020
603,604,603,24/05/2020,19/05/2020
604,605,604,24/05/2020,18/05/2020
605,606,605,20/05/2020,20/05/2020
606,607,606,20/05/2020,19/05/2020
607,608,607,19/05/2020,21/05/2020
608,609,608,22/05/2020,22/05/2020
609,610,609,18/05/2020,18/05/2020
610,611,610,24/05/2020,22/05/2020
611,612,611,23/05/2020,19/05/2020
612,613,612,21/05/2020,22/05/2020
613,614,613,19/05/2020,24/05/2020
614,615,614,23/05/2020,24/05/2020
615,616,615,19/05/2020,22/05/2020
616,617,616,19/05/2020,23/05/2020
617,618,617,19/05/2020,19/05/2020
618,619,618,23/05/2020,20/05/2020
619,620,619,19/05/2020,23/05/2020
620,621,620,21/05/2020,23/05/2020
621,622,621,21/05/2020,19/05/2020
622,623,622,22/05/2020,18/05/2020
623,624,623,24/05/2020,22/05/2020
624,625,624,18/05/2020,23/05/2020
625,626,625,24/05/2020,24/05/2020
626,627,626,22/05/2020,18/05/2020
627,628,627,19/05/2020,24/05/2020
628,629,628,23/05/2020,19/05/2020
629,630,629,18/05/2020,21/05/2020
630,631,630,18/05/2020,23/05/2020
631,632,631,18/05/2020,19/05/2020
632,633,632,20/05/2020,24/05/2020
633,634,633,20/05/2020,20/05/2020
634,635,634,20/05/2020,20/05/2020
635,636,635,23/05/2020,23/05/2020
636,637,636,20/05/2020,18/05/2020
637,638,637,20/05/2020,24/05/2020
638,639,638,21/05/2020,20/05/2020
639,640,639,19/05/2020,18/05/2020
640,641,640,22/05/2020,21/05/2020
641,642,641,20/05/2020,21/05/2020
642,643,642,21/05/2020,24/05/2020
643,644,643,20/05/2020,24/05/2020
644,645,644,20/05/2020,24/05/2020
645,646,645,24/05/2020,21/05/2020
646,647,646,22/05/2020,23/05/2020
647,648,647,20/05/2020,20/05/2020
648,649,648,19/05/2020,19/05/2020
649,650,649,21/05/2020,19/05/2020
650,651,650,22/05/2020,23/05/2020
651,652,651,19/05/2020,23/05/2020
652,653,652,21/05/2020,18/05/2020
653,654,653,18/05/2020,22/05/2020
654,655,654,22/05/2020,24/05/2020
655,656,655,21/05/2020,19/05/2020
656,657,656,18/05/2020,23/05/2020
657,658,657,23/05/2020,20/05/2020
658,659,658,20/05/2020,21/05/2020
659,660,659,19/05/2020,21/05/2020
660,661,660,24/05/2020,18/05/2020
661,662,661,23/05/2020,24/05/2020
662,663,662,21/05/2020,23/05/2020
663,664,663,22/05/2020,22/05/2020
664,665,664,22/05/2020,19/05/2020
665,666,665,20/05/2020,18/05/2020
666,667,666,18/05/2020,19/05/2020
667,668,667,24/05/2020,23/05/2020
668,669,668,24/05/2020,22/05/2020
669,670,669,23/05/2020,23/05/2020
670,671,670,22/05/2020,23/05/2020
671,672,671,24/05/2020,24/05/2020
672,673,672,20/05/2020,19/05/2020
673,674,673,19/05/2020,20/05/2020
674,675,674,18/05/2020,21/05/2020
675,676,675,24/05/2020,24/05/2020
676,677,676,20/05/2020,22/05/2020
677,678,677,24/05/2020,21/05/2020
678,679,678,20/05/2020,24/05/2020
679,680,679,19/05/2020,22/05/2020
680,681,680,18/05/2020,18/05/2020
681,682,681,20/05/2020,24/05/2020
682,683,682,23/05/2020,19/05/2020
683,684,683,18/05/2020,22/05/2020
684,685,684,20/05/2020,22/05/2020
685,686,685,24/05/2020,20/05/2020
686,687,686,20/05/2020,24/05/2020
687,688,687,19/05/2020,20/05/2020
688,689,688,23/05/2020,20/05/2020
689,690,689,19/05/2020,19/05/2020
690,691,690,22/05/2020,20/05/2020
691,692,691,22/05/2020,21/05/2020
692,693,692,19/05/2020,21/05/2020
693,694,693,20/05/2020,19/05/2020
694,695,694,20/05/2020,21/05/2020
