NUMERO,INDIVIDUAL,DURACION,MENAJE
212,0,13,0
213,1,153,0
214,0,100,1
215,0,120,1
216,0,137,1
217,0,158,0
218,0,87,0
219,0,9,0
220,0,46,0
221,0,134,1
222,1,107,0
223,1,76,1
224,1,3,1
225,0,120,0
226,0,142,1
227,0,146,1
228,0,82,0
229,1,22,0
230,1,160,1
231,1,119,1
232,0,105,0
233,0,83,0
234,0,170,1
235,0,175,0
236,1,141,1
237,0,129,1
238,0,170,0
239,0,128,0
240,0,71,1
241,0,148,0
242,1,42,1
243,1,131,1
244,1,88,1
245,1,72,1
246,1,170,0
247,0,36,1
248,1,81,0
249,1,73,1
250,0,74,1
251,1,43,1
252,1,141,1
253,0,58,1
254,1,25,1
255,0,70,1
256,0,71,1
257,1,17,0
258,1,147,1
259,0,156,1
260,0,21,1
261,1,1,0
262,0,76,1
263,0,138,1
264,0,143,0
265,1,36,0
266,1,177,0
267,1,72,1
268,0,60,1
269,0,19,1
270,1,3,1
271,0,67,1
272,1,88,0
273,1,135,1
274,1,119,1
275,1,98,0
276,0,4,0
277,0,173,1
278,1,15,1
279,1,81,0
280,1,69,1
281,1,121,1
282,0,95,1
283,1,5,0
284,0,102,0
285,0,173,0
286,0,65,0
287,1,81,0
288,1,75,1
289,1,143,0
290,0,144,1
291,1,21,1
292,0,62,1
293,0,135,0
294,1,19,0
295,1,140,1
296,0,177,1
297,1,84,0
298,1,77,0
299,0,163,1
300,0,94,1
301,1,80,1
302,1,28,0
303,1,150,1
304,1,73,1
305,1,32,1
306,1,152,1
307,1,163,0
308,0,67,1
309,1,89,1
310,0,39,1
311,0,147,1
312,1,76,1
313,0,103,0
314,1,53,1
315,0,146,0
316,1,88,1
317,1,122,1
318,0,180,1
319,1,16,0
320,1,97,0
321,0,171,0
322,0,57,1
323,0,31,0
324,0,25,0
325,1,152,1
326,1,24,0
327,0,133,1
328,1,131,0
329,0,132,0
330,0,69,0
331,1,13,1
332,1,85,0
333,1,91,0
334,0,21,1
335,0,48,0
336,1,84,1
337,1,87,1
338,1,96,0
339,0,157,0
340,0,77,1
341,1,129,0
342,1,167,0
343,0,132,1
344,0,3,0
345,0,180,1
346,0,103,1
347,0,172,1
348,0,144,1
349,1,71,0
350,1,115,1
351,0,158,0
352,0,130,1
353,1,72,1
354,1,150,0
355,1,111,1
356,0,116,1
357,0,164,0
358,0,160,0
359,1,72,1
360,1,20,1
361,1,179,1
362,0,127,0
363,1,2,1
364,0,20,0
365,0,151,1
366,0,21,1
367,1,154,0
368,0,30,0
369,1,46,1
370,0,158,0
371,0,43,0
372,1,125,0
373,1,179,1
374,0,170,1
375,0,96,0
376,0,18,0
377,0,166,1
378,1,155,1
379,0,46,0
380,1,143,1
381,0,113,1
382,0,4,0
383,1,48,1
384,1,160,1
385,0,157,0
386,1,121,0
387,1,138,1
388,1,24,1
389,1,41,1
390,0,144,0
391,0,156,0
392,0,121,1
393,0,47,1
394,0,29,1
395,1,8,1
396,0,55,1
397,0,163,1
398,1,123,0
399,1,135,0
400,0,123,1
401,0,134,1
402,0,130,0
403,0,151,0
404,0,177,0
405,1,94,0
406,1,132,1
407,0,156,1
408,1,178,0
409,1,143,1
410,1,13,0
411,1,86,1
412,0,131,0
413,0,12,1
414,0,88,0
415,1,160,0
416,1,87,0
417,0,142,1
418,1,7,0
419,1,115,0
420,0,41,1
421,1,98,0
422,1,84,0
423,0,178,1
424,1,45,0
425,0,83,0
426,1,85,0
427,0,51,1
428,0,143,0
429,1,96,0
430,1,82,1
431,1,96,1
432,0,4,1
433,0,22,0
434,1,119,0
435,1,174,1
436,0,174,0
437,1,80,1
438,0,107,0
439,1,25,1
440,0,52,0
441,0,151,1
442,1,177,1
443,0,58,1
444,0,42,1
445,1,172,0
446,0,11,0
447,0,112,1
448,1,82,1
449,0,95,1
450,1,148,0
451,1,17,0
452,0,8,0
453,1,115,0
454,1,17,1
455,0,141,0
456,1,6,1
457,1,86,1
458,0,80,1
459,1,64,1
460,0,164,1
461,1,22,0
462,1,90,0
463,1,18,0
464,1,51,1
465,1,157,0
466,0,180,0
467,1,42,1
468,1,3,1
469,1,78,1
470,0,134,1
471,0,3,1
472,0,138,0
473,1,137,1
474,0,3,1
475,0,22,1
476,0,113,1
477,0,32,1
478,1,134,1
479,1,78,1
480,1,72,0
481,0,150,0
482,1,119,1
483,1,169,0
484,0,21,1
485,0,34,0
486,1,31,0
487,1,149,0
488,0,162,0
489,1,42,0
490,0,82,1
491,1,97,1
492,0,64,1
493,1,3,1
494,0,122,0
495,0,114,1
496,0,65,0
497,1,2,1
498,1,52,1
499,1,75,1
500,1,125,1
501,1,87,0
502,0,68,0
503,1,82,1
504,1,54,1
505,1,148,0
506,0,43,0
507,1,30,1
508,1,113,1
509,0,144,1
510,1,95,1
511,1,122,0
512,1,75,1
513,0,145,0
514,0,179,0
515,1,63,1
516,0,142,0
517,0,175,1
518,0,62,0
519,0,47,1
520,1,157,1
521,1,97,1
522,0,180,0
523,0,48,0
524,1,60,1
525,0,127,0
526,1,123,1
527,0,16,0
528,0,99,0
529,0,89,1
530,0,49,0
531,0,49,1
532,0,98,0
533,1,61,1
534,0,19,1
535,0,74,0
536,0,99,1
537,1,73,1
538,0,65,1
539,0,112,0
540,1,175,0
541,0,130,0
542,1,180,1
543,0,173,1
544,0,19,1
545,0,116,0
546,0,10,1
547,1,3,1
548,0,44,0
549,1,95,0
550,1,5,0
551,0,36,1
552,1,97,0
553,1,125,1
554,1,172,0
555,1,22,1
556,0,106,0
557,1,17,0
558,0,13,0
559,0,76,1
560,0,158,1
561,1,90,0
562,0,90,0
563,1,70,0
564,1,121,0
565,0,126,1
566,0,155,1
567,1,105,0
568,0,65,1
569,1,16,1
570,1,2,1
571,1,37,0
572,1,152,0
573,1,102,1
574,1,53,0
575,0,78,0
576,0,15,1
577,1,88,0
578,1,104,0
579,0,123,1
580,1,24,1
581,1,21,1
582,1,40,0
583,1,175,1
584,0,95,1
585,0,64,0
586,0,44,0
587,1,152,1
588,0,136,0
589,1,102,0
590,1,145,0
591,0,123,0
592,0,24,1
593,0,139,0
594,1,107,1
595,1,174,0
596,0,28,0
597,0,145,0
598,1,177,1
599,0,114,0
600,0,23,0
601,1,112,1
602,1,89,0
603,0,93,0
604,0,58,1
605,0,65,0
606,1,69,1
607,0,43,0
608,0,46,0
609,0,123,0
610,1,126,1
611,0,6,1
612,1,17,1
613,1,78,1
614,0,1,0
615,1,169,0
616,1,106,0
617,0,149,1
618,0,128,1
619,1,81,1
620,0,107,1
621,1,2,0
622,1,153,1
623,0,66,1
624,0,62,1
625,0,174,0
626,1,147,0
627,0,153,1
628,1,123,1
629,1,98,0
630,1,29,0
631,1,176,1
632,0,88,1
633,1,132,1
634,1,131,0
635,0,145,0
636,1,88,0
637,0,171,0
638,0,116,1
639,0,76,0
640,0,125,0
641,1,8,0
642,1,18,1
643,0,25,0
644,0,151,0
645,0,23,0
646,1,98,1
647,0,40,1
648,1,92,1
649,1,92,1
650,1,92,1
651,0,37,1
652,0,71,1
653,0,75,1
654,0,178,0
655,0,71,0
656,0,147,0
657,0,106,1
658,1,112,0
659,0,27,1
660,1,23,0
661,0,178,1
662,0,162,1
663,0,143,1
664,1,143,0
665,0,53,0
666,0,100,0
667,0,59,0
668,0,79,1
669,1,55,1
670,1,140,1
671,0,98,0
672,0,120,0
673,0,91,1
674,1,20,0
675,1,173,1
676,1,149,1
677,1,34,0
678,0,80,1
679,0,162,0
680,0,59,0
681,0,14,1
682,1,45,0
683,1,67,1
684,1,6,0
685,0,42,0
686,0,112,0
687,0,58,0
688,1,56,1
689,1,157,0
690,0,99,0
691,1,51,0
692,1,152,1
693,0,129,1
694,1,81,1
695,0,130,0
696,1,121,0
697,0,83,0
698,1,132,1
699,0,103,0
700,1,90,1
701,0,36,1
702,0,158,1
703,0,75,1
704,1,50,1
705,0,33,0
706,0,10,0
707,1,160,1
708,1,34,0
709,1,111,0
710,1,171,1
711,0,77,0
712,0,75,1
713,0,60,1
714,0,42,0
715,0,116,1
716,1,104,0
717,0,166,0
718,1,61,0
719,1,116,1
720,1,161,1
721,0,73,0
722,1,65,1
723,1,162,0
724,0,132,0
725,0,149,0
726,0,131,0
727,0,144,0
728,1,29,1
729,1,22,1
730,0,167,0
731,0,95,1
732,0,23,1
733,1,42,0
734,0,117,1
735,0,24,0
736,0,37,0
737,1,24,0
738,1,31,1
739,0,86,0
740,0,166,0
741,1,113,0
742,0,92,0
743,0,163,1
744,0,80,0
745,1,94,1
746,0,31,0
747,1,32,0
748,0,122,1
749,1,127,0
750,0,36,1
751,0,18,0
752,1,16,1
753,0,89,0
754,1,113,0
755,1,114,0
756,1,49,1
757,1,68,1
758,1,150,0
759,0,80,1
760,0,133,1
761,0,34,0
762,0,109,0
763,1,168,0
764,1,122,0
765,1,156,1
766,1,12,0
767,0,75,0
768,0,178,0
769,0,11,1
770,0,55,0
771,0,156,1
772,1,50,0
773,1,68,1
774,1,161,0
775,0,131,0
776,0,14,1
777,0,174,0
778,1,132,0
779,1,154,1
780,0,6,1
781,0,144,1
782,0,37,1
783,1,20,0
784,1,147,0
785,1,56,0
786,1,19,1
787,1,26,1
788,1,157,1
789,1,86,0
790,0,6,0
791,0,29,1
792,1,26,1
793,0,141,1
794,0,104,1
795,0,89,0
796,1,59,0
797,0,10,0
798,0,113,0
799,0,161,1
800,0,67,0
801,1,34,1
802,1,164,0
803,1,65,0
804,1,170,1
805,1,46,0
806,1,87,0
807,0,154,1
808,1,171,1
809,1,60,0
810,1,111,0
811,0,162,1
812,0,19,1
813,1,66,0
814,0,112,1
815,0,39,0
816,0,50,1
817,1,7,1
818,0,128,1
819,1,49,1
820,1,108,1
821,0,17,0
822,0,41,0
823,1,161,0
824,0,90,1
825,1,58,1
826,1,75,1
827,1,128,1
828,1,51,0
829,0,161,0
830,1,156,0
831,0,44,0
832,1,89,0
833,1,34,1
834,0,155,0
835,1,91,1
836,0,99,0
837,0,44,0
838,1,68,0
839,0,177,1
840,0,172,1
841,1,9,0
842,1,141,0
843,0,95,1
844,1,114,0
845,1,128,1
846,1,101,0
847,1,85,0
848,0,104,0
849,0,25,0
850,1,101,1
851,0,114,1
852,1,131,0
853,0,173,1
854,0,101,0
855,1,155,0
856,1,100,1
857,1,70,0
858,0,107,0
859,0,4,0
860,0,32,0
861,1,167,0
862,0,168,0
863,0,44,0
864,0,175,1
865,0,56,0
866,1,98,1
867,1,83,0
868,0,48,1
869,0,154,0
870,1,178,1
871,1,120,1
872,1,35,1
873,1,125,1
874,1,64,0
875,1,105,0
876,1,81,1
877,1,5,1
878,0,31,1
879,0,141,1
880,0,59,1
881,0,80,1
882,1,97,0
883,0,41,0
884,0,20,0
885,0,87,0
886,0,175,0
887,1,65,0
888,1,136,0
889,1,116,1
890,1,48,1
891,0,142,0
892,0,7,0
893,0,11,0
894,1,96,0
895,0,118,0
896,0,83,1
897,1,164,0
898,0,167,0
899,1,73,1
900,0,5,1
901,0,73,1
902,1,9,0
903,1,84,1
904,0,61,1
905,1,142,1
906,0,145,1
907,1,171,0
908,0,39,1
909,1,89,1
910,0,134,0
911,0,69,1
912,1,12,1
913,0,133,1
914,1,171,1
915,0,69,0
916,1,177,1
917,0,47,0
918,0,11,0
919,0,15,1
920,0,108,1
921,0,24,0
922,1,152,1
923,0,30,1
924,1,176,0
925,0,78,1
926,0,1,0
927,1,15,1
928,1,23,0
929,0,121,1
930,0,160,1
931,0,83,1
932,1,74,0
933,0,22,0
934,0,138,0
935,1,16,0
936,1,167,0
937,1,166,1
938,1,79,0
939,0,117,1
940,0,94,0
941,1,126,0
942,1,164,1
943,1,122,0
944,1,41,1
945,1,127,0
946,0,67,1
947,1,42,0
948,0,148,0
949,0,28,1
950,0,111,0
951,1,138,1
952,1,67,0
953,0,144,1
954,1,105,0
955,0,24,0
956,0,123,1
957,0,90,0
958,1,149,0
959,1,113,1
960,1,22,1
961,1,141,1
962,0,155,0
963,0,17,0
964,0,82,1
965,1,42,0
966,1,111,1
967,0,65,0
968,1,75,0
969,0,56,0
970,0,102,1
971,0,104,1
972,0,120,1
973,0,158,1
974,0,156,1
975,0,77,1
976,1,146,0
977,0,163,1
978,0,99,0
979,1,83,0
980,0,128,1
981,0,37,0
982,0,78,0
983,0,172,1
984,0,7,1
985,1,71,1
986,0,82,0
987,0,13,1
988,0,88,0
989,0,6,1
990,1,6,0
991,1,71,1
992,0,64,0
993,0,108,0
994,0,171,1
995,0,90,0
996,0,29,1
997,1,161,0
998,0,179,1
999,0,179,1
1000,0,96,0
1001,0,8,0
1002,0,39,1
1003,1,129,1
1004,1,49,1
1005,1,14,1
1006,0,79,0
1007,0,135,0
1008,1,57,0
1009,1,70,0
1010,0,145,0
1011,1,57,0
1012,1,160,1
1013,0,95,1
1014,0,151,1
1015,0,175,1
1016,0,61,0
1017,0,14,0
1018,0,176,1
1019,1,166,1
1020,0,112,1
1021,0,58,1
1022,0,107,1
1023,0,59,1
1024,0,91,0
1025,1,65,1
1026,0,122,1
1027,0,9,0
1028,1,50,0
1029,1,34,0
1030,0,169,1
1031,0,142,0
1032,1,5,0
1033,0,19,1
1034,1,152,0
1035,1,12,0
1036,1,100,0
1037,1,144,0
1038,0,3,1
1039,0,16,1
1040,1,50,1
1041,1,154,0
1042,1,98,0
1043,0,93,0
1044,0,85,1
1045,1,37,1
1046,1,9,0
1047,0,111,0
1048,0,107,0
1049,0,176,1
1050,0,73,1
1051,0,7,0
1052,0,7,0
1053,0,2,1
1054,1,70,0
1055,0,141,1
1056,0,153,0
1057,1,109,0
1058,1,118,1
1059,0,178,0
1060,0,15,1
1061,0,62,1
1062,0,118,1
1063,1,22,0
1064,0,16,1
1065,1,152,1
1066,0,115,0
1067,0,103,0
1068,0,55,0
1069,0,29,1
1070,1,50,1
1071,1,63,1
1072,1,131,0
1073,0,64,1
1074,0,84,1
1075,1,114,0
1076,0,84,1
1077,0,173,1
1078,0,61,1
1079,0,119,1
1080,1,100,1
1081,1,17,0
1082,0,104,1
1083,1,69,0
1084,0,38,1
1085,0,141,0
1086,1,147,0
1087,1,156,0
1088,1,31,0
1089,1,3,0
1090,0,73,0
1091,1,115,0
1092,1,84,0
1093,0,108,0
1094,1,39,0
1095,0,156,1
1096,1,172,0
1097,0,164,1
1098,1,134,0
1099,0,29,1
1100,0,153,0
1101,0,100,0
1102,0,86,0
1103,0,60,0
1104,1,92,1
1105,1,99,1
1106,0,112,1
1107,0,148,0
1108,1,156,0
1109,0,35,0
1110,1,55,1
1111,0,159,1
1112,1,139,1
1113,1,9,0
1114,0,134,1
1115,1,93,1
1116,1,124,1
1117,0,5,1
1118,1,139,0
1119,1,154,0
1120,1,127,0
1121,1,10,1
1122,1,38,0
1123,1,16,1
1124,0,44,0
1125,1,55,0
1126,0,154,0
1127,0,156,1
1128,0,82,0
1129,0,92,1
1130,1,81,0
1131,0,117,1
1132,0,66,0
1133,1,147,1
1134,1,18,1
1135,0,115,1
1136,0,30,0
1137,1,127,1
1138,0,84,0
1139,1,42,0
1140,0,65,1
1141,0,27,1
1142,0,167,0
1143,1,74,0
1144,0,81,0
1145,0,67,0
1146,0,25,0
1147,1,176,0
1148,0,36,1
1149,0,11,1
1150,0,136,0
1151,1,79,1
1152,0,96,1
1153,1,68,0
1154,0,100,0
1155,0,25,1
1156,0,177,1
1157,0,118,1
1158,0,148,0
1159,0,110,0
1160,1,108,1
1161,0,94,0
1162,1,11,0
1163,1,89,0
1164,1,41,0
1165,1,39,1
1166,1,31,0
1167,0,77,0
1168,0,97,1
1169,1,169,1
1170,1,56,0
1171,0,33,1
1172,0,3,0
1173,0,55,1
1174,1,171,0
1175,1,139,0
1176,0,10,0
1177,0,180,1
1178,0,69,0
1179,1,128,0
1180,0,96,1
1181,0,53,0
1182,0,166,0
1183,0,110,0
1184,0,159,0
1185,0,22,1
1186,0,145,0
1187,1,9,0
1188,1,1,1
1189,1,158,0
1190,1,100,0
1191,0,130,0
1192,0,105,0
1193,1,38,1
1194,0,48,1
1195,0,18,1
1196,0,88,0
1197,1,41,1
1198,0,27,0
1199,1,17,1
1200,0,138,0
1201,0,81,0
1202,0,79,1
1203,1,113,0
1204,1,173,1
1205,0,47,0
1206,0,172,1
1207,1,84,1
1208,1,122,1
1209,1,90,0
1210,1,18,0
1211,1,49,1
1212,1,58,0
1213,0,51,1
1214,1,28,1
1215,1,178,0
1216,0,179,0
1217,0,80,0
1218,0,107,0
1219,0,117,0
1220,1,44,0
1221,1,104,0
1222,1,148,0
1223,0,14,0
1224,0,176,1
1225,0,51,1
1226,1,40,1
1227,1,44,1
1228,0,32,1
1229,1,122,0
1230,0,91,0
1231,0,131,0
1232,0,168,0
1233,1,114,0
1234,0,58,1
1235,1,10,1
1236,1,76,1
1237,0,39,0
1238,0,162,0
1239,0,90,1
1240,1,51,0
1241,0,71,1
1242,0,97,1
1243,1,131,1
1244,0,99,0
1245,0,180,1
1246,1,63,1
1247,1,158,0
1248,1,177,0
1249,0,85,1
1250,0,30,0
1251,0,121,0
1252,0,112,0
1253,0,68,1
1254,1,38,1
1255,0,54,1
1256,0,48,0
1257,1,135,0
1258,0,15,0
1259,1,66,0
1260,0,83,0
1261,1,178,0
1262,0,164,1
1263,0,39,1
1264,0,175,1
1265,0,117,0
1266,1,160,0
1267,1,140,0
1268,1,57,0
1269,0,169,0
1270,0,66,0
1271,0,160,1
1272,0,168,0
1273,0,6,1
1274,1,30,1
1275,1,94,0
1276,1,58,0
1277,1,113,1
1278,0,37,0
1279,1,53,1
1280,0,24,1
1281,0,134,1
1282,1,83,0
1283,1,123,1
1284,0,67,0
1285,0,136,0
1286,1,173,0
1287,0,59,0
1288,1,94,1
1289,1,82,1
1290,1,23,0
1291,0,159,1
1292,0,149,1
1293,0,147,0
1294,1,92,0
1295,1,55,1
1296,0,82,1
1297,0,141,1
1298,0,58,0
1299,0,168,1
1300,0,161,1
1301,1,168,1
1302,1,6,1
1303,1,7,1
1304,1,171,0
1305,0,133,1
1306,1,24,0
1307,0,173,0
1308,0,160,0
1309,1,105,1
1310,1,147,0
1311,0,104,1
1312,1,177,0
1313,0,169,0
1314,1,74,0
1315,1,29,1
1316,0,161,0
1317,1,14,0
1318,1,85,0
1319,0,7,0
1320,1,114,0
1321,1,171,0
1322,1,140,1
1323,1,139,1
1324,1,149,1
1325,1,93,0
1326,1,56,1
1327,0,34,0
1328,1,85,0
1329,1,10,0
1330,1,98,1
1331,1,83,1
1332,0,108,0
1333,0,90,1
1334,0,138,1
1335,1,177,1
1336,0,32,1
1337,0,116,0
1338,0,6,0
1339,1,157,0
1340,1,136,0
1341,1,121,0
1342,1,50,1
1343,0,156,0
1344,0,8,0
1345,1,133,0
1346,0,91,1
1347,0,73,1
1348,0,139,0
1349,0,178,0
1350,0,80,1
1351,1,145,0
1352,1,168,1
1353,0,142,1
1354,1,59,0
1355,0,161,1
1356,0,62,1
1357,1,148,1
1358,1,159,0
1359,0,97,0
1360,1,163,0
1361,1,125,1
1362,0,129,0
1363,0,54,1
1364,0,66,0
1365,0,88,0
1366,1,152,0
1367,0,99,1
1368,1,113,1
1369,1,7,1
1370,1,139,0
1371,0,62,1
1372,0,91,1
1373,0,32,1
1374,1,167,1
1375,1,155,1
1376,0,130,1
1377,1,167,0
1378,0,27,1
1379,0,54,1
1380,1,76,0
1381,0,85,0
1382,1,109,1
1383,0,40,1
1384,0,48,1
1385,0,78,0
1386,0,175,1
1387,1,165,0
1388,1,64,1
1389,1,141,0
1390,0,174,1
1391,0,113,0
1392,1,134,1
1393,0,67,1
1394,1,124,0
1395,1,94,0
1396,1,99,1
1397,1,161,0
1398,0,5,0
1399,1,151,1
1400,0,87,0
1401,1,41,0
1402,1,147,0
1403,0,29,0
1404,1,178,0
1405,1,28,0
1406,1,3,0
1407,0,8,1
1408,0,55,0
1409,0,72,1
1410,1,36,0
1411,1,37,1
1412,0,140,0
1413,1,25,1
1414,0,17,1
1415,0,123,1
1416,0,165,1
1417,0,101,1
1418,1,70,0
1419,0,12,1
1420,0,42,1
1421,0,145,0
1422,0,125,0
1423,1,104,1
1424,1,94,1
1425,0,83,0
1426,0,61,0
1427,1,2,0
1428,1,125,1
1429,1,164,0
1430,1,32,1
1431,1,118,1
1432,1,164,0
1433,0,33,1
1434,1,142,1
1435,0,49,1
1436,0,125,1
1437,0,14,1
1438,1,153,1
1439,0,38,1
1440,1,132,1
1441,1,27,1
1442,1,15,0
1443,0,87,1
1444,0,123,1
1445,1,169,0
1446,1,119,1
1447,1,78,0
1448,1,180,0
1449,0,171,1
1450,1,144,0
1451,0,139,1
1452,0,17,1
1453,0,11,1
1454,1,114,1
1455,0,76,0
1456,0,21,0
1457,1,114,1
1458,0,8,1
1459,1,27,1
1460,0,31,0
1461,0,42,0
1462,1,88,1
1463,1,42,1
1464,0,91,1
1465,1,156,0
1466,0,68,1
1467,1,80,1
1468,1,105,1
1469,0,129,1
1470,0,126,0
1471,1,58,0
1472,1,27,0
1473,1,133,1
1474,0,163,0
1475,1,47,0
1476,1,2,1
1477,0,93,0
1478,0,37,0
1479,0,155,1
1480,1,72,0
1481,0,109,0
1482,1,136,0
1483,0,22,1
1484,1,96,1
1485,0,166,0
1486,1,57,0
1487,0,59,1
1488,1,116,0
1489,1,157,0
1490,0,117,0
1491,1,75,1
1492,1,22,0
1493,0,69,0
1494,0,124,0
1495,1,70,1
1496,0,137,1
1497,0,172,1
1498,1,29,0
1499,0,66,1
1500,1,3,1
1501,0,118,1
1502,1,32,1
1503,0,136,0
1504,1,48,0
1505,1,42,1
1506,1,178,0
1507,0,169,0
1508,1,127,1
1509,1,88,1
1510,1,28,1
1511,0,128,1
1512,0,107,0
1513,1,76,0
1514,0,170,1
1515,0,39,0
1516,0,94,0
1517,0,70,1
1518,1,101,1
1519,1,25,0
1520,0,4,0
1521,1,136,1
1522,1,134,1
1523,0,35,1
1524,1,60,0
1525,0,54,0
1526,1,11,1
1527,1,47,1
1528,1,157,1
1529,1,143,0
1530,1,92,0
1531,0,55,0
1532,0,140,0
1533,0,155,1
1534,1,138,1
1535,1,36,0
1536,1,8,1
1537,0,121,1
1538,0,115,1
1539,1,75,1
1540,0,113,1
1541,1,177,1
1542,1,102,1
1543,0,73,0
1544,1,1,0
1545,1,159,1
1546,1,16,1
1547,0,135,1
1548,1,29,0
1549,0,139,1
1550,0,109,1
1551,1,30,1
1552,0,119,0
1553,0,11,0
1554,0,160,1
1555,1,124,1
1556,0,44,0
1557,1,115,0
1558,0,96,0
1559,0,29,0
1560,0,60,0
1561,1,119,0
1562,0,92,0
1563,0,33,1
1564,0,96,0
1565,0,42,1
1566,0,140,1
1567,0,105,0
1568,0,12,0
1569,1,167,0
1570,0,131,0
1571,1,125,0
1572,1,1,0
1573,1,176,0
1574,1,94,1
1575,0,178,1
1576,1,12,1
1577,1,99,1
1578,1,97,0
1579,0,3,0
1580,0,140,1
1581,1,89,0
1582,1,63,1
1583,0,148,1
1584,0,62,0
1585,0,65,0
1586,1,176,0
1587,1,83,0
1588,0,121,1
1589,1,175,0
1590,1,166,0
1591,0,152,1
1592,0,136,1
1593,1,127,1
1594,1,57,0
1595,1,3,0
1596,1,142,0
1597,0,77,1
1598,0,152,1
1599,0,4,1
1600,1,5,0
1601,0,80,0
1602,0,130,0
1603,0,133,0
1604,0,33,1
1605,0,22,1
1606,1,18,0
1607,0,153,1
1608,1,32,1
1609,1,51,1
1610,0,25,1
1611,1,174,1
1612,1,170,0
1613,0,59,0
1614,0,32,0
1615,1,179,1
1616,0,163,1
1617,1,55,1
1618,1,178,1
1619,0,103,1
1620,0,156,1
1621,0,159,1
1622,0,37,0
1623,0,36,1
1624,0,86,1
1625,1,42,1
1626,1,165,1
1627,0,173,1
1628,0,44,0
1629,0,168,1
1630,0,53,1
1631,1,66,0
1632,1,48,1
1633,0,20,0
1634,1,2,0
1635,1,76,0
1636,0,6,1
1637,0,42,1
1638,0,24,1
1639,0,158,0
1640,0,41,1
1641,0,84,1
1642,1,30,1
1643,0,74,0
1644,0,33,0
1645,1,165,0
1646,0,11,1
1647,0,166,1
1648,0,1,0
1649,1,105,0
1650,0,22,1
1651,0,32,1
1652,0,117,0
1653,1,113,1
1654,1,47,1
1655,0,23,0
1656,0,159,0
1657,1,126,0
1658,0,24,1
1659,1,13,1
