DIRECCION,COSTO,SEGURO,NUMEROHABITACIONES,MENAJE
 30646 West Antigua and Barbuda St.,701603,D0B27F39-AB6F-458E-910D-961AE3C88F50,3,0
 15680 North Faroe Islands Ln.,815608,A5781699-DC83-41B9-97CD-13AF16532E1E,2,1
 4238  Brownsville Ct.,433675,7938DDF4-F2AC-440C-9060-2797A99B26DB,5,1
 55884  Norwalk Ln.,519351,CB1CA65E-0CCE-435B-8A89-86CC86B56B1F,5,1
 94207 West Decatur St.,226291,888523A3-3476-46B9-A4E7-2DD1DA557C7C,1,0
 42493 East Armenia Ct.,97444,ABF64817-7A2D-4217-B94C-89141D4CE2ED,4,0
 77751 North Bahamas Blvd.,474499,2F99A63D-B9CD-46DF-95C6-43976712EF26,3,1
 6233  Venezuela Way,809882,3EAD6932-39E4-49CD-8E94-1906517A132F,3,0
 29191 West Papua New Guinea St.,273807,FC67B8D1-0002-4F37-B15B-5D075A6C39E7,1,0
 66773  Slovenia Ct.,287627,A67CFFB3-ADD8-4B4A-8EBC-64BA1CC102DB,1,0
 20645  Pitcairn Ln.,560801,56E43290-28A9-4C5F-8867-1391F13E1352,2,0
 18472 South Malaysia Ct.,331475,332754F9-70EA-4D93-A076-6E1DD8FF77BD,2,0
 23326 South Idaho Springs Way,433088,32643267-DB7B-4F92-AF39-412E34E6516F,5,0
 77571  Venezuela Blvd.,207135,B621ECB2-C512-4B0F-B119-618A26CC5C65,5,0
 16918 North Johnson City Ct.,552420,217338FA-04F7-4BE1-972D-0F34F9C21991,3,0
 6359 East Aruba Ln.,247221,EE95AEC2-80AE-4E23-8825-AF324C215C1D,1,1
 2919 South Charlotte Ln.,483989,E3C462CE-2173-4FFB-93EE-9079CD1DC2DA,4,1
 40595 East Haiti Ave.,654853,3A90FF33-E8FF-4E37-B496-FA5CB39BD957,2,1
 98861 West Zimbabwe Ln.,435204,9F5E51E4-9DD7-4918-8F44-DE2F2580AEAA,3,0
 25334 South Nepal St.,166622,0F1447C0-FBEE-467F-B491-2060594BCCD1,5,0
 61683 West Aruba Ave.,508036,783A4DC0-C437-4715-8C8B-35A3A644CED0,4,0
 19593 North Turkmenistan St.,299074,87A9337D-C11A-4305-84A2-4646AEEB2614,4,1
 64461  Lesotho Blvd.,408983,692FEC6C-44D2-453F-8B77-10FB14A96565,3,0
 53841  Dominica St.,348339,BA820A71-83F1-486C-B2C8-63F7419974A3,2,0
 81272 South Philippines Ave.,868353,823D1291-8610-4C6D-AA06-28595267367E,3,1
 32979 South Asbury Park Way,200116,A95B5C7B-7CD2-483E-BC6F-EF011D96AD74,1,0
 48039  Aruba Ln.,394998,C19F9F1F-BB5B-4281-AB69-3C1F3378F0D1,5,1
 92879 North China Ave.,527028,F7697C89-4236-4656-819B-4B14A736E559,5,1
 54367 South Fort Smith Blvd.,893115,08EA0BA2-BCD8-472B-8C7F-81E2231ACA27,2,0
 22671  Trinidad and Tobago St.,182267,85510544-0228-4DEF-A5E0-302EEA74DCCA,4,0
 66970 West Goose Creek Way,322694,4B9AD428-3906-40BE-85FC-A1F6D0B62F59,1,0
 86502 South Australia Blvd.,337989,D84D0D87-6D4C-448C-8E8C-8C5A95AA9374,5,0
 19370 South Jordan Ln.,610069,2D3F2067-C553-420F-80B6-90706438D5D4,1,1
 93476 East Needham Ln.,462772,88D00214-4897-4FA3-B4C7-F35FB70BBC2C,3,0
 8688 South Hastings Blvd.,196483,2D08805F-8C8D-46AE-B590-35CAC94D7FFB,2,0
 11901 South Grand Rapids St.,879196,AF3917E4-D97F-400C-9D9E-52EC7C52CD40,2,1
 94155 East Slovakia St.,845612,EA8B26F7-351B-4370-AC10-6BD8DC7AC592,3,1
 81049 North Australia St.,141450,FAB47FD2-8CB7-4052-B94E-2401073D279B,2,1
 38765  Albania St.,462869,9347D1E2-35B0-4A6E-A274-2E6A95E48EA2,2,1
 1647 East Georgia Ct.,821413,6CD4D810-81EC-42D9-A799-19108CE02C72,5,1
 39761 West Arlington Ct.,632029,E0DE3D1A-D6C1-487C-9A10-BAB0D215BA68,2,1
 22468 East Jamaica Ln.,227292,5DB7788B-8EE4-4C3F-B435-68B975757EA2,3,1
 14292 South Virgin Islands, U.S. Way,750981,1CF4366D-DC09-4922-A159-6F44DD230625,5,1
 96266 West Cape Verde St.,699841,DD12AADA-D038-48BF-94B8-037BABC4DB80,3,1
 76025 East Plymouth Ave.,163817,96E50E3F-2CCC-4A0E-A552-B8C636A5B108,2,0
 66309 North Yemen Ln.,502930,E94BE315-BD81-466D-885E-D46EE1A62A52,1,0
 86281 East Peru Way,111995,61513FFD-3D41-4D99-AB1F-F4B09B9BAC88,5,1
 27059 North Mayotte Ln.,509034,E0A718C5-F63E-44D4-9204-60681CE8BB47,2,1
 53572  Cayman Islands St.,133551,104E66EE-8D0E-4C93-BD5E-E6CDAA3770D7,4,1
 85280 South Cudahy St.,432603,EF053F79-505B-422C-9360-72339F47279B,4,1
 90698  Northern Mariana Islands Ln.,750578,D620FD07-6CDF-4D88-88D9-1F194B14B907,3,0
 47922 West Uzbekistan Way,742542,6EADA914-C3BE-4674-B7CF-7AB65D9247C8,2,1
 80198 South Greenland Blvd.,592983,7CB6DFC0-22A9-4666-8BDB-5BD1B03916F0,1,0
 94551 South Monaco Way,189671,187306C7-C773-4387-ABC4-85F22A1433B2,3,1
 87628 East Beverly Ct.,642898,39180605-4C62-4981-8ADA-0654F45424D0,4,0
 41708 South Ames Ave.,698406,D47DDB0E-EA78-4319-AB6C-BB59EF195996,4,1
 37731 East New Rochelle Way,419490,5F5F34FC-A41F-499F-A542-5412241D8A14,3,0
 56817  Corvallis Way,765931,F0798083-5CCA-4A27-A872-80ADF0BB890D,4,1
 91578 North Bhutan Blvd.,722429,342DB109-17E3-411B-B5C0-B897E377333C,3,0
 61925 West Cameroon Blvd.,230401,D76A823A-D14B-4959-9B9E-FB6A05CF9027,5,1
 82898 East Belarus St.,755096,8086209A-2AC6-4293-92E0-C870AB53C625,2,0
 10016  Uruguay Ave.,543070,022CA95F-F17C-41BF-91DD-6838D8D292DF,4,0
 7461 North Binghamton Ln.,478622,369D6E3E-D6CE-4587-A45A-77D1C117442A,2,0
 93991  Sierra Leone Way,261923,337BD993-971A-49F6-941A-B0E92865D8BC,2,0
 35133 West Thailand Ln.,286268,A5737777-0A5A-4D5D-AEE4-9B770163BA6D,3,1
 31069 East Boise Way,305228,FAC14B4D-813E-41C4-A95E-F9C4FD684B4C,3,0
 33475 East Saint Helena Ct.,164424,AB4A6675-562D-460F-B419-C0714112671A,5,0
 6806 North Indianapolis Way,726936,41853780-CD55-4513-BFEB-661E4514D1CA,2,1
 72912 West Viet Nam St.,266191,B2C79BC4-0172-42DC-92B4-8BB9263B3AB1,4,0
 54091 South Greece Blvd.,476310,58DE357C-5FD2-49BB-BF0C-0CB70C07F00A,4,1
 82051 West Yemen St.,560579,9DE97E78-65A2-49A5-AFC5-5F2E1C0E72A2,3,1
 51725  Mozambique Ln.,683082,4CDBB863-FD39-4687-A676-72943FFC15B2,2,1
 77060 South China Ct.,796975,166A7E2A-6B04-4B78-ADFD-4A23147CAEB3,4,1
 93159 East Morocco Way,863040,284C1607-A569-4789-8A24-FD3BFE47AC15,3,0
 16554 West Nicaragua Ct.,402098,6D0B9842-94C9-4879-B1EB-AE8927A39F7C,4,0
 6612 South American Samoa Ct.,266280,A7C7AB66-0126-492F-AAAF-F82BEF11E70D,3,1
 35964 West Augusta Blvd.,840884,B32C33ED-9D30-4D49-B4A0-E24CC3CA6078,2,1
 46840 South Butte Ct.,230677,D18A1737-2BEF-4C5E-9AE8-AE70CA005C61,3,1
 31981 South Zambia Ave.,301119,73B0E4D6-5B2F-4117-8E25-F1598C52FC4C,4,1
 43162  Palau Way,254590,C715D0C0-168F-4072-8389-8F0377AC738C,4,0
 53133 North Bahamas Ct.,617703,F498932D-CDB5-4178-8138-EC36C44E1145,2,0
 69890 South Eugene Ln.,855033,014045F2-63C8-4CF6-8D2F-D1E3000DC898,1,0
 89361 North Macedonia Ln.,567546,840ACD92-2672-4809-9157-556E0A4A4D58,2,1
 74220 East Apple Valley Way,580874,7473DB37-896A-42CA-88FA-17A7476DB51A,3,1
 54446 South Aruba Ave.,690897,AAA2DC28-355A-426D-9D37-23EB502B1DB7,5,1
 41187 North Belarus Way,495217,8FB17689-A3BE-4301-BF7F-183046BD6B7F,2,1
 37487 North Midland St.,259285,0D19FCFC-06A7-49AE-BFE1-31DAFFF23142,1,1
 92216 South Cyprus Ln.,519396,FE2601C9-CF41-4F9D-AB24-9B48CE74F65F,5,0
 69350  Reunion Ave.,825674,3BA28C0C-F7D6-42D0-A899-074D660FB106,3,1
 22737 South Cambodia Ave.,155763,FFD49DFD-34CA-44B8-9B88-5C66C5742673,4,0
 25940 North Cedar City Blvd.,461788,0E542189-D7DC-4D30-BECC-5FB9365312A3,5,0
 34875 South Belarus Ave.,444519,EA59F0F3-5288-42EB-885B-0CEB6AF58589,3,1
 48220 East Cocos Keeling Islands Ave.,705698,9BF61761-EB8C-4253-991C-DC9527F377FD,3,1
 30325 South Durant Way,522437,C2EA93DE-587A-4FAF-9FD3-A44E6FB4A57F,4,1
 46515  Tokelau Ct.,411045,24091D45-23E4-4E1D-97E3-318EE4FC166C,3,0
 14883 West Philippines Ave.,158584,B801DCCB-5121-4FA7-A6D0-8A99E7425E57,4,1
 16977 North Fairbanks St.,388021,8FAEF14E-D5D9-440F-8CB4-F7CAD3AD3AEC,5,0
 6957 West Australia Ln.,695606,B2344220-347D-4AB6-A184-485A74D01D6B,3,1
 69717  Cayman Islands Ct.,693905,9C52458F-C31F-4207-A6F6-D0075818D5FB,4,0
 69895 North Nigeria Way,897832,D1241CD0-8DC3-4825-AC4E-AAC6A62BE025,4,0
 48651 North Burundi Way,645012,F4C6AE15-5F35-4D31-9D97-37A5DA286BA5,1,1
 88682 West Aruba Ct.,162615,1801F997-03A8-44D0-9D6C-A93815C4C6D1,2,0
 23599 South Armenia Ave.,314351,43A592CA-4D4D-4609-961F-1A2A5705912A,3,1
 71886 North Bahamas Ave.,828398,C9B0BB41-7835-46C6-AC88-7B73A8AA1DEE,4,0
 74291 South Antarctica Way,800597,C0CF4823-7F74-4065-8F6D-C66376191F2E,4,1
 23155  Costa Mesa Ln.,99588,9F332553-CC7F-4D54-A9A3-FA2A39F2166D,1,1
 72216  Bahamas Ct.,147454,BEEF39D8-87CA-4E7E-B6E6-E0F7A6C15094,5,0
 98702 West Durant Ct.,434480,15FABB97-ACDB-48DB-BFCC-C9DD266591CD,4,0
 9687 South United States Minor Outlying Islands Way,876796,ADE1334A-7633-4DA5-A2E5-2BAACB3AE886,5,1
 56157  Saint Pierre and Miquelon St.,317819,8E23AFB3-D44F-46A1-8ED1-3EA4B57E46DC,2,0
 14160  Denver Ct.,701626,35014B05-0CB5-4EE9-8D7F-8C3316FEA0DC,1,0
 61467  Angola Ave.,738571,F4BC6E93-50C7-4F29-A8ED-12C4DEC7E93B,2,0
 87871 South Afghanistan Ct.,364626,C83773CB-8CF3-4299-85D2-17D642044CE2,1,1
 33278 North Cook Islands Ave.,146111,DBB1369C-159A-4F05-AA6C-1892782332F7,1,1
 17914  Holy See Vatican City State St.,356581,A4C95BD2-3CE9-4409-AFEE-96786282FFAE,2,1
 85565  Baldwin Park Ln.,869250,4628CC2C-1D27-41CF-9398-9A5D818568A5,2,0
 34286 South British Indian Ocean Territory Blvd.,591068,0B01414D-F05C-48AE-92D4-28D8B48A356D,4,1
 43800 South Barbados Blvd.,469173,D45D6E50-E7E5-453D-9A80-E9506411920F,5,0
 78816 North Lahaina Way,515462,17F4C409-0147-4DD1-AB8E-78ECD7CFD3ED,4,1
 45943 North Comoros St.,106380,E1E4362A-5F36-42AB-A098-28188CAA8F0D,2,0
 13667 South Belgium Blvd.,613127,880FC383-0CA1-419A-93AD-A37DE386EAD8,2,1
 47824  Farrell Way,93860,F4BD1836-3EE4-486B-A12C-F5F4237BD247,4,0
 82047  Chandler Way,456171,F237EB88-A5E7-451B-926E-F64F7FED4EA2,3,0
 3860 North La Crosse Ave.,393334,D758A0CF-6E45-4512-A19F-393A0B1D0531,5,0
 85975 North Georgia Ct.,223016,1CCCEBCE-4DCC-4F1E-A4BC-B306491EEB45,2,0
 85352  Oman Ln.,511588,B135AF97-254B-471F-8B29-31386655EBDA,3,1
 6933 West Grenada Way,422696,37D74CC8-B56F-46EA-B58F-5BF25DCECAEB,1,0
 13197 South Afghanistan St.,515711,E329453C-4C2A-419B-9CA7-1167F0A2917C,2,1
 76541 East Hermitage Ln.,513560,9FBD8F61-2347-4011-AE19-D749E3CDC60D,1,1
 3542 South Cambodia Ave.,650428,E6566EF1-7D1F-4B54-BED4-4808581491AD,2,0
 57227 East Compton St.,816910,1A353E85-5CB3-42D3-B7B3-611ACDF2D747,5,1
 3495  Benin St.,786397,4580E37B-E805-43D3-965F-A80B40F33221,3,0
 38991 North Belize Blvd.,876289,2236BC20-20EF-405A-8561-7ABEAFB84AE5,5,1
 6553 West United Kingdom Ave.,804168,82E905AE-0A44-4BC1-B69F-BC5969D2E53E,3,1
 68385  Mankato Ave.,805568,8D0BC7E6-003F-4874-AE37-EC32935A33F7,5,0
 66487 South Norfolk Island Ave.,852585,09A3D597-4DCB-4A99-803A-8600563D0353,2,1
 22853 East Australia St.,258147,80A3E573-D808-4E43-922F-EBF0FFAFFCB9,1,1
 16584 South Bolivia St.,345963,D928DD46-EF85-4A9C-BAFE-75DC31119236,2,0
 10655 South Saudi Arabia St.,288428,5DF8FFFB-6C30-45F9-9290-76A94D2B585B,5,0
 62403  Artesia Ln.,577801,D54BA07F-A058-4518-A30F-1C7A50EBB5D5,5,0
 70987 South Mechanicville Ave.,709451,29C5BCB8-B052-4D9D-98E7-83EC3EAFBD78,4,1
 24751 West Luxembourg Blvd.,243997,01C44D86-84A8-4FC3-A70B-D2879803B9EC,4,1
 82882 South China St.,129323,15E233AC-6B4A-41EC-B2C2-E8ED0405DB71,5,1
 97319 South Thailand Way,112351,5DA9F899-437F-437D-B045-C342047EACB7,5,1
 11602 South Argentina Ave.,344278,227335E7-D852-4208-90E1-A51DAFB61BD8,3,1
 46028 East Honolulu Ave.,613913,83C0EE55-4459-42D0-8C8B-1AD599E3E2CD,5,1
 12317 West Armenia Ln.,644946,5048906F-362A-41F2-87AB-58D7AD2A7B7B,4,1
 84604  Barrow Blvd.,544789,1A56CB78-994D-479E-A3EE-EB3F8F257CA0,1,1
 32521 East Cyprus Ln.,630739,B5A09232-E39A-4C60-A050-E5A864DCF2F5,2,0
 35253 North Norway Ln.,463870,EF703D17-8B3D-4DD4-901A-64A449695272,2,1
 76205 South Brunei Darussalam Ct.,433929,BDF8EAB2-73CF-4435-BE1D-86723E905D1E,5,0
 76445 North Saint Kitts and Nevis Ave.,279149,AABDC418-27F2-4425-A26C-2888B69170AF,4,1
 8051 West Basin Ln.,806193,84B13EC5-19EB-4760-A005-880FB28A1EF3,5,0
 38748 West Beloit Way,364309,68589004-E192-4BDB-94BF-040195487DAE,3,1
 55279 South Fiji Blvd.,522668,D40A9F9A-D9B2-4991-BB00-542772968635,1,0
 66499 West Botswana Ave.,372941,6107E1A1-F912-426F-A536-749970E7FC1D,3,1
 28655 South Fountain Valley St.,330181,F1D81EE0-4400-4128-8481-850047423FC2,5,1
 65029 North Egypt Blvd.,371819,0D293E99-2F04-4A32-BACA-0713AF8F7201,1,1
 75671  France Ct.,322591,CF8BB401-7912-4F55-A4AC-6536049FF124,1,0
 19637  San Marino Way,744152,D07926D3-EB36-431C-8346-41F37F3E7DF4,4,1
 24333 North Fulton Blvd.,318678,44197B26-7CA3-4866-973D-34B06550B2A2,1,0
 1044 North American Samoa Way,246730,028A86EF-39F2-478D-8E23-E4904A8A1F0F,2,1
 62344 West Erie Ct.,536082,D99A30F4-DD9A-463A-9D9D-91D57CCB099B,3,0
 75303 East Bolivia Ave.,475777,E122456C-AEF8-4BA4-9CF8-89203A12C054,4,1
 22868 North Bouvet Island St.,452203,DB88AB51-3C86-4CF9-860C-6299F8366217,2,0
 59342  Saint Lucia Blvd.,237983,80AF80E9-C6C5-435F-BE93-F15862217195,2,1
 56725 West Pascagoula Ct.,714707,4315CAA1-80DF-4431-B7D4-1BEAD4124DA5,2,1
 72062  Uzbekistan Ave.,634913,9A471E63-17AE-4204-8283-EACDD0797651,5,1
 71885 North Sri Lanka Way,444337,3CF5AE8E-5D54-4B60-BB53-7C9BD8306949,1,1
 70306 South British Indian Ocean Territory Blvd.,315398,C7E57EBE-833F-4494-A231-ED355624D878,1,1
 36943 East Alpharetta Blvd.,584150,65D79E46-C151-4250-8D7E-6E7116405588,2,1
 22273 South Belgium Blvd.,789323,F5093854-8541-4319-BB56-C3F1F195370F,1,1
 60822  Costa Rica Ct.,642688,5AB68CCF-4557-46BB-B83B-242221C8D603,2,0
 28861  Cambodia Way,208020,30D82752-86AF-464D-9BD9-BB203F9595A9,1,1
 53857  Jamaica Blvd.,608189,1C1DE052-0035-4A7C-9AEC-F29AD3182D8A,1,1
 79029 West Singapore St.,231735,8BCB5E49-471F-4C84-BF0E-E0EC87301CED,4,0
 50399 West Samoa Blvd.,357915,F620CEC6-F45A-49BF-8694-9421D5D814F4,5,1
 34214 North Angola Way,430917,4DA81317-DC97-4EDF-9B63-D6792EC206F4,3,1
 23150 West Marshall Islands Ct.,237967,96720AE8-54D3-4713-A763-3204A3D32353,5,1
 83886  Cook Islands St.,549693,B42BEB1D-F193-48B6-87DD-562EB25974B9,3,1
 40673 West Timor-leste Way,724906,4F1C42AE-719A-4489-9A3F-84CEDE393E45,2,1
 8580 South Azerbaijan Blvd.,331865,A9805C70-A66F-4637-84DF-6D563CEA6CD7,1,0
 78201 East Romania Blvd.,662526,8CB7A53A-09D9-44CB-B203-0802B3FE9745,2,0
 61581 North Solomon Islands Way,771516,1206B8A3-0D95-40A8-BF57-523EDF4496F6,4,0
 66624 South Mauritius Ave.,476296,B744BFEA-48A7-49BC-89B1-0DDE9C6F00E7,1,1
 13091 East Finland Ave.,139325,FC581761-E4B0-48CC-A20C-3A6ECE59F241,1,0
 85016 South Ukraine Ave.,712829,A6EB6ECB-B553-42CA-8EC3-37B4EB348D25,5,1
 63932 West Brockton Ct.,505218,C3BF0540-F9CA-43C1-AFFA-94D1F013765B,1,0
 31571 South Green Bay Ave.,618197,24209DBA-3829-48E1-8112-7D4C39B58120,2,1
 70173 East Gibraltar Blvd.,249727,84474C16-DD55-46EA-AF12-2FA6FCEB2475,2,1
 17604 North Bermuda Ct.,797925,3A9AEEDE-E862-4D5E-A1C2-37BC79635D7E,5,0
 7956 North Brazil Blvd.,300473,CD2AF6B2-F61C-4E6C-8159-EF09187F990E,3,0
