NUMOFERTA, IDOPERADOR, IDLUGAR, TIPOLUGAR, HABILITADA, FECHAINICIAL, FECHAFINAL, PRECIO
 44,44,44,habitación hotel,1,28/10/2019,03/10/2018,1011243
 45,45,45,habitación hotel,0,10/01/2019,30/04/2018,1391478
 46,46,46,suite vivienda universitaria,0,17/07/2019,15/09/2018,3844056
 47,47,47,suite vivienda universitaria,1,13/02/2018,15/02/2020,3496711
 48,48,48,habitación vivienda universitaria,0,04/09/2018,21/04/2018,1203496
 49,49,49,vivienda,0,21/09/2018,09/09/2018,2998354
 50,50,50,vivienda,1,12/10/2019,05/11/2019,661770
 51,51,51,suite hotel,1,26/04/2020,20/04/2020,1623509
 52,52,52,habitación hotel,0,07/06/2018,29/08/2018,2725389
 53,53,53,vivienda,0,10/02/2018,18/10/2018,432846
 54,54,54,suite hotel,0,23/01/2020,15/08/2019,3347452
 55,55,55,suite vivienda universitaria,1,27/02/2020,09/03/2020,1496063
 56,56,56,habitación vivienda universitaria,1,26/01/2020,13/02/2019,1745504
 57,57,57,habitación hotel,1,24/10/2018,17/10/2019,993539
 58,58,58,habitación vivienda universitaria,0,15/04/2018,06/12/2018,240144
 59,59,59,habitación hotel,1,18/06/2018,02/02/2019,3317618
 60,60,60,habitación vivienda universitaria,1,21/01/2020,11/06/2019,2409311
 61,61,61,suite hotel,0,23/08/2019,20/05/2020,3756071
 62,62,62,suite vivienda universitaria,0,07/10/2018,14/08/2019,3242543
 63,63,63,habitación vivienda universitaria,1,21/10/2019,04/05/2020,1113043
 64,64,64,suite vivienda universitaria,0,13/05/2018,07/01/2018,3886303
 65,65,65,vivienda,0,18/03/2019,03/05/2020,1808335
 66,66,66,habitación vivienda ,0,09/05/2019,02/09/2019,1072266
 67,67,67,suite hotel,0,10/11/2019,24/06/2018,2855160
 68,68,68,habitación hostal,1,05/08/2018,04/12/2018,1149554
 69,69,69,habitación vivienda universitaria,1,06/09/2019,03/07/2019,2401256
 70,70,70,habitación hostal,0,27/05/2019,25/04/2018,3184147
 71,71,71,habitación hotel,1,13/08/2019,26/11/2019,1054177
 72,72,72,suite vivienda universitaria,1,12/10/2018,02/12/2019,1554096
 73,73,73,suite hotel,0,19/03/2019,19/01/2018,3445423
 74,74,74,vivienda,0,06/03/2018,02/10/2018,2932878
 75,75,75,habitación hotel,0,23/01/2020,10/06/2018,284585
 76,76,76,habitación hostal,1,14/11/2018,27/05/2019,124410
 77,77,77,suite hotel,0,27/09/2018,08/04/2018,2033306
 78,78,78,suite vivienda universitaria,1,28/02/2018,18/03/2019,378308
 79,79,79,vivienda,0,30/11/2018,21/11/2019,3709534
 80,80,80,habitación hostal,1,13/02/2018,05/01/2018,163665
 81,81,81,habitación hotel,0,29/02/2020,24/10/2019,3602893
 82,82,82,habitación vivienda universitaria,0,12/04/2020,24/09/2018,2281989
 83,83,83,habitación vivienda universitaria,1,16/01/2019,26/09/2019,3596575
 84,84,84,suite vivienda universitaria,1,09/12/2019,15/04/2019,483280
 85,85,85,habitación vivienda ,1,08/03/2020,23/02/2018,3086127
 86,86,86,vivienda,1,11/10/2018,25/04/2019,1847665
 87,87,87,habitación hotel,1,18/12/2019,16/10/2018,210905
 88,88,88,suite hotel,0,09/03/2018,14/04/2020,1567302
 89,89,89,habitación hostal,1,16/11/2018,16/11/2018,3284831
 90,90,90,suite vivienda universitaria,1,21/11/2019,20/12/2018,1323912
 91,91,91,suite vivienda universitaria,0,31/01/2019,26/07/2018,802541
 92,92,92,habitación vivienda universitaria,1,01/01/2018,19/02/2019,3087136
 93,93,93,habitación hostal,0,06/09/2018,18/05/2020,1937611
 94,94,94,habitación vivienda ,1,23/03/2018,04/11/2018,3319442
 95,95,95,habitación hotel,0,17/09/2019,12/02/2020,1581950
 96,96,96,suite hotel,1,12/04/2019,19/02/2019,1211166
 97,97,97,vivienda,0,02/10/2019,28/10/2018,2229718
 98,98,98,habitación hotel,1,02/04/2020,29/02/2020,601774
 99,99,99,habitación vivienda universitaria,1,23/02/2018,18/07/2019,2079046
 100,100,100,vivienda,0,09/11/2019,19/08/2018,1034251
 101,101,101,habitación hotel,1,15/02/2019,10/10/2018,1917736
 102,102,102,habitación vivienda universitaria,1,10/12/2018,31/07/2018,3086461
 103,103,103,habitación hostal,0,26/02/2018,10/02/2018,3306259
 104,104,104,habitación hostal,0,05/11/2019,16/10/2019,2752026
 105,105,105,habitación hotel,0,09/01/2020,20/09/2019,3107360
 106,106,106,suite vivienda universitaria,1,04/10/2019,31/12/2018,682237
 107,107,107,habitación hostal,0,24/11/2018,16/03/2020,2532206
 108,108,108,habitación vivienda ,0,11/03/2020,06/11/2019,1107489
 109,109,109,habitación hostal,0,05/03/2020,11/10/2018,3687293
 110,110,110,habitación hotel,0,26/02/2018,28/08/2019,2399459
 111,111,111,habitación vivienda universitaria,0,29/01/2018,15/06/2019,3675841
 112,112,112,habitación hotel,0,27/11/2019,26/03/2018,1665555
 113,113,113,habitación vivienda universitaria,0,30/06/2019,28/11/2018,3171894
 114,114,114,suite hotel,0,31/03/2018,14/02/2019,3956680
 115,115,115,suite hotel,1,23/05/2020,08/02/2018,3956680
 116,116,116,habitación hotel,0,07/08/2018,26/06/2019,3357631
 117,117,117,habitación vivienda universitaria,0,28/08/2018,26/07/2019,2199178
 118,118,118,habitación hostal,0,18/07/2018,21/09/2019,2515080
 119,119,119,suite hotel,0,28/02/2019,23/10/2019,2395576
 120,120,120,suite hotel,0,25/02/2019,21/10/2018,2624090
 121,121,121,habitación hotel,0,23/01/2019,20/11/2018,3758143
 122,122,122,suite vivienda universitaria,1,11/10/2019,12/05/2018,567356
 123,123,123,suite vivienda universitaria,0,14/01/2020,13/05/2019,321077
 124,124,124,habitación hotel,1,04/05/2020,20/02/2018,188323
 125,125,125,suite hotel,1,02/05/2020,17/10/2018,2330860
 126,126,126,habitación hostal,0,20/04/2018,13/05/2018,1851994
 127,127,127,suite hotel,1,17/09/2019,26/02/2020,774625
 128,128,128,suite hotel,1,22/05/2018,25/07/2019,841928
 129,129,129,habitación vivienda universitaria,1,09/02/2019,17/02/2019,442733
 130,130,130,habitación vivienda ,0,27/04/2020,03/01/2020,3456156
 131,131,131,habitación vivienda universitaria,0,23/06/2018,03/05/2019,1835763
 132,132,132,habitación hostal,1,21/06/2019,29/08/2019,3786421
 133,133,133,vivienda,1,25/03/2019,17/02/2019,3084230
 134,134,134,vivienda,0,14/01/2020,11/07/2018,350077
 135,135,135,habitación vivienda universitaria,1,01/05/2020,12/07/2018,1657476
 136,136,136,suite vivienda universitaria,1,31/01/2018,04/09/2019,3303960
 137,137,137,habitación hostal,1,11/05/2020,20/09/2018,3105105
 138,138,138,habitación hostal,1,08/05/2018,14/09/2018,3195378
 139,139,139,suite vivienda universitaria,1,06/12/2019,18/05/2018,2945702
 140,140,140,suite vivienda universitaria,1,07/02/2018,05/08/2018,2801069
 141,141,141,suite vivienda universitaria,0,24/04/2019,25/03/2020,1687951
 142,142,142,habitación hotel,1,02/02/2020,18/09/2019,1920206
 143,143,143,habitación hotel,0,18/09/2019,02/09/2019,780797
 144,144,144,habitación vivienda ,0,30/09/2018,03/02/2020,1610731
 145,145,145,habitación vivienda ,0,02/05/2020,11/01/2020,803159
 146,146,146,vivienda,0,15/07/2018,11/06/2018,3847937
 147,147,147,suite hotel,0,05/01/2018,30/09/2018,1362539
 148,148,148,habitación hotel,0,19/04/2019,22/08/2018,604439
 149,149,149,vivienda,0,04/10/2018,18/06/2019,1174929
 150,150,150,vivienda,0,17/09/2019,06/04/2019,1630877
 151,151,151,habitación hotel,1,16/06/2019,29/03/2019,326912
 152,152,152,suite vivienda universitaria,1,08/07/2019,10/10/2019,670749
 153,153,153,suite vivienda universitaria,0,10/02/2018,29/07/2019,1689350
 154,154,154,suite hotel,0,26/11/2018,18/03/2018,2673194
 155,155,155,habitación vivienda ,1,06/04/2018,29/08/2019,2321923
 156,156,156,suite hotel,0,01/11/2019,16/10/2019,1221048
 157,157,157,vivienda,1,11/11/2019,26/11/2019,1017474
 158,158,158,habitación hotel,1,11/01/2018,09/08/2019,547330
 159,159,159,vivienda,1,26/10/2018,21/03/2020,2449063
 160,160,160,habitación vivienda universitaria,1,15/01/2020,11/02/2018,2318005
 161,161,161,suite vivienda universitaria,0,10/04/2018,21/06/2018,2372641
 162,162,162,suite hotel,0,19/06/2019,29/09/2019,1243262
 163,163,163,suite vivienda universitaria,1,29/03/2019,15/02/2020,3452144
 164,164,164,suite hotel,0,25/08/2019,05/04/2019,1031446
 165,165,165,suite vivienda universitaria,1,29/05/2018,27/07/2018,2079445
 166,166,166,suite vivienda universitaria,0,26/09/2018,15/03/2018,1871767
 167,167,167,suite hotel,0,27/06/2018,31/03/2019,2133720
 168,168,168,vivienda,1,10/05/2019,20/11/2019,812493
 169,169,169,habitación vivienda ,0,24/03/2020,18/12/2019,817892
 170,170,170,suite vivienda universitaria,0,03/02/2020,12/12/2018,1699375
 171,171,171,habitación vivienda ,0,11/11/2018,05/02/2019,351453
 172,172,172,habitación hostal,1,09/12/2019,12/12/2018,2914995
 173,173,173,habitación vivienda universitaria,1,25/07/2019,30/09/2019,134374
 174,174,174,habitación hotel,0,17/05/2020,10/05/2018,3178421
 175,175,175,habitación vivienda ,1,23/01/2019,29/01/2018,350132
 176,176,176,suite hotel,0,06/09/2019,16/03/2019,994380
 177,177,177,habitación vivienda universitaria,1,30/06/2019,02/09/2018,1345431
 178,178,178,vivienda,0,26/02/2020,16/09/2019,2465020
 179,179,179,suite vivienda universitaria,1,09/12/2019,17/01/2020,760772
 180,180,180,habitación hostal,0,27/04/2019,02/10/2019,3828624
 181,181,181,habitación vivienda ,0,09/03/2018,14/02/2018,342862
 182,182,182,habitación vivienda universitaria,0,01/03/2018,15/12/2019,2945815
 183,183,183,suite hotel,0,09/06/2018,22/01/2020,837902
 184,184,184,vivienda,1,01/03/2018,26/02/2019,1730558
 185,185,185,habitación vivienda ,0,18/01/2019,10/05/2019,502549
 186,186,186,habitación hotel,0,29/01/2019,13/11/2019,265021
 187,187,187,habitación vivienda ,0,08/12/2019,31/07/2018,2541453
 188,188,188,vivienda,1,18/03/2018,27/04/2019,3026651
 189,189,189,vivienda,0,08/09/2019,27/06/2018,2872756
 190,190,190,suite hotel,0,11/06/2019,22/04/2020,1905522
 191,191,191,habitación vivienda universitaria,0,13/02/2019,26/07/2019,574899
 192,192,192,habitación hostal,0,17/01/2018,10/07/2018,802972
 193,193,193,suite vivienda universitaria,1,04/08/2018,23/08/2019,2871079
 194,194,194,habitación vivienda ,1,02/12/2019,14/03/2019,419689
 195,195,195,habitación vivienda universitaria,1,21/04/2018,03/12/2018,1988302
 196,196,196,vivienda,0,29/06/2019,17/03/2020,422635
 197,197,197,habitación hostal,0,16/02/2020,30/09/2019,3676912
 198,198,198,habitación hostal,0,04/03/2018,29/03/2019,3032687
 199,199,199,habitación hostal,0,17/12/2019,27/08/2018,988747
 200,200,200,suite hotel,0,21/01/2019,01/05/2019,2751090
 201,201,201,suite hotel,1,30/01/2019,09/11/2019,2019268
 202,202,202,habitación hotel,0,12/10/2019,06/10/2018,971720
 203,203,203,vivienda,0,01/12/2018,22/04/2018,744235
 204,204,204,habitación hotel,0,30/10/2018,01/03/2018,1845845
 205,205,205,habitación hotel,1,17/03/2020,12/02/2020,782677
 206,206,206,habitación hotel,1,10/07/2019,22/05/2019,3215552
 207,207,207,habitación hotel,1,19/01/2019,25/06/2019,3407444
 208,208,208,habitación vivienda ,0,06/05/2019,02/02/2018,507474
 209,209,209,vivienda,0,12/07/2018,29/03/2018,1234869
 210,210,210,suite hotel,1,16/06/2019,28/09/2019,3246446
 211,211,211,vivienda,1,23/11/2019,24/01/2018,3907991
 212,212,212,suite vivienda universitaria,0,10/04/2020,21/01/2018,3566479
 213,213,213,suite hotel,0,16/10/2019,04/01/2018,2785612
 214,214,214,habitación vivienda ,1,28/11/2018,14/11/2019,1418094
 215,215,215,vivienda,0,20/11/2019,21/03/2018,2478064
 216,216,216,suite hotel,1,30/11/2019,16/01/2018,2261178
 217,217,217,vivienda,0,01/02/2019,15/06/2019,3820947
 218,218,218,habitación vivienda ,1,24/12/2019,08/12/2019,3081574
 219,219,219,habitación hostal,0,31/05/2019,16/09/2018,3841374
 220,220,220,vivienda,0,19/10/2018,21/05/2018,1399557
 221,221,221,habitación vivienda universitaria,1,30/06/2018,21/02/2019,634279
 222,222,222,habitación vivienda ,1,06/02/2018,24/06/2018,2301148
 223,223,223,habitación vivienda universitaria,1,02/01/2019,10/03/2020,537316
 224,224,224,suite hotel,0,01/01/2020,26/05/2018,1641096
 225,225,225,habitación vivienda ,0,14/07/2019,28/11/2019,396332
 226,226,226,suite hotel,0,24/01/2020,07/01/2018,537368
 227,227,227,habitación vivienda ,0,16/02/2018,25/09/2019,2884677
 228,228,228,suite vivienda universitaria,0,19/04/2020,18/10/2019,2933444
 229,229,229,suite hotel,1,22/01/2019,20/11/2019,3190993
 230,230,230,habitación hotel,1,05/05/2019,31/01/2018,3946397
 231,231,231,habitación vivienda ,0,20/01/2018,02/09/2018,2291601
 232,232,232,suite vivienda universitaria,0,10/09/2018,10/11/2018,2958105
 233,233,233,habitación hostal,1,08/06/2019,29/01/2018,1202090
 234,234,234,habitación hostal,0,29/07/2019,17/01/2019,3274490
 235,235,235,habitación hotel,0,29/09/2018,30/01/2020,3833879
 236,236,236,habitación hotel,1,30/06/2019,30/10/2018,740875
 237,237,237,habitación hostal,1,31/03/2019,01/03/2020,844594
 238,238,238,suite hotel,1,22/05/2020,11/01/2019,2783887
 239,239,239,suite vivienda universitaria,1,01/03/2019,24/03/2020,1191595
 240,240,240,habitación hotel,0,07/06/2018,25/06/2019,3723055
 241,241,241,habitación vivienda ,0,26/05/2019,27/10/2018,2753138
 242,242,242,vivienda,1,12/05/2019,29/08/2019,2404412
 243,243,243,vivienda,1,29/01/2019,05/05/2018,2424998
 244,244,244,vivienda,0,09/05/2018,25/01/2018,1269930
 245,245,245,habitación vivienda universitaria,1,08/05/2018,20/04/2018,3332503
 246,246,246,habitación hostal,0,27/02/2019,13/02/2020,3841524
 247,247,247,suite hotel,0,20/05/2019,16/09/2018,1425516
 248,248,248,suite vivienda universitaria,1,13/10/2019,27/12/2018,2100011
 249,249,249,habitación vivienda ,0,25/03/2019,04/05/2019,2305572
 250,250,250,habitación vivienda ,1,08/08/2019,20/04/2018,3532863
 251,251,251,habitación vivienda universitaria,1,09/05/2019,30/09/2019,1371107
 252,252,252,suite vivienda universitaria,1,18/11/2019,17/03/2020,3517168
 253,253,253,habitación hotel,0,23/11/2018,26/07/2019,3476271
 254,254,254,habitación vivienda universitaria,0,09/04/2019,18/11/2018,3833667
 255,255,255,suite hotel,0,28/07/2019,23/08/2018,2156595
 256,256,256,suite hotel,0,25/03/2020,13/08/2019,220000
 257,257,257,habitación vivienda ,1,25/01/2020,22/11/2018,1065058
 258,258,258,suite vivienda universitaria,0,15/06/2019,21/01/2019,3629507
 259,259,259,habitación vivienda universitaria,0,26/08/2019,23/01/2020,3812430
 260,260,260,suite vivienda universitaria,0,24/09/2018,18/03/2019,1277765
 261,261,261,habitación hostal,0,10/11/2019,22/12/2018,3425400
 262,262,262,habitación hostal,1,21/02/2019,24/08/2018,631088
 263,263,263,habitación vivienda universitaria,0,10/04/2019,14/09/2019,2328364
 264,264,264,habitación hotel,0,01/10/2018,13/09/2018,154671
 265,265,265,habitación vivienda universitaria,0,02/02/2019,07/12/2018,1992784
 266,266,266,suite vivienda universitaria,1,18/04/2020,23/06/2019,2044559
 267,267,267,habitación vivienda ,1,05/06/2019,10/08/2018,981686
 268,268,268,habitación vivienda ,0,27/07/2019,16/04/2020,3919024
 269,269,269,habitación hotel,0,12/04/2020,14/08/2019,933045
 270,270,270,habitación vivienda universitaria,1,18/06/2018,10/11/2019,3796396
 271,271,271,suite hotel,1,14/10/2018,06/04/2018,3043600
 272,272,272,suite hotel,1,01/08/2019,11/03/2019,3702051
 273,273,273,habitación vivienda ,1,21/11/2019,29/03/2020,1550466
 274,274,274,habitación vivienda universitaria,1,07/09/2019,08/02/2020,335162
 275,275,275,habitación hostal,1,02/01/2018,31/07/2019,2663880
 276,276,276,habitación hostal,1,31/03/2020,22/09/2018,833728
 277,277,277,habitación hotel,0,07/03/2018,23/02/2020,3933513
 278,278,278,habitación vivienda ,0,30/09/2019,24/03/2019,1200199
 279,279,279,habitación vivienda ,0,23/04/2020,19/09/2019,3539273
 280,280,280,vivienda,1,26/04/2020,31/05/2019,2848401
 281,281,281,habitación hostal,1,13/10/2018,01/05/2020,2996852
 282,282,282,habitación hotel,0,18/09/2019,19/10/2019,371774
 283,283,283,suite vivienda universitaria,0,03/08/2019,23/06/2018,408086
 284,284,284,habitación hotel,1,21/07/2019,04/10/2018,1728567
 285,285,285,habitación vivienda universitaria,1,23/09/2019,15/09/2018,2597845
 286,286,286,suite vivienda universitaria,1,02/06/2018,15/12/2018,2895596
 287,287,287,habitación hostal,1,26/03/2018,21/01/2020,1296833
 288,288,288,suite vivienda universitaria,1,05/03/2018,09/08/2019,877191
 289,289,289,habitación vivienda ,0,04/04/2019,10/04/2020,3622806
 290,290,290,habitación vivienda universitaria,0,16/01/2018,09/03/2018,1763744
 291,291,291,vivienda,1,04/08/2019,03/05/2019,1731802
 292,292,292,vivienda,1,15/10/2018,04/04/2019,1686272
 293,293,293,habitación hostal,0,21/01/2019,18/05/2018,308728
 294,294,294,suite vivienda universitaria,0,30/03/2018,09/06/2019,2850675
 295,295,295,vivienda,0,11/09/2018,07/03/2018,2885813
 296,296,296,habitación vivienda ,0,30/12/2019,18/04/2018,2154346
 297,297,297,habitación hotel,1,27/02/2018,13/04/2018,617083
 298,298,298,vivienda,0,06/07/2019,01/04/2019,2431685
 299,299,299,suite vivienda universitaria,0,29/02/2020,30/11/2018,3606401
 300,300,300,habitación vivienda universitaria,0,22/06/2019,23/03/2019,1791500
 301,301,301,habitación hostal,1,02/04/2018,09/05/2020,3498541
 302,302,302,suite vivienda universitaria,0,22/03/2020,04/12/2019,3146930
 303,303,303,habitación hostal,1,24/09/2019,02/02/2019,893563
 304,304,304,suite hotel,1,22/03/2018,01/10/2019,2553599
 305,305,305,vivienda,1,03/11/2019,22/10/2018,1639794
 306,306,306,habitación hostal,0,02/03/2018,14/02/2019,647339
 307,307,307,vivienda,0,15/07/2018,11/04/2020,1747922
 308,308,308,habitación hotel,1,30/01/2018,04/06/2018,271045
 309,309,309,habitación vivienda universitaria,0,25/07/2018,13/04/2020,2990632
 310,310,310,habitación vivienda ,0,01/03/2019,07/07/2018,1161248
 311,311,311,habitación hotel,0,16/08/2018,31/07/2019,862740
 312,312,312,habitación vivienda universitaria,1,30/08/2019,14/12/2018,1000845
 313,313,313,habitación hotel,0,31/08/2019,25/02/2020,3773120
 314,314,314,habitación vivienda universitaria,0,23/01/2020,18/12/2019,3646694
 315,315,315,suite vivienda universitaria,1,20/08/2019,14/11/2019,843432
 316,316,316,suite hotel,0,18/10/2019,01/12/2019,742657
 317,317,317,habitación hotel,1,10/05/2020,27/03/2019,156560
 318,318,318,habitación hotel,0,30/03/2018,15/02/2018,1331635
 319,319,319,suite hotel,1,19/03/2020,24/02/2018,2181223
 320,320,320,suite hotel,1,11/02/2020,10/03/2018,3294877
 321,321,321,habitación hostal,0,04/05/2018,21/07/2019,2506231
 322,322,322,habitación hostal,0,10/03/2019,16/02/2018,2035561
 323,323,323,suite vivienda universitaria,1,19/11/2018,21/10/2019,2994688
 324,324,324,suite vivienda universitaria,0,27/02/2019,09/05/2020,683884
 325,325,325,suite vivienda universitaria,1,14/01/2020,26/12/2018,451413
 326,326,326,habitación hostal,0,09/02/2020,19/08/2019,1431695
 327,327,327,habitación vivienda universitaria,0,17/02/2020,24/06/2019,1216743
 328,328,328,habitación hostal,0,14/02/2019,13/11/2018,2283761
 329,329,329,habitación hotel,1,20/11/2019,01/08/2018,780495
 330,330,330,habitación vivienda ,0,24/03/2020,03/05/2020,1725072
 331,331,331,habitación vivienda universitaria,1,21/07/2018,12/05/2018,287015
 332,332,332,suite hotel,1,07/05/2020,27/02/2018,3288356
 333,333,333,habitación hostal,0,09/10/2019,26/02/2018,1379906
 334,334,334,habitación vivienda universitaria,1,07/09/2018,09/02/2020,1260416
 335,335,335,habitación vivienda universitaria,1,03/07/2018,24/11/2019,3485067
 336,336,336,habitación hostal,1,03/05/2019,20/11/2018,983517
 337,337,337,habitación hotel,0,15/11/2019,14/05/2019,3709816
 338,338,338,vivienda,0,19/10/2019,24/04/2019,2709514
 339,339,339,habitación vivienda universitaria,0,23/03/2019,07/03/2020,3696312
 340,340,340,vivienda,0,02/03/2019,27/11/2018,2230601
 341,341,341,habitación hotel,0,02/05/2020,23/08/2018,2209167
 342,342,342,habitación vivienda universitaria,0,06/03/2019,13/01/2019,3122057
 343,343,343,suite hotel,1,07/06/2019,17/08/2018,1308202
 344,344,344,vivienda,0,08/08/2018,01/10/2018,1998668
 345,345,345,habitación hostal,0,27/02/2019,13/08/2018,675830
 346,346,346,suite hotel,0,16/05/2019,10/09/2018,2437003
 347,347,347,habitación hostal,0,29/03/2019,30/05/2019,2923163
 348,348,348,habitación vivienda ,0,18/01/2019,15/09/2018,1436822
 349,349,349,habitación vivienda universitaria,0,27/01/2019,29/11/2018,325333
 350,350,350,suite hotel,0,14/11/2018,24/07/2018,2351941
 351,351,351,habitación hotel,0,06/02/2018,08/05/2018,3081889
 352,352,352,vivienda,1,26/04/2019,04/02/2018,2282859
 353,353,353,vivienda,1,19/05/2019,02/06/2018,1135419
 354,354,354,habitación vivienda ,0,13/07/2018,01/09/2019,1272909
 355,355,355,habitación vivienda universitaria,1,02/07/2018,16/05/2019,1866364
 356,356,356,habitación hostal,1,31/01/2019,05/07/2018,1280994
 357,357,357,habitación hostal,1,18/09/2018,09/06/2018,3301265
 358,358,358,habitación hotel,0,24/01/2018,18/02/2020,783738
 359,359,359,habitación vivienda universitaria,0,02/03/2019,08/01/2019,990448
 360,360,360,habitación vivienda universitaria,1,23/12/2019,26/08/2019,1149503
 361,361,361,habitación hotel,0,11/06/2019,08/07/2018,2423535
 362,362,362,suite vivienda universitaria,0,09/06/2018,08/02/2020,1141240
 363,363,363,habitación hostal,0,26/09/2019,31/01/2020,1676390
 364,364,364,habitación vivienda universitaria,1,01/07/2018,07/01/2019,1670947
 365,365,365,habitación vivienda ,1,17/05/2019,22/10/2018,1788197
 366,366,366,habitación hostal,0,19/08/2019,27/04/2019,2912834
 367,367,367,vivienda,1,12/05/2019,20/12/2018,921104
 368,368,368,habitación vivienda ,1,08/01/2018,28/11/2018,1247461
 369,369,369,suite hotel,1,16/04/2019,01/10/2019,3481735
 370,370,370,habitación vivienda universitaria,0,18/12/2018,09/09/2018,2474514
 371,371,371,suite hotel,1,19/12/2018,21/06/2018,2282463
 372,372,372,habitación vivienda ,1,23/11/2019,21/07/2018,2079001
 373,373,373,suite vivienda universitaria,0,27/12/2018,27/09/2019,3142849
 374,374,374,suite hotel,0,08/09/2019,10/09/2019,295215
 375,375,375,suite vivienda universitaria,0,28/11/2019,22/08/2019,1977925
 376,376,376,habitación vivienda ,1,25/05/2018,17/02/2020,2972909
 377,377,377,habitación vivienda universitaria,1,05/06/2018,19/02/2019,1615080
 378,378,378,habitación hotel,0,30/01/2019,05/04/2020,3840234
 379,379,379,habitación hotel,1,12/04/2018,29/12/2018,2074641
 380,380,380,suite hotel,1,21/06/2019,16/12/2019,1369668
 381,381,381,vivienda,1,15/02/2019,03/10/2019,3144325
 382,382,382,suite hotel,1,21/05/2019,12/10/2018,2574682
 383,383,383,suite vivienda universitaria,1,11/02/2020,20/05/2018,1767795
 384,384,384,vivienda,0,25/03/2019,14/01/2019,179800
 385,385,385,vivienda,0,30/01/2019,23/05/2019,324396
 386,386,386,habitación vivienda ,1,01/09/2018,23/04/2019,3501981
 387,387,387,suite vivienda universitaria,1,14/11/2019,16/05/2020,2629938
 388,388,388,habitación hotel,0,01/09/2019,08/04/2020,1009398
 389,389,389,habitación hostal,0,26/03/2020,06/07/2018,2048130
 390,390,390,habitación vivienda universitaria,1,19/03/2018,29/10/2019,2577287
 391,391,391,suite vivienda universitaria,0,14/05/2019,21/10/2019,147654
 392,392,392,habitación vivienda universitaria,0,12/02/2020,15/12/2019,3814877
 393,393,393,habitación hotel,1,01/02/2019,06/07/2018,201809
 394,394,394,suite hotel,1,08/01/2019,20/03/2020,1530299
 395,395,395,habitación vivienda ,0,16/05/2018,05/05/2018,2973487
 396,396,396,habitación vivienda ,1,02/03/2019,01/12/2018,1560176
 397,397,397,habitación vivienda universitaria,0,17/04/2018,17/04/2020,1069114
