NUMERO, CONTRATO, PRECIONUMERO, ESAMOBLADO
 242,242,300601,0
 243,243,2834166,0
 244,244,449332,1
 245,245,4081458,0
 246,246,4096986,1
 247,247,5626344,0
 248,248,213058,0
 249,249,312871,0
 250,250,2092280,1
 251,251,4391291,1
 252,252,3530974,1
 253,253,6469117,1
 254,254,1030680,1
 255,255,5913014,1
 256,256,6905555,1
 257,257,1653381,0
 258,258,215624,1
 259,259,2025854,0
 260,260,6239908,0
 261,261,952480,1
 262,262,5264479,0
 263,263,5365830,0
 264,264,983132,1
 265,265,1638822,1
 266,266,3288223,1
 267,267,267560,0
 268,268,2046384,1
 269,269,6458041,1
 270,270,3699067,0
 271,271,4380913,0
 272,272,4123598,0
 273,273,3340231,0
 274,274,2914395,1
 275,275,3867018,0
 276,276,811681,1
 277,277,5674384,0
 278,278,96362,0
 279,279,794151,1
 280,280,4245244,1
 281,281,6063606,0
 282,282,5361665,0
 283,283,1774848,1
 284,284,1176386,0
 285,285,2864812,0
 286,286,5676354,1
 287,287,4126563,1
 288,288,771606,1
 289,289,4119617,0
 290,290,1781711,1
 291,291,2584012,0
 292,292,401147,1
 293,293,4854762,0
 294,294,1598784,0
 295,295,2026014,0
 296,296,3427745,1
 297,297,4184382,1
 298,298,3395896,1
 299,299,2466941,1
 300,300,3144615,1
 301,301,1689640,1
 302,302,3036392,0
 303,303,3227655,0
 304,304,374598,1
 305,305,3440856,1
 306,306,4248521,1
 307,307,5641286,1
 308,308,470162,1
 309,309,2886841,0
 310,310,192651,1
 311,311,154398,0
 312,312,380562,1
 313,313,189203,0
 314,314,4435781,0
 315,315,1067637,0
 316,316,6761621,1
 317,317,4009292,0
 318,318,2685586,1
 319,319,4094741,0
 320,320,1422634,0
 321,321,4159794,0
 322,322,593238,0
 323,323,5057221,0
 324,324,4546034,0
 325,325,4725361,1
 326,326,3422843,0
 327,327,4731517,0
 328,328,1113088,1
 329,329,6899483,0
 330,330,5079292,1
 331,331,2661943,1
 332,332,2755123,0
 333,333,5163193,1
 334,334,4852257,1
 335,335,218180,0
 336,336,5740072,0
 337,337,5474055,0
 338,338,1888659,0
 339,339,222072,0
 340,340,6705006,1
 341,341,6096502,0
 342,342,1543280,0
 343,343,5617447,0
 344,344,5550590,0
 345,345,2963953,0
 346,346,1115517,1
 347,347,4457795,1
 348,348,6473814,1
 349,349,327865,0
 350,350,4729696,0
 351,351,6947067,1
 352,352,4898384,0
 353,353,6203669,1
 354,354,994279,0
 355,355,150001,0
 356,356,3313539,0
 357,357,4191318,1
 358,358,1498637,1
 359,359,2371094,0
 360,360,5292003,0
 361,361,3187157,1
 362,362,1262632,1
 363,363,690605,1
 364,364,6298108,0
 365,365,3806200,0
 366,366,2674667,0
 367,367,5172805,0
 368,368,2051312,0
 369,369,364379,0
 370,370,757278,1
 371,371,5635010,1
 372,372,1759434,1
 373,373,1371536,1
 374,374,3061962,0
 375,375,3876078,1
 376,376,6430073,1
 377,377,6982018,1
 378,378,1103911,1
 379,379,3704578,0
 380,380,6263093,0
 381,381,911233,0
 382,382,2637030,1
 383,383,4949391,0
 384,384,151290,0
 385,385,1799321,1
 386,386,6708750,0
 387,387,6474825,0
 388,388,3476055,1
 389,389,4640415,0
 390,390,6620653,1
 391,391,2817122,1
 392,392,2099048,1
 393,393,2777823,0
 394,394,2717304,1
 395,395,256431,1
 396,396,4520301,1
 397,397,2543920,0
 398,398,6707378,0
 399,399,6151758,0
 400,400,1180370,0
 401,401,332032,0
 402,402,6325574,1
 403,403,3778570,0
 404,404,5471460,1
 405,405,1517765,1
 406,406,3594441,0
 407,407,4261295,0
 408,408,2456248,1
 409,409,850125,1
 410,410,1678707,0
 411,411,5003464,1
 412,412,5247151,0
 413,413,3775501,1
 414,414,3571513,0
 415,415,5541165,1
 416,416,6750733,0
 417,417,5347270,0
 418,418,5602176,0
 419,419,3102530,0
 420,420,1978312,1
 421,421,2694904,0
 422,422,1684031,0
 423,423,5940848,0
 424,424,5659184,0
 425,425,5371868,0
 426,426,3267548,1
 427,427,508200,0
 428,428,6253324,1
 429,429,1178557,0
 430,430,3282846,1
 431,431,3735573,0
 432,432,5467650,1
 433,433,4085743,1
 434,434,1140840,0
 435,435,3643898,1
 436,436,1252346,0
 437,437,4892607,0
 438,438,4988793,1
 439,439,5747353,0
 440,440,4189080,0
 441,441,6478257,1
 442,442,6750602,0
 443,443,2585838,0
 444,444,3052290,1
 445,445,3925553,1
 446,446,1213092,1
 447,447,575083,0
 448,448,6789033,1
 449,449,5554424,1
 450,450,3381729,1
 451,451,5117609,0
 452,452,6174857,1
 453,453,839195,0
 454,454,2108179,0
 455,455,4617826,0
 456,456,6023755,0
 457,457,3255360,1
 458,458,4583018,1
 459,459,2512331,0
 460,460,3296189,1
 461,461,4014550,1
 462,462,4327777,1
 463,463,5599516,1
 464,464,2555166,1
 465,465,4602684,1
 466,466,1522441,0
 467,467,5788886,1
 468,468,221755,1
 469,469,4557317,0
 470,470,5008890,0
 471,471,6431158,1
 472,472,3708778,0
 473,473,6057776,1
 474,474,5236293,1
 475,475,4713061,1
 476,476,5925666,1
 477,477,3368603,0
 478,478,582498,0
 479,479,4955985,0
 480,480,2146425,0
 481,481,3720475,1
 482,482,1968928,0
 483,483,1040093,1
 484,484,1422440,0
 485,485,1987124,0
 486,486,1257397,1
 487,487,1448827,1
 488,488,4249608,0
 489,489,3232071,1
 490,490,4580097,1
 491,491,4435157,0
 492,492,1348416,1
 493,493,2107785,0
 494,494,2112529,1
 495,495,5333861,1
 496,496,3407119,1
 497,497,549580,1
 498,498,6398783,0
 499,499,910228,1
 500,500,6271249,1
 501,501,3210161,0
 502,502,2586202,1
 503,503,1843387,0
 504,504,2504920,0
 505,505,6723255,0
 506,506,5615519,0
 507,507,6269740,0
 508,508,987719,1
 509,509,6945633,1
 510,510,6303161,0
 511,511,3947181,0
 512,512,3361666,0
 513,513,6802392,0
 514,514,4605709,0
 515,515,4711994,0
 516,516,5246256,0
 517,517,1641683,0
 518,518,6856358,1
 519,519,5976264,0
 520,520,4350720,0
 521,521,6710853,1
 522,522,878341,0
 523,523,1998117,1
 524,524,1758724,1
 525,525,839671,1
 526,526,3581453,1
 527,527,1501348,1
 528,528,1467597,1
 529,529,2216231,0
 530,530,2954408,1
 531,531,6543924,0
 532,532,4093714,1
 533,533,1365355,0
 534,534,6666192,1
 535,535,3854881,0
 536,536,279473,1
 537,537,2603397,1
 538,538,5040017,1
 539,539,2334582,0
 540,540,6608546,0
 541,541,261389,1
 542,542,6408632,0
 543,543,4395921,1
 544,544,651195,1
 545,545,4856810,0
 546,546,1476286,0
 547,547,2055096,1
 548,548,136251,1
 549,549,1131154,0
 550,550,5928419,0
 551,551,4200304,0
 552,552,5315282,0
 553,553,3315865,1
 554,554,951001,1
 555,555,6220986,0
 556,556,6442740,1
 557,557,2023269,0
 558,558,5519257,1
 559,559,2668316,1
 560,560,4602583,1
 561,561,5605653,1
 562,562,3359715,0
 563,563,148199,0
 564,564,6837087,1
 565,565,4476802,0
 566,566,672575,1
 567,567,4502862,1
 568,568,405837,0
 569,569,3290168,0
 570,570,4661667,0
 571,571,5778108,0
 572,572,274268,1
 573,573,1022742,0
 574,574,2347917,0
 575,575,6700967,1
 576,576,1920666,1
 577,577,2211748,1
 578,578,1438527,1
 579,579,6221070,0
 580,580,1742069,1
 581,581,4885140,1
 582,582,511537,0
 583,583,5980658,0
 584,584,3106091,1
 585,585,4756787,0
 586,586,3518786,0
 587,587,3114122,1
 588,588,1263056,1
 589,589,4786296,0
 590,590,6126804,0
 591,591,2088749,0
 592,592,434457,0
 593,593,6708530,1
 594,594,2708843,1
 595,595,5038444,1
 596,596,111208,0
 597,597,6316464,1
 598,598,157301,1
 599,599,958207,1
 600,600,6827306,1
 601,601,2129536,0
 602,602,3743301,0
 603,603,5423990,1
 604,604,1945557,0
 605,605,5409921,0
 606,606,5328634,1
 607,607,6280667,0
 608,608,1256787,1
 609,609,3429792,0
 610,610,4729483,0
 611,611,3886442,1
 612,612,4133044,0
 613,613,2954697,0
 614,614,3824642,1
 615,615,3411265,1
 616,616,6643369,1
 617,617,2966142,1
 618,618,5050563,0
 619,619,4212528,0
 620,620,3237666,0
 621,621,1880338,1
 622,622,1148937,1
 623,623,3516192,1
 624,624,5162631,1
 625,625,4400371,0
 626,626,2073970,1
 627,627,1187053,1
 628,628,1540276,0
 629,629,6828515,1
 630,630,3662132,1
 631,631,4677915,1
 632,632,5842700,0
 633,633,3340565,0
 634,634,2242692,0
 635,635,3268901,0
 636,636,2604752,1
 637,637,4000499,1
 638,638,4975864,1
 639,639,2076730,0
 640,640,5594967,1
 641,641,6964338,0
 642,642,4872065,1
 643,643,3319674,1
 644,644,4032469,1
 645,645,5373688,0
 646,646,1621824,0
 647,647,5297526,1
 648,648,4786580,1
 649,649,1357715,1
 650,650,3038666,1
 651,651,6127389,0
 652,652,4920749,1
 653,653,5331220,0
 654,654,1948315,1
 655,655,460774,0
 656,656,2180461,1
 657,657,4543491,1
 658,658,1032456,0
 659,659,3894480,0
 660,660,3573941,0
 661,661,4044186,0
 662,662,6310460,0
 663,663,1087459,0
 664,664,3842185,1
 665,665,1931298,0
 666,666,3955051,1
 667,667,6908287,1
 668,668,3988248,1
 669,669,3423655,0
 670,670,4967262,0
 671,671,5928310,0
 672,672,2854217,1
 673,673,3136644,1
 674,674,6546273,1
 675,675,2230538,1
 676,676,1337933,0
 677,677,3004569,1
 678,678,6480609,1
 679,679,4664784,0
 680,680,2211757,1
 681,681,6222456,1
 682,682,3412508,1
 683,683,2625091,0
 684,684,3194434,1
 685,685,4917076,0
 686,686,347030,1
 687,687,4901665,0
 688,688,542585,0
 689,689,5994419,0
 690,690,6801556,0
 691,691,6301910,0
 692,692,3645884,1
 693,693,6137900,1
 694,694,3143936,0
 695,695,4294994,0
 696,696,3478525,1
 697,697,384310,0
 698,698,4033570,0
 699,699,5895323,1
 700,700,4684689,1
 701,701,6490474,1
 702,702,3532572,0
 703,703,2107941,0
 704,704,1066236,0
 705,705,5374496,1
 706,706,6387664,1
 707,707,3294908,0
 708,708,6042351,0
 709,709,3454076,1
 710,710,5943442,1
 711,711,143286,0
 712,712,4166200,0
 713,713,3214355,0
 714,714,4464585,0
 715,715,1148616,0
 716,716,4915822,0
 717,717,2002674,1
 718,718,620401,0
 719,719,3333265,0
 720,720,3765055,0
 721,721,4581462,0
 722,722,3139712,0
 723,723,3506635,1
 724,724,6392959,1
 725,725,6327788,0
 726,726,3060922,1
 727,727,4944091,1
 728,728,2039509,0
 729,729,4759721,1
 730,730,454337,1
 731,731,2218977,0
 732,732,754382,1
 733,733,337454,0
 734,734,4735911,1
 735,735,5409897,1
 736,736,2256958,0
 737,737,5708334,1
 738,738,6288177,0
 739,739,4364486,1
 740,740,2986859,1
 741,741,6540284,1
 742,742,5687636,1
 743,743,4488136,0
 744,744,4066420,1
 745,745,3203633,0
 746,746,6336572,0
 747,747,4912018,1
 748,748,4376003,0
 749,749,1218312,1
 750,750,2476083,0
 751,751,1451781,1
 752,752,2808774,1
 753,753,2945104,0
 754,754,3750305,1
 755,755,1723215,1
 756,756,6302402,1
 757,757,2373886,1
 758,758,2357629,0
 759,759,2839033,1
 760,760,2312993,1
 761,761,513272,0
 762,762,2830098,0
 763,763,690306,1
 764,764,4269869,1
 765,765,4040033,1
 766,766,5883630,0
 767,767,3099273,0
 768,768,412944,0
 769,769,6285948,1
 770,770,5821647,1
 771,771,890907,0
 772,772,6381864,1
 773,773,4179954,0
 774,774,2554363,0
 775,775,3818433,1
 776,776,3815465,1
 777,777,4712136,1
 778,778,792587,0
 779,779,6566513,1
 780,780,6660850,1
 781,781,1784180,1
 782,782,4946773,1
 783,783,946381,1
 784,784,1869043,1
 785,785,3212577,0
 786,786,4105752,1
 787,787,4715183,1
 788,788,3696607,1
 789,789,1601933,0
 790,790,245840,0
 791,791,1422923,0
 792,792,4167195,0
 793,793,5327482,1
 794,794,623033,0
 795,795,2110066,1
 796,796,2969951,1
 797,797,4617588,0
 798,798,3604702,1
 799,799,5945706,1
 800,800,2429469,0
 801,801,4058649,1
 802,802,6144516,0
 803,803,2213445,1
 804,804,5722525,0
 805,805,3237506,0
 806,806,2289542,1
 807,807,6795345,1
 808,808,5442597,1
 809,809,6384610,1
 810,810,1809410,0
 811,811,6995796,0
 812,812,2113049,0
 813,813,5830455,1
 814,814,4243539,1
 815,815,2876155,0
 816,816,345849,0
 817,817,644148,0
 818,818,1943363,0
 819,819,5220462,0
 820,820,6151287,1
 821,821,3233170,0
 822,822,5579722,0
 823,823,5621596,1
 824,824,2901128,0
 825,825,4410569,1
 826,826,1852783,0
 827,827,3769567,1
 828,828,5931270,0
 829,829,6668902,1
 830,830,4905654,0
 831,831,4208223,1
 832,832,2986284,0
 833,833,632861,0
 834,834,5809185,0
 835,835,6767835,0
 836,836,4467135,0
 837,837,2724664,1
 838,838,783506,0
 839,839,138894,1
 840,840,4721181,0
 841,841,2867822,1
 842,842,4218368,0
 843,843,4766852,0
 844,844,2003384,1
 845,845,1573674,0
 846,846,6248247,1
 847,847,5962142,0
 848,848,6313826,0
 849,849,418969,1
 850,850,6656254,0
 851,851,4401151,0
 852,852,6465628,0
 853,853,5756112,0
 854,854,781318,1
 855,855,1935021,0
 856,856,5049463,0
 857,857,209362,0
 858,858,3620473,0
 859,859,652395,1
 860,860,4165526,0
 861,861,2986294,1
 862,862,6241205,1
 863,863,4493829,1
 864,864,6723496,0
 865,865,614458,0
 866,866,4365849,1
 867,867,3701558,0
 868,868,411791,0
 869,869,5743682,1
 870,870,5311308,1
 871,871,6454380,1
 872,872,538066,0
 873,873,4675316,1
 874,874,3505959,0
 875,875,4042492,0
 876,876,4804973,0
 877,877,3753230,0
 878,878,3358232,0
 879,879,1166388,1
 880,880,2787454,0
 881,881,6498144,1
 882,882,2573320,1
 883,883,6334028,1
 884,884,6635232,0
 885,885,5190356,0
 886,886,285988,0
 887,887,381107,1
 888,888,1424476,0
 889,889,5131400,0
 890,890,196602,0
 891,891,6484359,0
 892,892,1198653,0
 893,893,318518,1
 894,894,5873559,1
 895,895,3762460,0
 896,896,1573196,1
 897,897,2949172,1
 898,898,1075470,1
 899,899,3266020,1
 900,900,707882,1
 901,901,351400,1
 902,902,5028688,0
 903,903,2944855,1
 904,904,4154996,0
 905,905,4336370,0
 906,906,1416097,1
 907,907,6220784,0
 908,908,3445329,1
 909,909,1179723,1
 910,910,2660780,1
 911,911,6351932,0
 912,912,1970741,0
 913,913,3175568,1
 914,914,3103919,1
 915,915,1473641,0
 916,916,5697452,1
 917,917,510034,1
 918,918,6791303,1
 919,919,4036576,1
 920,920,1876640,0
 921,921,1226647,0
 922,922,6561453,0
 923,923,1484748,0
 924,924,4910692,0
 925,925,6110924,1
 926,926,461584,1
 927,927,1783516,0
 928,928,1598360,1
 929,929,3828356,0
 930,930,4798710,0
 931,931,611019,1
 932,932,94995,1
 933,933,1845795,0
 934,934,4619910,1
 935,935,2278504,1
 936,936,4142312,1
 937,937,419939,1
 938,938,6735114,0
 939,939,774753,1
 940,940,6763365,1
 941,941,3685205,0
 942,942,220938,0
 943,943,6810344,1
 944,944,133595,1
 945,945,3513904,1
 946,946,2883905,0
 947,947,3785655,1
 948,948,6686398,1
 949,949,5964852,0
 950,950,334641,1
 951,951,1209537,1
 952,952,5735406,0
 953,953,2295457,1
 954,954,996410,1
 955,955,226898,0
 956,956,6134597,0
 957,957,1806522,1
 958,958,2078832,0
 959,959,2968397,0
 960,960,3484539,0
 961,961,6041071,0
 962,962,3907593,0
 963,963,3140670,1
 964,964,1092395,0
 965,965,6221818,0
 966,966,5199110,1
 967,967,4103616,1
 968,968,1237615,0
 969,969,356272,1
 970,970,4253421,1
 971,971,5123541,0
 972,972,5295221,1
 973,973,4799301,1
 974,974,3110585,1
 975,975,3226970,1
 976,976,2189120,0
 977,977,5290344,0
 978,978,6003724,0
 979,979,738161,0
 980,980,899840,1
 981,981,553969,1
 982,982,5617759,0
 983,983,2645898,0
 984,984,6750591,1
 985,985,6735176,1
 986,986,3279077,0
 987,987,6308299,0
 988,988,6629096,1
 989,989,6588496,0
 990,990,2723247,0
 991,991,4151129,1
 992,992,1609382,0
 993,993,6596555,0
 994,994,4358299,1
 995,995,980942,1
 996,996,1726601,1
 997,997,1195877,1
 998,998,6718550,1
 999,999,386913,0
 1000,1000,5541064,1
 1001,1001,270567,0
 1002,1002,5103836,0
 1003,1003,4535843,1
 1004,1004,379227,1
 1005,1005,2245208,0
 1006,1006,2145892,1
 1007,1007,2074576,1
 1008,1008,1322704,0
 1009,1009,2607647,1
 1010,1010,5889014,1
 1011,1011,1964014,1
 1012,1012,5193674,0
 1013,1013,5097534,1
 1014,1014,5224138,1
 1015,1015,3245702,1
 1016,1016,2920065,1
 1017,1017,1494146,1
 1018,1018,6296104,0
 1019,1019,6820400,0
 1020,1020,5288901,0
 1021,1021,4336848,1
 1022,1022,1714182,1
 1023,1023,5122638,1
 1024,1024,3833286,0
 1025,1025,3814344,1
 1026,1026,2360344,1
 1027,1027,6387598,1
 1028,1028,1622531,0
 1029,1029,6437740,0
 1030,1030,4763270,1
 1031,1031,1534531,0
 1032,1032,2460770,0
 1033,1033,6081280,1
 1034,1034,3188102,1
 1035,1035,3698137,1
 1036,1036,6641006,1
 1037,1037,5543647,0
 1038,1038,5186148,1
 1039,1039,910777,0
 1040,1040,4796559,1
 1041,1041,3784865,1
 1042,1042,2106801,1
 1043,1043,5666153,1
 1044,1044,5646108,1
 1045,1045,731370,1
 1046,1046,6505450,0
 1047,1047,446752,1
 1048,1048,3063110,1
 1049,1049,5245728,1
 1050,1050,2790789,1
 1051,1051,3261015,0
 1052,1052,583014,0
 1053,1053,3341030,1
 1054,1054,857844,0
 1055,1055,2729885,0
 1056,1056,2642040,0
 1057,1057,144175,0
 1058,1058,3172931,1
 1059,1059,229374,1
 1060,1060,6130331,0
 1061,1061,3095208,0
 1062,1062,4345781,1
 1063,1063,6245835,1
 1064,1064,1101344,1
 1065,1065,1253532,0
 1066,1066,415559,1
 1067,1067,4039782,1
 1068,1068,5711745,0
 1069,1069,2550427,1
 1070,1070,4509429,0
 1071,1071,2345217,0
 1072,1072,5377675,1
 1073,1073,1298280,0
 1074,1074,6860966,0
 1075,1075,1763115,0
 1076,1076,4411959,1
 1077,1077,1433111,1
 1078,1078,2422780,0
 1079,1079,3851478,0
 1080,1080,2818591,1
 1081,1081,256705,0
 1082,1082,330428,1
 1083,1083,1760338,1
 1084,1084,4171955,0
 1085,1085,6982830,0
 1086,1086,6026928,1
 1087,1087,5413213,1
 1088,1088,6947027,1
 1089,1089,566632,1
 1090,1090,1125935,1
 1091,1091,5097783,0
 1092,1092,1651009,1
 1093,1093,1451179,0
 1094,1094,2204064,1
 1095,1095,6344115,0
 1096,1096,6779358,1
 1097,1097,4670969,1
 1098,1098,5208633,1
 1099,1099,4680515,0
 1100,1100,2842756,0
 1101,1101,3975919,1
 1102,1102,4948882,1
 1103,1103,4161820,0
 1104,1104,2293555,1
 1105,1105,4239027,1
 1106,1106,6633218,0
 1107,1107,1133085,1
 1108,1108,4275947,1
 1109,1109,546446,1
 1110,1110,5137940,1
 1111,1111,6012770,1
 1112,1112,3407919,1
 1113,1113,4708048,0
 1114,1114,456740,0
 1115,1115,3058715,0
 1116,1116,3248774,1
 1117,1117,187881,1
 1118,1118,3113874,1
 1119,1119,6161278,0
 1120,1120,6170559,1
 1121,1121,3800487,1
 1122,1122,1879438,1
 1123,1123,1791896,1
 1124,1124,3796707,1
 1125,1125,6679668,1
 1126,1126,4859796,1
 1127,1127,5194941,1
 1128,1128,3779731,0
 1129,1129,4699479,1
 1130,1130,4777920,1
 1131,1131,3678335,1
 1132,1132,4269403,0
 1133,1133,5869527,0
 1134,1134,422673,0
 1135,1135,1970461,0
 1136,1136,5387956,1
 1137,1137,4095854,1
 1138,1138,1521328,0
 1139,1139,3816089,0
 1140,1140,3909882,0
 1141,1141,1613966,0
 1142,1142,3330331,1
 1143,1143,1977937,0
 1144,1144,3627763,0
 1145,1145,5068194,1
 1146,1146,6487022,1
 1147,1147,6325137,1
 1148,1148,4786203,0
 1149,1149,4511919,1
 1150,1150,5640587,0
 1151,1151,1503741,0
 1152,1152,2039373,1
 1153,1153,6587245,0
 1154,1154,6276277,1
 1155,1155,2558987,0
 1156,1156,2095721,0
 1157,1157,1876130,1
 1158,1158,4747640,1
 1159,1159,2139175,0
 1160,1160,3225200,0
 1161,1161,3846022,0
 1162,1162,1880966,1
 1163,1163,3324255,1
 1164,1164,1200666,1
 1165,1165,1684190,0
 1166,1166,3255675,1
 1167,1167,3131699,1
 1168,1168,4860216,1
 1169,1169,4956398,0
 1170,1170,6419130,0
 1171,1171,777968,1
 1172,1172,1055455,0
 1173,1173,463926,1
 1174,1174,1798517,0
 1175,1175,3266946,1
 1176,1176,6450112,0
 1177,1177,6596839,0
 1178,1178,150455,1
 1179,1179,6513632,0
 1180,1180,6692231,1
 1181,1181,3813462,1
 1182,1182,740459,1
 1183,1183,3255706,1
 1184,1184,2713837,1
 1185,1185,2135765,0
 1186,1186,792150,1
 1187,1187,3915117,1
 1188,1188,1397021,0
 1189,1189,778728,1
 1190,1190,6333385,1
 1191,1191,92162,0
 1192,1192,1306265,0
 1193,1193,3595305,1
 1194,1194,6897539,1
 1195,1195,240216,1
 1196,1196,2238584,0
 1197,1197,714789,0
 1198,1198,6389238,0
 1199,1199,1739021,1
 1200,1200,5909171,0
 1201,1201,4387906,0
 1202,1202,1408659,0
 1203,1203,4923598,0
 1204,1204,993308,1
 1205,1205,4180505,0
 1206,1206,4380049,0
 1207,1207,1516974,0
 1208,1208,418264,0
 1209,1209,3429847,1
 1210,1210,4188242,1
 1211,1211,5809103,1
 1212,1212,1812418,0
 1213,1213,6577999,0
 1214,1214,92611,1
 1215,1215,762511,1
 1216,1216,1780241,0
 1217,1217,5536334,1
 1218,1218,5090893,1
 1219,1219,6445494,0
 1220,1220,4161841,0
 1221,1221,5532037,1
 1222,1222,2514369,0
 1223,1223,2413509,0
 1224,1224,1362927,1
 1225,1225,6857765,1
 1226,1226,1317991,0
 1227,1227,2702658,1
 1228,1228,4302220,0
 1229,1229,4136198,1
 1230,1230,6266647,0
 1231,1231,4458221,0
 1232,1232,5505626,0
 1233,1233,695840,0
 1234,1234,1331619,1
 1235,1235,3448773,1
 1236,1236,5414297,0
 1237,1237,3153256,1
 1238,1238,5565309,0
