ID, BANIERA, YACUZZI, SALA, COCINETA
 328,1,1,1,1
 329,0,0,0,0
 330,1,0,1,1
 331,1,1,0,0
 332,0,1,0,1
 333,1,0,1,0
 334,0,1,1,1
 335,1,1,0,1
 336,0,0,1,0
 337,0,0,0,1
 338,1,1,1,0
 339,0,0,1,0
 340,1,0,1,0
 341,1,0,1,0
 342,0,1,1,1
 343,1,1,0,1
 344,1,0,0,1
 345,0,0,0,1
 346,0,1,1,1
 347,1,0,1,0
 348,0,0,1,1
 349,0,0,1,1
 350,0,1,1,0
 351,1,0,0,1
 352,0,1,0,1
 353,0,1,0,0
 354,0,0,0,1
 355,1,0,1,1
 356,1,1,1,0
 357,0,1,0,1
 358,0,1,0,0
 359,1,0,1,0
 360,1,1,1,0
 361,1,0,0,0
 362,0,1,1,1
 363,0,1,0,0
 364,1,0,0,1
 365,0,0,1,0
 366,0,1,1,1
 367,1,0,1,0
 368,1,0,1,1
 369,1,0,0,0
 370,0,1,0,0
 371,0,0,0,1
 372,1,0,1,0
 373,0,1,0,1
 374,1,1,1,1
 375,0,0,0,0
 376,1,1,1,0
 377,1,0,0,0
 378,0,0,1,1
 379,1,0,0,0
 380,1,1,1,0
 381,1,1,1,1
 382,1,1,1,0
 383,0,0,1,1
 384,0,0,1,1
 385,0,0,1,0
 386,1,1,0,1
 387,0,0,0,1
 388,1,0,1,0
 389,0,0,1,0
 390,1,0,0,0
 391,0,1,0,1
 392,1,0,1,0
 393,0,0,1,1
 394,0,0,0,0
 395,1,1,1,0
 396,0,0,0,0
 397,0,1,0,1
 398,1,0,0,0
 399,0,0,0,1
 400,1,0,0,0
 401,0,1,1,0
 402,0,0,0,0
 403,1,1,0,1
 404,0,0,1,1
 405,0,0,1,0
 406,1,0,0,1
 407,1,0,0,1
 408,1,1,1,0
 409,1,1,1,1
 410,1,1,1,0
 411,0,0,1,1
 412,0,1,0,1
 413,0,1,1,1
 414,0,0,0,1
 415,1,1,0,0
 416,0,0,1,0
 417,0,0,1,1
 418,0,1,0,1
 419,0,1,0,1
 420,1,1,0,0
 421,1,1,0,0
 422,1,0,1,0
 423,1,0,1,1
 424,1,0,0,0
 425,1,0,0,0
 426,0,1,1,1
 427,1,0,0,0
 428,0,1,0,0
 429,0,1,1,0
 430,0,0,0,0
 431,0,1,0,0
 432,1,1,1,1
 433,1,0,0,0
 434,0,1,1,1
 435,0,0,0,1
 436,1,0,1,1
 437,1,0,1,1
 438,0,1,1,0
 439,1,1,0,1
 440,1,0,0,0
 441,0,0,0,0
 442,0,1,0,1
 443,1,1,0,1
 444,1,0,1,0
 445,0,0,0,1
 446,1,0,1,0
 447,1,1,1,0
 448,1,1,0,0
 449,0,0,0,0
 450,1,1,1,0
 451,1,1,1,0
 452,0,1,1,0
 453,0,1,1,0
 454,0,0,0,0
 455,0,0,1,1
 456,0,1,1,1
 457,0,1,1,0
 458,1,0,0,0
 459,1,0,0,1
 460,0,1,0,0
 461,0,0,1,0
 462,1,0,1,0
 463,1,1,0,0
 464,1,0,0,1
 465,0,0,0,0
 466,1,0,0,0
 467,0,0,0,1
 468,1,0,1,1
 469,1,1,1,0
 470,1,0,1,0
 471,0,1,1,1
 472,1,1,0,0
 473,0,1,1,1
 474,1,1,1,1
 475,0,0,0,0
 476,1,1,0,0
 477,1,1,1,1
 478,1,1,0,0
 479,0,1,1,1
 480,0,1,1,1
 481,1,0,1,0
 482,1,1,0,0
 483,0,0,0,0
 484,1,1,1,1
 485,1,1,1,1
 486,0,1,0,1
 487,0,0,1,0
 488,0,1,1,0
 489,0,1,0,1
 490,0,1,0,0
 491,1,0,1,1
 492,0,0,1,1
 493,1,0,1,0
 494,0,0,0,1
 495,1,0,1,0
 496,1,1,0,1
 497,1,1,0,1
 498,1,0,0,0
 499,1,0,0,0
 500,0,0,0,0
 501,1,0,0,0
 502,0,0,1,0
 503,1,0,1,0
 504,1,0,0,1
 505,0,1,0,1
 506,0,1,0,0
 507,1,0,1,1
 508,1,0,1,0
 509,0,1,0,0
 510,1,0,1,0
 511,0,1,1,1
 512,1,1,0,1
 513,1,1,0,1
 514,1,1,1,0
 515,1,1,0,0
 516,0,1,1,0
 517,0,1,0,1
 518,1,0,0,1
 519,0,1,0,0
 520,0,0,1,0
 521,1,0,0,1
 522,0,1,1,0
 523,1,0,0,0
 524,0,0,0,0
 525,1,0,1,0
 526,1,1,1,1
 527,0,1,1,0
 528,1,1,1,1
 529,1,0,1,0
 530,1,1,0,0
 531,1,0,1,1
 532,0,1,1,1
 533,1,1,0,1
 534,0,1,0,0
 535,1,1,1,1
 536,0,1,0,1
 537,0,0,1,1
 538,0,1,1,1
 539,1,1,1,1
 540,1,0,0,1
 541,0,1,0,0
 542,0,0,0,0
 543,0,1,0,0
 544,1,0,1,1
 545,1,0,1,1
 546,1,0,1,1
 547,0,1,0,0
 548,0,1,0,0
 549,1,1,1,0
 550,0,0,0,1
 551,1,1,0,0
 552,1,1,0,1
 553,1,0,1,0
 554,1,0,1,0
 555,0,0,0,0
 556,1,1,1,0
 557,0,1,0,0
 558,1,0,0,0
 559,0,1,1,0
 560,0,0,1,0
 561,1,1,0,1
 562,1,1,0,0
 563,1,0,1,1
 564,1,0,0,1
 565,1,0,1,0
 566,0,0,0,0
 567,1,0,0,1
 568,1,1,1,1
 569,1,0,1,0
 570,0,0,1,1
 571,0,0,0,0
 572,0,0,1,0
 573,0,1,1,1
 574,0,0,1,1
 575,0,0,1,1
 576,0,0,0,0
 577,1,1,1,1
 578,1,0,0,0
 579,0,1,0,1
 580,1,1,1,0
 581,1,0,0,1
 582,1,0,0,0
 583,1,0,1,1
 584,1,1,0,0
 585,0,1,0,1
 586,0,0,0,0
 587,0,1,1,1
 588,1,1,1,1
 589,1,1,1,0
 590,0,0,1,0
 591,1,0,1,1
 592,1,0,1,0
 593,1,0,1,1
 594,0,1,1,0
 595,0,0,0,1
 596,1,0,1,0
 597,1,1,0,1
 598,1,1,1,1
 599,0,1,0,1
 600,0,0,1,0
 601,0,0,1,0
 602,1,1,0,0
 603,0,0,0,1
 604,0,0,0,1
 605,0,1,0,0
 606,0,0,0,0
 607,0,1,0,0
 608,0,0,0,1
 609,0,1,1,0
 610,1,1,0,1
 611,0,1,0,0
 612,1,0,0,1
 613,1,1,0,0
 614,1,0,1,0
 615,0,1,1,1
 616,1,1,1,0
 617,0,0,1,1
 618,0,1,1,0
 619,0,0,0,1
 620,0,1,1,1
 621,0,1,0,0
 622,0,1,0,1
 623,1,1,1,1
 624,1,0,0,0
 625,1,1,0,1
 626,0,0,0,0
 627,0,1,0,1
 628,0,1,1,1
 629,0,0,1,1
 630,1,0,0,1
 631,1,1,1,0
 632,0,0,1,0
 633,0,1,1,0
 634,0,1,0,0
 635,0,0,1,0
 636,0,0,1,1
 637,0,0,0,0
 638,1,1,1,0
 639,0,0,0,1
 640,1,0,0,1
 641,1,0,0,1
 642,0,1,1,1
 643,0,1,0,0
 644,0,1,0,0
 645,0,0,0,1
 646,1,1,1,1
 647,0,1,0,1
 648,1,1,0,0
 649,1,1,1,0
 650,0,1,0,1
 651,0,0,1,1
 652,0,0,1,1
 653,0,0,1,0
 654,0,1,1,0
 655,1,0,0,1
 656,1,0,0,0
 657,1,0,1,1
 658,1,0,0,1
 659,0,0,1,0
 660,1,1,0,1
 661,0,0,0,0
 662,0,1,0,0
 663,0,0,0,1
 664,1,1,1,0
 665,1,1,0,1
 666,0,0,1,0
 667,0,0,0,0
 668,1,1,1,0
 669,1,0,0,1
 670,0,1,0,0
 671,0,0,1,1
 672,1,0,0,1
 673,1,1,0,1
 674,0,0,1,1
 675,0,0,1,1
 676,0,1,1,0
 677,0,1,1,0
 678,0,0,1,0
 679,1,0,0,0
 680,1,1,0,1
 681,0,0,1,0
 682,0,1,1,0
 683,0,1,1,1
 684,1,0,0,0
 685,0,1,1,1
 686,1,0,0,1
 687,1,1,0,1
 688,1,1,0,0
 689,1,1,0,0
 690,0,1,1,0
 691,0,0,0,0
 692,0,0,1,0
 693,1,0,0,0
 694,0,1,0,0
 695,0,0,0,0
 696,1,0,1,1
 697,1,1,1,0
 698,0,0,1,0
 699,1,1,1,1
 700,1,1,1,1
 701,0,0,0,1
 702,1,1,0,1
 703,1,1,0,0
 704,1,1,1,1
 705,1,0,0,0
 706,1,1,0,1
 707,0,0,1,0
 708,0,1,1,1
 709,0,0,1,0
 710,0,0,0,0
 711,1,1,1,0
 712,0,0,0,1
 713,0,0,1,1
 714,1,1,1,0
 715,1,1,0,1
 716,1,1,1,0
 717,1,0,1,1
 718,0,0,0,1
 719,1,1,0,1
 720,1,1,1,1
 721,1,1,1,1
 722,1,1,1,0
 723,1,0,1,0
 724,0,0,0,0
 725,1,1,0,1
 726,1,0,0,1
 727,1,1,0,1
 728,1,1,1,1
 729,0,1,1,1
 730,0,1,0,0
 731,1,1,1,0
 732,1,0,0,0
 733,0,1,0,0
 734,1,1,1,0
 735,0,1,1,0
 736,0,0,1,1
 737,1,1,1,0
 738,1,0,1,0
 739,1,0,1,0
 740,1,1,1,0
 741,1,0,0,1
 742,0,0,0,1
 743,0,0,0,0
 744,0,0,1,0
 745,0,1,0,0
 746,0,0,0,0
 747,0,0,0,1
 748,0,0,1,0
 749,0,0,0,0
 750,0,1,1,1
 751,1,1,0,1
 752,0,1,0,1
 753,0,1,1,1
 754,1,0,1,0
 755,1,1,1,0
 756,1,0,1,0
 757,0,1,1,0
 758,0,1,0,1
 759,0,1,1,1
 760,0,1,1,0
 761,1,0,1,1
 762,0,0,1,1
 763,1,1,0,0
 764,1,1,1,0
 765,0,1,1,0
 766,1,0,1,0
 767,0,0,1,1
 768,1,0,1,0
 769,0,1,0,1
 770,0,0,1,1
 771,1,1,0,1
 772,1,1,0,1
 773,1,0,1,0
 774,0,0,1,1
 775,1,1,1,1
 776,0,1,0,0
 777,1,0,1,0
 778,1,1,0,1
 779,1,0,0,0
 780,0,0,1,1
 781,1,1,0,0
 782,0,0,0,0
 783,0,0,0,1
 784,0,1,0,0
 785,0,0,0,0
 786,1,0,1,0
 787,0,1,0,0
 788,0,0,0,0
 789,0,0,1,1
 790,1,0,0,0
 791,0,0,1,1
 792,1,0,0,1
 793,1,0,1,0
 794,0,0,0,0
 795,1,1,1,1
 796,0,0,1,0
 797,1,1,0,1
 798,1,0,1,0
 799,0,0,0,1
 800,1,0,1,0
 801,0,1,0,0
 802,1,0,1,1
 803,1,1,1,0
 804,1,1,1,1
 805,1,0,0,1
 806,1,1,1,0
 807,1,1,1,0
 808,0,1,0,1
 809,0,0,0,0
 810,1,1,0,0
 811,1,0,0,1
 812,0,1,1,0
 813,1,0,1,1
 814,1,1,1,0
 815,0,1,1,0
 816,1,0,1,1
 817,0,1,1,0
 818,1,1,0,0
 819,0,0,0,0
 820,1,1,1,0
 821,0,1,0,1
 822,0,1,0,0
 823,0,0,0,0
 824,0,0,1,1
 825,0,1,1,0
 826,0,1,0,1
 827,0,1,0,1
 828,0,0,0,0
 829,1,0,1,0
 830,0,0,1,1
 831,0,0,1,1
 832,1,0,0,1
 833,1,1,0,1
 834,1,1,0,1
 835,1,1,0,1
 836,1,1,1,1
 837,1,0,0,0
 838,0,1,0,0
 839,0,1,0,1
 840,1,1,1,1
 841,0,1,1,0
 842,0,1,0,0
 843,0,1,0,0
 844,0,1,1,0
 845,1,1,0,0
 846,0,0,0,1
 847,1,0,1,0
 848,0,0,1,1
 849,0,0,1,1
 850,1,1,1,1
 851,1,0,0,1
 852,1,1,1,1
 853,1,1,0,1
 854,1,1,1,1
 855,0,0,0,0
 856,0,0,1,0
 857,1,1,1,1
 858,0,0,1,1
 859,1,1,0,1
 860,1,0,0,1
 861,0,0,1,0
 862,0,0,0,0
 863,1,1,0,1
 864,0,1,0,1
 865,0,0,0,1
 866,0,1,0,1
 867,0,1,1,1
 868,0,1,1,1
 869,1,1,1,0
 870,1,1,0,1
 871,0,0,0,1
 872,0,1,1,1
 873,1,0,1,1
 874,0,0,1,1
 875,1,0,0,0
 876,1,0,0,0
 877,1,0,1,0
 878,1,0,1,0
 879,0,0,1,1
 880,0,0,1,0
 881,1,0,1,1
 882,1,0,1,0
 883,0,1,1,0
 884,1,1,1,0
 885,1,0,0,0
 886,1,0,0,0
 887,0,1,0,1
 888,1,0,0,0
 889,1,1,1,1
 890,1,1,0,0
 891,0,1,0,0
 892,1,1,1,1
 893,1,1,1,0
 894,0,0,1,1
 895,1,0,0,0
 896,0,1,0,1
 897,0,1,1,1
 898,0,0,0,0
 899,0,0,1,1
 900,1,1,0,0
 901,1,1,1,1
 902,0,0,1,0
 903,1,0,0,0
 904,0,1,1,0
 905,1,1,1,0
 906,0,0,1,0
 907,0,1,0,0
 908,0,0,0,1
 909,0,1,0,0
 910,0,0,1,0
 911,0,0,0,0
 912,1,0,1,1
 913,0,0,0,1
 914,1,0,0,1
 915,1,0,0,1
 916,1,0,0,1
 917,0,1,0,0
 918,0,1,0,0
 919,1,1,0,0
 920,1,1,1,1
 921,0,0,0,0
 922,1,1,0,1
 923,0,0,0,0
 924,0,0,1,0
 925,1,1,0,0
 926,0,1,1,1
 927,1,0,0,0
 928,1,0,1,0
 929,0,0,0,0
 930,0,1,1,0
 931,1,0,1,1
 932,1,1,0,1
 933,0,0,0,0
 934,0,1,1,0
 935,0,1,0,0
 936,1,1,1,1
 937,0,0,1,1
 938,0,1,1,0
 939,1,1,0,1
 940,1,1,0,1
 941,0,0,1,0
 942,1,0,0,1
 943,0,0,1,1
 944,1,1,0,0
 945,0,0,1,0
 946,0,0,1,1
 947,1,0,1,1
 948,1,0,0,0
 949,0,0,1,1
 950,0,1,1,0
 951,0,0,1,0
 952,1,1,1,1
 953,1,0,1,0
 954,0,1,0,0
 955,1,0,0,1
 956,0,1,1,1
 957,0,0,1,0
 958,1,0,1,0
 959,1,0,1,1
 960,1,0,1,1
 961,1,0,1,1
 962,0,0,1,0
 963,0,1,0,0
 964,0,0,1,1
 965,0,0,1,0
 966,0,1,0,0
 967,1,0,0,0
 968,1,0,0,0
 969,1,1,1,1
 970,0,0,1,1
 971,1,0,0,0
 972,0,0,0,0
 973,0,0,1,0
 974,0,0,0,1
 975,1,0,0,0
 976,0,0,0,1
 977,1,0,0,0
 978,1,0,1,1
 979,0,0,0,1
 980,1,0,0,1
 981,1,1,1,0
 982,1,1,1,1
 983,1,0,0,1
 984,0,0,1,0
 985,0,0,1,1
 986,1,0,0,1
 987,1,1,1,0
 988,1,0,0,0
 989,0,1,1,1
 990,0,0,1,0
 991,1,0,0,0
 992,0,0,1,0
 993,0,1,1,0
 994,0,1,0,1
 995,0,0,0,0
 996,1,1,0,1
 997,1,1,1,1
 998,0,0,0,1
 999,0,1,0,1
 1000,1,1,0,0
 1001,1,1,1,1
 1002,0,1,0,1
 1003,0,0,0,1
 1004,1,0,0,1
 1005,1,1,0,0
 1006,0,1,1,0
 1007,1,1,0,0
 1008,1,1,1,0
 1009,1,1,1,1
 1010,1,0,1,1
 1011,1,0,1,0
 1012,0,1,1,1
 1013,0,1,1,1
 1014,1,1,1,0
 1015,1,0,1,0
 1016,1,1,0,0
 1017,1,1,0,0
 1018,1,1,0,1
 1019,1,0,1,1
 1020,0,0,1,0
 1021,0,0,1,0
 1022,0,1,0,1
 1023,0,0,1,0
 1024,0,0,0,0
 1025,0,1,1,1
 1026,0,1,0,1
 1027,0,1,0,1
 1028,1,1,0,1
 1029,1,1,0,1
 1030,0,0,1,0
 1031,1,0,1,0
 1032,0,1,0,0
 1033,1,0,0,0
 1034,0,0,0,1
 1035,0,1,0,1
 1036,1,1,1,0
 1037,1,0,1,1
 1038,1,0,1,0
 1039,1,1,0,0
 1040,0,1,1,0
 1041,1,0,0,0
 1042,0,0,0,0
 1043,1,0,1,1
 1044,0,0,1,0
 1045,1,0,1,1
 1046,1,1,0,1
 1047,1,0,0,1
 1048,0,0,1,0
 1049,1,0,1,0
 1050,1,1,1,1
 1051,0,0,0,1
 1052,0,1,1,1
 1053,1,1,0,1
 1054,1,0,1,0
 1055,0,1,1,0
 1056,1,0,0,1
 1057,0,1,1,0
 1058,0,0,0,0
 1059,1,1,1,0
 1060,0,1,0,0
 1061,1,1,0,1
 1062,0,0,0,0
 1063,1,1,1,1
 1064,0,1,1,0
 1065,0,0,0,0
 1066,1,0,1,1
 1067,0,0,0,0
 1068,0,1,0,0
 1069,0,0,0,1
 1070,0,0,0,1
 1071,1,1,0,1
 1072,0,1,0,1
 1073,1,1,1,0
 1074,1,1,1,0
 1075,0,1,1,0
 1076,1,1,1,1
 1077,0,0,0,1
 1078,1,0,1,0
 1079,0,1,1,0
 1080,0,1,1,1
 1081,1,0,0,1
 1082,1,1,1,0
 1083,0,0,0,0
 1084,0,1,0,1
 1085,0,0,0,1
 1086,1,1,0,1
 1087,1,1,1,1
 1088,1,0,0,1
 1089,1,0,1,1
 1090,0,0,0,0
 1091,1,1,1,0
 1092,1,0,1,0
 1093,0,1,0,0
 1094,0,0,0,0
 1095,1,0,0,1
 1096,0,0,1,0
 1097,0,1,1,1
 1098,1,1,0,1
 1099,1,0,1,1
 1100,1,0,1,1
 1101,1,0,1,1
 1102,0,1,0,1
 1103,0,1,0,0
 1104,0,1,1,1
 1105,1,0,1,1
 1106,0,0,1,0
 1107,0,0,1,0
 1108,0,0,0,0
 1109,0,0,1,0
 1110,1,1,1,0
 1111,0,0,0,0
 1112,0,0,0,1
 1113,1,0,0,1
 1114,0,0,0,0
 1115,0,1,0,1
 1116,1,0,0,0
 1117,0,1,1,0
 1118,0,1,0,0
 1119,1,0,0,0
 1120,1,0,1,0
 1121,1,0,1,0
 1122,0,1,0,0
 1123,0,0,0,1
 1124,1,0,0,1
 1125,1,0,0,1
 1126,1,0,0,0
 1127,1,0,1,0
 1128,1,1,0,0
 1129,1,1,0,1
 1130,0,0,1,1
 1131,0,0,0,0
 1132,1,0,0,1
 1133,0,0,1,0
 1134,1,0,1,1
 1135,1,1,0,0
 1136,1,1,0,0
 1137,1,0,0,1
 1138,1,0,1,0
 1139,1,1,0,0
 1140,1,0,1,0
 1141,0,1,0,1
 1142,0,1,1,0
 1143,0,0,0,1
 1144,0,0,1,1
 1145,0,0,1,0
 1146,1,0,1,1
 1147,0,1,1,0
 1148,1,0,0,1
 1149,0,0,1,1
 1150,0,1,1,1
 1151,0,1,0,0
 1152,1,1,1,1
 1153,1,0,0,0
 1154,1,1,0,1
 1155,1,0,0,1
 1156,1,0,0,1
 1157,1,1,1,0
 1158,0,0,0,0
 1159,0,0,1,1
 1160,1,0,0,1
 1161,0,0,0,1
 1162,1,0,1,1
 1163,0,0,1,0
 1164,1,1,1,0
 1165,0,0,1,0
 1166,0,1,0,0
 1167,1,1,1,0
 1168,1,1,1,1
 1169,0,1,1,0
 1170,1,1,1,1
 1171,0,0,0,1
 1172,1,1,0,1
 1173,0,0,1,0
 1174,0,0,1,1
 1175,0,0,1,0
 1176,0,1,1,0
 1177,1,1,1,1
 1178,0,0,1,0
 1179,1,1,0,0
 1180,1,1,0,0
 1181,1,0,1,1
 1182,1,1,0,0
 1183,0,0,1,0
 1184,1,0,0,0
 1185,1,1,0,1
 1186,0,1,1,0
 1187,1,0,1,0
 1188,1,1,0,0
 1189,1,0,1,0
 1190,0,1,1,0
 1191,0,1,1,1
 1192,0,0,1,0
 1193,1,0,1,0
 1194,0,0,0,1
 1195,1,1,0,0
 1196,0,0,1,1
 1197,0,1,0,0
 1198,0,0,0,0
 1199,1,0,1,0
 1200,1,0,1,1
 1201,1,0,0,1
 1202,1,0,0,0
 1203,1,1,0,1
 1204,1,1,1,1
 1205,1,0,1,1
 1206,0,0,0,0
 1207,1,1,0,1
 1208,0,0,1,1
 1209,1,1,1,1
 1210,1,0,0,1
 1211,0,1,1,1
 1212,1,0,0,1
 1213,1,0,0,1
 1214,1,1,1,1
 1215,1,0,0,0
 1216,1,0,1,1
 1217,0,1,0,0
 1218,0,0,1,0
 1219,0,0,1,0
 1220,1,1,0,1
 1221,1,1,0,1
 1222,0,0,0,1
 1223,0,0,1,1
 1224,0,0,1,0
 1225,1,1,1,1
 1226,1,0,0,1
 1227,0,0,1,1
 1228,1,1,1,1
 1229,0,1,1,0
 1230,0,0,0,0
 1231,0,1,0,1
 1232,1,1,0,1
 1233,0,0,0,0
 1234,0,1,1,1
 1235,1,0,1,0
 1236,0,0,1,0
 1237,0,0,1,1
 1238,0,0,0,0
 1239,0,1,1,1
 1240,0,0,0,1
 1241,1,1,1,0
 1242,0,0,1,1
 1243,0,0,0,0
 1244,1,0,0,0
 1245,1,1,0,0
