IDOPERADOR, GANANCIA 
 349,427339816
 350,165400650
 351,337177908
 352,301007615
 353,408714325
 354,161426408
 355,529442582
 356,111163022
 357,233330499
 358,348113166
 359,194880842
 360,313166450
 361,160660257
 362,346676765
 363,254568397
 364,87274053
 365,411854149
 366,116664191
 367,366099852
 368,223320342
 369,330567446
 370,462931823
 371,505033074
 372,308733430
 373,142346186
 374,20623298
 375,124302836
 376,248842855
 377,42130395
 378,120405077
 379,557859522
 380,296848789
 381,166990486
 382,374128326
 383,510426646
 384,434541639
 385,292693055
 386,347158085
 387,245273992
 388,352337418
 389,117673120
 390,249613858
 391,188804725
 392,176003343
 393,96609273
 394,553880531
 395,21695824
 396,19360003
 397,484505980
 398,361250185
 399,330411861
 400,25037131
 401,228892195
 402,105062001
 403,452075983
 404,483242932
 405,404677814
 406,422277092
 407,487573168
 408,335410490
 409,52153062
 410,218691729
 411,196319621
 412,481571548
 413,519607240
 414,34498849
 415,128908022
 416,318666822
 417,89299339
 418,61291084
 419,551348735
 420,183400000
 421,306347283
 422,304447661
 423,546557645
 424,257607261
 425,382125385
 426,91754848
 427,128744474
 428,314444662
 429,29610335
 430,75228827
 431,53794120
 432,478758911
 433,320688093
 434,282639425
 435,385495222
 436,302090392
 437,393887798
 438,193557513
 439,529681323
 440,179891368
 441,388329367
 442,306427045
 443,74141589
 444,218953380
 445,201512806
 446,354967611
 447,227224096
 448,317540508
 449,238378431
 450,352806759
 451,149869785
 452,304576025
 453,384679611
 454,549809988
 455,179358402
 456,334782786
 457,134585859
 458,526835813
 459,59073395
 460,58296115
 461,294188168
 462,86089337
 463,127311988
 464,93952638
 465,385957092
 466,117154976
 467,174317703
 468,442360459
 469,156189528
 470,410606406
 471,394774894
 472,35456377
 473,528673977
 474,76587836
 475,349435636
 476,51579267
 477,262610710
 478,520687311
 479,7577559
 480,253035689
 481,256815567
 482,104020844
 483,299641585
 484,42527835
 485,201239622
 486,72366698
 487,483651422
 488,473104471
 489,144707098
 490,468448411
 491,271083021
 492,119617070
 493,466756981
 494,212623641
 495,12933730
 496,493296194
 497,451259838
 498,179087526
 499,387285523
 500,162951409
 501,104875133
 502,244795566
 503,540453929
 504,299266103
 505,12774603
 506,75893147
 507,414148353
 508,258959726
 509,356205987
 510,352078465
 511,192704912
 512,244798776
 513,324738672
 514,71778412
 515,127829061
 516,144501215
 517,363980718
 518,311919733
 519,546417544
 520,425369380
 521,554022059
 522,140437050
 523,231522304
 524,45553095
 525,489310298
 526,11515055
 527,492770781
 528,49096596
 529,19118951
 530,268442404
 531,379446188
 532,520992056
 533,311689651
 534,540747362
 535,303033739
 536,310829928
 537,116987652
 538,347797243
 539,401606838
 540,504900411
 541,471892634
 542,440762626
 543,453129423
 544,5223661
 545,154749863
 546,52669603
 547,61793114
 548,112796127
 549,206907390
 550,74193404
 551,464773769
 552,533663471
 553,191830242
 554,105806577
 555,196896726
 556,345917873
 557,491410366
 558,342371230
 559,101725761
 560,79219729
 561,109687704
 562,549808002
 563,415299535
 564,423967245
 565,454768980
 566,303122453
 567,103874757
 568,334101625
 569,271598796
 570,422268402
 571,342892060
 572,235486256
 573,547610755
 574,308806246
 575,485141925
 576,148456300
 577,338425059
 578,507014843
 579,76177670
 580,192456027
 581,553279539
 582,465120712
 583,230115588
 584,332013600
 585,529233913
 586,148930477
 587,195856686
 588,4606979
 589,31063706
 590,274722441
 591,415884180
 592,493733345
 593,55483829
 594,33366222
 595,148011519
 596,303766987
 597,541953797
 598,132114811
 599,315249755
 600,162076850
 601,447565579
 602,19710435
 603,104961952
 604,370644397
 605,178098325
 606,123115200
 607,522270175
 608,28863294
 609,473646091
 610,368250751
 611,322243095
 612,487734104
 613,338049893
 614,84613846
 615,357319692
 616,217109370
 617,520135042
 618,26683884
 619,434251958
 620,210025837
 621,153188341
 622,339151006
 623,250889047
 624,7951980
 625,167924685
 626,296265318
 627,397770618
 628,102920646
 629,438658422
 630,17864846
 631,171136726
 632,372022364
 633,120751560
 634,507919161
 635,268621909
 636,98508731
 637,98794961
 638,503941041
 639,473115732
 640,215323602
 641,529681976
 642,128333192
 643,450361689
 644,178407378
 645,360057918
 646,230172077
 647,439314912
 648,290456430
 649,15586769
 650,238775952
 651,263873084
 652,485389046
 653,154392227
 654,453202746
 655,128304357
 656,74233518
 657,490531127
 658,143024851
 659,261872466
 660,487910303
 661,258776494
 662,165095714
 663,261500549
 664,176776098
 665,282087325
 666,438184398
 667,261829878
 668,269222297
 669,114521550
 670,443491417
 671,532388106
 672,77577679
 673,556441622
 674,445401512
 675,90875284
 676,430626966
 677,383971717
 678,522815916
 679,442699177
 680,154223875
 681,386626995
 682,172411890
 683,493341539
 684,553262556
 685,512531749
 686,2632586
 687,163112568
 688,223430486
 689,555243528
 690,222505676
 691,546974898
 692,395266171
 693,511613081
 694,258136043
 695,559236740
 696,89091108
 697,357675443
 698,454843702
 699,253642161
 700,64897601
 701,132143571
 702,547969401
 703,190558317
 704,355368174
 705,379572831
 706,139501877
 707,549473999
 708,209562024
 709,440261865
 710,313185953
 711,166175939
 712,305113559
 713,459794163
 714,550653800
 715,465248202
 716,140410328
 717,343480413
 718,157437195
 719,487662824
 720,35627998
 721,422020838
 722,284182488
 723,233915698
 724,63694087
 725,100921646
 726,318326379
 727,287609061
 728,506593689
 729,289801215
 730,19682793
 731,448702522
 732,71090263
 733,377851138
 734,204576267
 735,395302556
 736,404178665
 737,308637018
 738,181535668
 739,109567408
 740,109545624
 741,130266028
 742,255384592
 743,425971003
 744,372182232
 745,559559878
 746,468072847
 747,276217907
 748,259487402
 749,459010311
 750,74143641
 751,185488783
 752,424182556
 753,304202329
 754,116348333
 755,291477944
 756,177399620
 757,98413747
 758,5208928
 759,45504204
 760,536279510
 761,57589038
 762,431798605
 763,70641370
 764,203526682
 765,222212050
 766,499046420
 767,50122770
 768,398781818
 769,442309615
 770,95566282
 771,67829138
 772,311979651
 773,263275160
 774,160986921
 775,299660621
 776,184110906
 777,98817992
 778,136082927
 779,438918177
 780,277012345
 781,311029887
 782,342713845
 783,489311901
 784,10140261
 785,469368316
 786,173689521
 787,558335291
 788,159845976
 789,505109570
 790,66460711
 791,453035601
 792,238968806
 793,443718948
 794,285125159
 795,540000043
 796,335880518
 797,364350713
 798,495069999
 799,437062481
 800,394848645
 801,146972949
 802,125771205
 803,399154053
 804,526157345
 805,380562320
 806,425097610
 807,401124549
 808,47301277
 809,190704991
 810,407945233
 811,271437083
 812,30601583
 813,435654050
 814,280447950
 815,241348547
 816,364424456
 817,556468576
 818,211322933
 819,80967208
 820,458581695
 821,160771716
 822,539654019
 823,42913591
 824,70767086
 825,315372435
 826,333049479
 827,54957703
 828,165604394
 829,184092549
 830,191895764
 831,15540400
 832,114867191
 833,32327120
 834,87200461
 835,209160566
 836,395675079
 837,47320436
 838,443637914
 839,274904276
 840,395330198
 841,498780376
 842,33246647
 843,479041123
 844,98528527
 845,549263070
 846,469583609
 847,540919826
 848,234412986
 849,180455939
 850,289785561
 851,443246056
 852,534348847
 853,390829285
 854,118361782
 855,144699566
 856,156611511
 857,93767481
 858,253810865
 859,392107161
 860,269740501
 861,462796147
 862,355144545
 863,155242583
 864,99072971
 865,348573528
 866,503845082
 867,467453316
 868,407919613
 869,111333388
 870,404874149
 871,460479911
 872,155874361
 873,553420961
 874,501252880
 875,124196419
 876,327318502
 877,5428805
 878,224937206
 879,197835957
 880,113667237
 881,77199949
 882,197101417
 883,395223187
 884,371920955
 885,360284039
 886,257294784
 887,426377047
 888,241140614
 889,478634951
 890,37908955
 891,182670833
 892,400374244
 893,11599143
 894,186124190
 895,299684817
 896,264811333
 897,376814946
 898,415005496
 899,111732303
 900,527344782
 901,558222743
 902,557423900
 903,99892068
 904,273804660
 905,121603438
 906,524822653
 907,165525281
 908,412827017
 909,136428926
 910,548528079
 911,489280311
 912,148382196
 913,455620680
 914,280161798
 915,80446971
 916,441391291
 917,331479180
 918,428615415
 919,168361310
 920,468864193
 921,265432986
 922,80797935
 923,327966157
 924,351842410
 925,302511593
 926,253518053
 927,398628396
 928,22798921
 929,278175428
 930,55926262
 931,468450701
 932,53248542
 933,376562445
 934,490476344
 935,271056949
 936,534219410
 937,118704962
 938,310290907
 939,523504967
 940,502762974
 941,213236099
 942,111687592
 943,172484238
 944,462629272
 945,246586337
 946,457120537
 947,71129442
 948,143954577
 949,496516910
 950,434212323
 951,504589192
 952,200009192
 953,100524511
 954,506412052
 955,348180570
 956,508770988
 957,548461935
 958,33303374
 959,190757965
 960,367293559
 961,467489746
 962,108629426
 963,519416048
 964,378057687
 965,326551792
 966,37285734
 967,109557425
 968,60488836
 969,319793851
 970,318461956
 971,35469471
 972,512926506
 973,492650465
 974,480598493
 975,222150222
 976,77243781
 977,28933126
 978,381579194
 979,131652037
 980,456815899
 981,155541405
 982,243819465
 983,161300437
 984,241124641
 985,22191904
 986,447465379
 987,36512789
 988,408996729
 989,264227024
 990,139716848
 991,556512052
 992,289053427
 993,26742753
 994,335972369
 995,217021940
 996,225533380
 997,479991649
 998,434176845
 999,416881200
 1000,208059868
 1001,231744268
 1002,546691244
 1003,184770212
 1004,470560728
 1005,17734397
 1006,370990729
 1007,272968881
 1008,183055239
 1009,132794515
 1010,385885897
 1011,404938737
 1012,190956133
 1013,223797533
 1014,495605402
 1015,10664845
 1016,169699819
 1017,103016535
 1018,493355397
 1019,504117806
 1020,430015843
 1021,157177513
 1022,545383402
 1023,198957046
 1024,51500150
 1025,232842163
 1026,172117589
 1027,329583210
 1028,121516768
 1029,426295325
 1030,233258523
 1031,461671478
 1032,6359122
 1033,298559271
 1034,271439565
 1035,116806008
 1036,274055275
 1037,311245082
 1038,282513328
 1039,109196703
 1040,354021886
 1041,411720339
 1042,229325242
 1043,20119997
 1044,18092259
 1045,229161286
 1046,101844378
 1047,150829694
 1048,402725466
 1049,262744402
 1050,239277968
 1051,375539183
 1052,391716642
 1053,519447547
 1054,246280907
 1055,269488415
 1056,401582692
 1057,369055108
 1058,215913715
 1059,452834577
 1060,510268090
 1061,472828135
 1062,197095930
 1063,35950565
 1064,523556847
 1065,143091875
 1066,213997316
 1067,75198960
 1068,73416902
 1069,31440258
 1070,307291357
 1071,106843364
 1072,377300876
 1073,407405265
 1074,181079668
 1075,240967575
 1076,146440601
 1077,278774599
 1078,359490474
 1079,505243675
 1080,350892708
 1081,250815333
 1082,247479519
 1083,170713088
 1084,299884025
 1085,523492783
 1086,438098614
 1087,471011538
 1088,351453731
 1089,352563751
 1090,262460296
 1091,468264530
 1092,475545714
 1093,465294226
 1094,354129299
 1095,145860102
 1096,345196417
 1097,14525299
 1098,138315277
 1099,269717308
 1100,360654462
 1101,34499273
 1102,156539499
 1103,95531066
 1104,162949581
 1105,85806900
 1106,442951383
 1107,378278376
 1108,516403236
 1109,280972124
 1110,310088509
 1111,319736156
 1112,263942315
 1113,375802842
 1114,507002095
 1115,174738572
 1116,456601430
 1117,357692746
 1118,101418895
 1119,128598123
 1120,268549198
 1121,301782812
 1122,246188287
 1123,398132090
 1124,388782155
 1125,198337207
 1126,538298871
 1127,387716532
 1128,282919075
 1129,226751304
 1130,482837748
 1131,30361152
 1132,271695295
 1133,286234602
 1134,483143273
 1135,228897474
 1136,130781812
 1137,250524902
 1138,516655277
 1139,544403959
 1140,365551694
 1141,520348410
 1142,513154428
 1143,472613529
 1144,411872382
 1145,177100591
 1146,242326568
 1147,432539531
 1148,194864374
 1149,420669799
 1150,242740249
 1151,494672624
 1152,29281084
 1153,263436059
 1154,68773096
 1155,520019609
 1156,483594237
 1157,13063043
 1158,109535865
 1159,183158089
 1160,548710899
 1161,172106491
 1162,107028808
 1163,205714214
 1164,335606226
 1165,45463197
 1166,108949632
 1167,272782
 1168,143633944
 1169,482985290
 1170,445214944
 1171,108560937
 1172,42907219
 1173,393760738
 1174,322626673
 1175,394405768
 1176,129323769
 1177,141324802
 1178,199892356
 1179,313768600
 1180,237603755
 1181,252576366
 1182,349219267
 1183,133190632
 1184,228503679
 1185,332852843
 1186,321225831
 1187,543965758
 1188,76261285
 1189,81661286
 1190,82005237
 1191,280655073
 1192,214262613
 1193,489652669
 1194,58618630
 1195,290561831
 1196,523977042
 1197,356159556
 1198,500321837
 1199,232598954
 1200,203095641
 1201,165471517
 1202,467591037
 1203,178765860
 1204,54635590
 1205,89127450
 1206,411619809
 1207,207596136
 1208,554883113
 1209,415864308
 1210,307481063
 1211,316429382
 1212,451740335
 1213,815980
 1214,486202612
 1215,513252605
 1216,471630062
 1217,173178561
 1218,50170046
 1219,101303033
 1220,89206025
 1221,84089604
 1222,206226063
 1223,494075738
 1224,280684022
 1225,32414327
 1226,139573875
 1227,474853573
 1228,433805313
 1229,327011895
 1230,216658116
 1231,93366592
 1232,174720082
 1233,229764027
 1234,518485348
 1235,180731563
 1236,400823538
 1237,540558651
 1238,348191682
 1239,220404723
 1240,196113563
 1241,303442721
 1242,71854767
 1243,161233690
 1244,80075513
 1245,156063978
 1246,52091661
 1247,311361379
 1248,164934260
 1249,204651751
 1250,230172018
 1251,471206500
 1252,163953907
 1253,186537971
 1254,490777558
 1255,465431898
 1256,117018393
 1257,67888629
 1258,399737356
 1259,266537331
 1260,28455756
 1261,36910781
 1262,190715112
 1263,237598918
 1264,129410862
 1265,129515734
 1266,98040787
 1267,125253345
 1268,375910314
 1269,542339644
 1270,425367256
 1271,426703823
 1272,392467828
 1273,261894848
 1274,557373898
 1275,493884973
 1276,72808451
 1277,184789648
 1278,558790835
 1279,361591570
 1280,202382208
 1281,456582547
 1282,240043365
 1283,360227191
 1284,430989017
 1285,228435721
 1286,85538384
 1287,92428758
 1288,68489886
 1289,484135697
 1290,99011449
 1291,277626636
 1292,275589729
 1293,55789185
 1294,60550769
 1295,520475823
 1296,548052855
 1297,204515042
 1298,44620938
 1299,523495296
 1300,311376748
 1301,124956388
 1302,74606541
 1303,439842119
 1304,154621874
 1305,399811406
 1306,122967292
 1307,342251100
 1308,30283343
 1309,42072332
 1310,540403583
 1311,250272005
 1312,527837896
 1313,126569177
 1314,484527360
 1315,522127977
 1316,4093048
 1317,552062760
 1318,334804384
 1319,79501173
 1320,453834106
 1321,330367636
 1322,197119593
 1323,219857210
 1324,355413391
 1325,238050298
 1326,78605946
 1327,137989003
 1328,332412124
 1329,477304465
 1330,164052426
 1331,115417888
 1332,20437643
 1333,542982206
 1334,322966024
 1335,257942383
 1336,542242595
 1337,162854334
 1338,72642379
 1339,430735204
 1340,511049887
 1341,390092269
 1342,287444767
 1343,156198063
 1344,380481678
 1345,91309762
 1346,166714227
 1347,512715164
 1348,208090191
 1349,513339929
 1350,175752453
 1351,233990150
 1352,189240849
 1353,121917433
 1354,382204677
 1355,420317570
 1356,422494784
 1357,113712077
 1358,174206258
 1359,520173456
 1360,33959527
 1361,334739694
 1362,274702203
 1363,356795493
 1364,448540749
 1365,273154812
 1366,173393048
 1367,267603420
 1368,423485189
 1369,125919356
 1370,194229757
 1371,339536959
 1372,251212712
 1373,475136733
 1374,358897315
 1375,122058003
 1376,328867850
 1377,265551414
 1378,52359475
 1379,358901808
 1380,2071864
 1381,270252952
 1382,186896952
 1383,139511675
 1384,546660125
 1385,495966571
 1386,477212007
 1387,283071960
 1388,182372357
 1389,152011539
 1390,238740779
 1391,5575233
 1392,132505947
 1393,224663099
 1394,457622450
 1395,405979386
 1396,358027759
 1397,37104722
 1398,448629318
 1399,15725093
 1400,444705597
 1401,237791052
 1402,322633877
 1403,110215667
 1404,521962229
 1405,331066255
 1406,288054637
 1407,471934175
 1408,263405620
 1409,152283154
 1410,82760950
 1411,79697324
 1412,177553933
 1413,92073996
 1414,155202442
 1415,431677809
 1416,434016556
 1417,438092881
 1418,274843388
 1419,289761804
 1420,94214766
 1421,549102484
 1422,80690855
 1423,462889565
 1424,553537853
 1425,71141607
 1426,479228222
 1427,291420180
 1428,47219427
 1429,487594809
 1430,9209948
 1431,127349968
 1432,183162611
 1433,343843507
 1434,158801917
 1435,213532868
 1436,549304761
 1437,171638020
 1438,305606158
 1439,377397654
 1440,7742099
 1441,436919234
 1442,30241838
 1443,145284825
 1444,152955594
 1445,131548220
 1446,242396346
 1447,422512036
 1448,341420606
 1449,278726912
 1450,463886482
 1451,30338320
 1452,335777097
 1453,173110883
 1454,101443905
 1455,447565042
 1456,213576433
 1457,295128728
 1458,367817902
 1459,381133374
 1460,379203338
 1461,281208889
 1462,497930435
 1463,528283901
 1464,396229971
 1465,69967018
 1466,261786780
 1467,209399937
 1468,543935112
 1469,162006956
 1470,251670534
 1471,163585998
 1472,309588557
 1473,205774944
 1474,437016276
 1475,151254349
 1476,194618554
 1477,127546435
 1478,513726200
 1479,458607617
 1480,37053955
 1481,276546048
 1482,17079205
 1483,233782383
 1484,333818396
 1485,540531776
 1486,36144237
 1487,177467816
 1488,125892001
 1489,535473794
 1490,182502400
 1491,366583624
 1492,545362595
 1493,262223450
 1494,341266243
 1495,277412582
 1496,233849678
 1497,265304309
 1498,39593859
 1499,182887452
 1500,148024743
 1501,415046130
 1502,358067767
 1503,298925910
 1504,112380630
 1505,155780364
 1506,280087782
 1507,113765013
 1508,457560734
 1509,127072443
 1510,266131758
 1511,211112247
 1512,228384032
 1513,133352709
 1514,304531439
 1515,435093405
 1516,453526168
 1517,447876434
 1518,423829792
 1519,169851412
 1520,466718970
 1521,137356131
 1522,282044341
 1523,476279274
 1524,128889457
 1525,311685940
 1526,431082014
 1527,526782827
 1528,245252713
 1529,346950714
 1530,363828894
 1531,214427548
 1532,241708586
 1533,156509166
 1534,130615934
 1535,543285908
 1536,419624989
 1537,511385634
 1538,439836168
 1539,406204154
 1540,558117045
 1541,76949774
 1542,24188181
 1543,370655121
 1544,549027758
 1545,551261997
 1546,189498652
 1547,385951676
 1548,3557443
 1549,388686312
 1550,253729269
 1551,117453903
 1552,358973875
 1553,438472922
 1554,47513992
 1555,87216857
 1556,110305865
 1557,428967457
 1558,254145892
 1559,212729103
 1560,254874541
 1561,373343376
 1562,407335928
 1563,239838485
 1564,159123402
 1565,286226419
 1566,110189984
 1567,317544581
 1568,519774687
 1569,249296958
 1570,458599535
 1571,111894674
 1572,430980198
 1573,434048920
 1574,142121240
 1575,167028262
 1576,477087578
 1577,54622950
 1578,313367850
 1579,260755003
 1580,394693032
 1581,536882037
 1582,392689248
 1583,6772099
 1584,180522325
 1585,35808436
 1586,125461603
 1587,237980250
 1588,548202001
 1589,212569663
 1590,403217392
 1591,100930286
 1592,381633812
 1593,211304018
 1594,314991491
 1595,55181375
 1596,307647561
 1597,367013717
 1598,433715476
 1599,116650893
 1600,403596793
 1601,459518816
 1602,132808377
 1603,419092358
 1604,101914740
 1605,180604079
 1606,308712902
 1607,189140183
 1608,385097534
 1609,194605170
 1610,104142885
 1611,47883776
 1612,64946611
 1613,483558456
 1614,223444031
 1615,29513267
 1616,425542171
 1617,376448874
 1618,237578482
 1619,5680916
 1620,16019769
 1621,541294457
 1622,349365770
 1623,79647640
 1624,167986110
 1625,374536750
 1626,471350247
 1627,457611787
 1628,251160007
 1629,236977366
 1630,58764616
 1631,11787131
 1632,178218906
 1633,149366066
 1634,403801200
 1635,37064089
 1636,78563714
 1637,525479982
 1638,256863591
 1639,438457495
 1640,494227307
 1641,422161180
 1642,449523734
 1643,68293182
 1644,61245515
 1645,284419367
 1646,186226704
 1647,448850998
 1648,197934521
 1649,226878987
 1650,142817298
 1651,243900701
 1652,336225024
 1653,438202445
 1654,93423128
 1655,264163400
 1656,427304272
 1657,92052153
 1658,426255055
 1659,422498996
 1660,379626556
 1661,74100832
 1662,111629285
 1663,116687659
 1664,246968192
 1665,281696486
 1666,364785974
 1667,55018694
 1668,23283709
 1669,503507217
 1670,86836499
 1671,355174805
 1672,455290651
 1673,24204920
 1674,329890392
 1675,370984463
 1676,473755254
 1677,254697303
 1678,299497070
 1679,254157787
 1680,304667758
 1681,398401644
 1682,465666216
 1683,342062482
 1684,84502512
 1685,529141686
 1686,551485045
 1687,65915749
 1688,125076464
 1689,119281342
 1690,11382577
 1691,375180948
 1692,101766042
 1693,519692286
 1694,9982115
 1695,274017564
 1696,531654940
 1697,179277957
 1698,524719690
 1699,355073701
 1700,195876364
 1701,377519288
 1702,547501141
 1703,193896471
 1704,436715266
 1705,551264447
 1706,513942101
 1707,103486104
 1708,548288282
 1709,216541063
 1710,249092545
 1711,349615755
 1712,160466333
 1713,311419655
 1714,281365239
 1715,435187350
 1716,340483918
 1717,397905537
 1718,234913400
 1719,360861541
 1720,441168722
 1721,301750724
 1722,307196980
 1723,164602712
 1724,493146936
 1725,439822305
 1726,293642332
 1727,196510060
 1728,176177937
 1729,334544350
 1730,266668971
 1731,83662972
 1732,422312988
 1733,197134009
 1734,16953513
 1735,205318442
 1736,266785010
 1737,414537460
 1738,393091137
 1739,430776777
 1740,26311354
 1741,392432079
 1742,295349186
 1743,246132827
 1744,538863684
 1745,555590724
 1746,62221221
 1747,319726702
 1748,513165515
 1749,233910587
 1750,122881191
 1751,447771135
 1752,346310982
 1753,356077748
 1754,159239388
 1755,22534305
 1756,213061363
 1757,497480099
 1758,136939002
 1759,62644501
 1760,187955427
 1761,519816668
 1762,539657205
 1763,180998091
 1764,342129671
 1765,198571314
 1766,105822590
 1767,538451133
 1768,507037115
 1769,254720706
 1770,32903314
 1771,219480940
 1772,308241740
 1773,269314067
 1774,203697535
 1775,66270115
 1776,355892839
 1777,8664078
 1778,375515132
 1779,128355206
 1780,366512630
 1781,479529627
 1782,502708432
 1783,397136218
 1784,140920976
 1785,97003391
 1786,337225489
 1787,372806447
 1788,511840060
 1789,42143218
 1790,559060845
 1791,487731486
 1792,108063217
 1793,79998039
 1794,533469870
 1795,60809483
 1796,135005689
 1797,112161591
 1798,119265264
 1799,476992074
 1800,474435985
 1801,459172734
 1802,368160165
 1803,105416369
 1804,348108499
 1805,527181159
 1806,277214257
 1807,311388619
 1808,67561596
 1809,398537920
 1810,87601533
 1811,7938955
 1812,44693026
 1813,309132604
 1814,86879411
 1815,12243165
 1816,298773778
 1817,79532116
 1818,334933085
 1819,204891056
 1820,27071270
 1821,326365955
 1822,188274512
 1823,417535882
 1824,207144700
 1825,67162434
 1826,21136547
 1827,367909619
 1828,166358644
 1829,151978827
 1830,256257676
 1831,532379581
 1832,517152347
 1833,69233342
 1834,76066990
 1835,139945448
 1836,358721964
 1837,486235292
 1838,164307733
 1839,288637747
 1840,10491505
 1841,477405178
 1842,357302078
 1843,530483194
 1844,218025908
 1845,347035657
 1846,545088416
 1847,180169900
 1848,354639925
 1849,134939176
 1850,270203137
 1851,163476220
 1852,434493607
 1853,78771301
 1854,243031130
 1855,373813301
 1856,223449037
 1857,506601623
 1858,454818044
 1859,463012591
 1860,250034117
 1861,336575905
 1862,161253365
 1863,433786544
 1864,162683730
 1865,61236111
 1866,531065779
 1867,493087005
 1868,71691162
 1869,84624613
 1870,67116858
 1871,357326526
