ID,TIPO,NOMBRE
89,Miembro comunidad,Livin
90,Empreza vivienda univercitaria,El Mono
91,Miembro comunidad,SisTrans
92,Hostal,Operaciones b
93,Miembro comunidad,Uni
94,vecino,Operaciones b
95,vecino,Avianca
96,Hotel,Uni
97,Empreza vivienda univercitaria,Hilton
98,Hostal,City U 
99,Empreza vivienda univercitaria,Livin
100,Hotel,Hilton
101,Hostal,El Mono
102,Miembro comunidad,SeneK
103,vecino,Operaciones b
104,vecino,Operaciones b
105,vecino,Panamericana
106,Miembro comunidad,SisTrans
107,vecino,Livin
108,Hotel,Uni
109,vecino,El sol
110,vecino,Livin
111,Miembro comunidad,Uni
112,Miembro comunidad,Panamericana
113,vecino,Livin
114,Miembro comunidad,Uni
115,Empreza vivienda univercitaria,Avianca
116,Empreza vivienda univercitaria,Uni
117,Empreza vivienda univercitaria,Panamericana
118,Hotel,Livin
119,Empreza vivienda univercitaria,Tostao
120,Miembro comunidad,Unal
121,vecino,Avianca
122,Hostal,Avianca
123,Miembro comunidad,Operaciones b
124,Hotel,SeneK
125,Hostal,Livin
126,Miembro comunidad,Livin
127,Hostal,Operaciones b
128,vecino,Uni
129,Hotel,Unal
130,Hotel,Livin
131,vecino,City U 
132,Hostal,Avianca
133,Miembro comunidad,Operaciones b
134,Miembro comunidad,Hilton
135,Miembro comunidad,Hilton
136,vecino,Panamericana
137,Hotel,El Mono
138,vecino,SisTrans
139,vecino,Hilton
140,Empreza vivienda univercitaria,Tostao
141,Empreza vivienda univercitaria,SeneK
142,vecino,Avianca
143,Hotel,SeneK
144,vecino,Tostao
145,Empreza vivienda univercitaria,SeneK
146,Hostal,Tostao
147,vecino,Panamericana
148,Miembro comunidad,El Mono
149,Hostal,Panamericana
150,vecino,Uni
151,vecino,Unal
152,vecino,Livin
153,vecino,Uni
154,vecino,SeneK
155,Empreza vivienda univercitaria,El sol
156,Empreza vivienda univercitaria,City U 
157,Hostal,Uni
158,Miembro comunidad,Tostao
159,Miembro comunidad,City U 
160,Hostal,Operaciones b
161,vecino,Unal
162,vecino,Panamericana
163,vecino,Panamericana
164,Empreza vivienda univercitaria,City U 
165,Empreza vivienda univercitaria,Panamericana
166,Hostal,City U 
167,Miembro comunidad,SeneK
168,Hotel,City U 
169,Empreza vivienda univercitaria,SeneK
170,vecino,Unal
171,Hotel,Uni
172,Empreza vivienda univercitaria,El Mono
173,Hotel,Tostao
174,vecino,El sol
175,vecino,Unal
176,Empreza vivienda univercitaria,El sol
177,Empreza vivienda univercitaria,City U 
178,vecino,SisTrans
179,vecino,Panamericana
180,Empreza vivienda univercitaria,Uni
181,vecino,Panamericana
182,Empreza vivienda univercitaria,Tostao
183,Miembro comunidad,Operaciones b
184,vecino,Unal
185,Empreza vivienda univercitaria,City U 
186,Empreza vivienda univercitaria,El sol
187,Hotel,City U 
188,Miembro comunidad,Avianca
189,Miembro comunidad,El Mono
190,Hostal,Tostao
191,vecino,Tostao
192,Empreza vivienda univercitaria,Operaciones b
193,Miembro comunidad,SeneK
194,Empreza vivienda univercitaria,Tostao
195,Empreza vivienda univercitaria,SisTrans
196,Hotel,Uni
197,vecino,Unal
198,Empreza vivienda univercitaria,Livin
199,Empreza vivienda univercitaria,Operaciones b
200,vecino,Tostao
201,Empreza vivienda univercitaria,Uni
202,Hotel,Uni
203,Hotel,SisTrans
204,Hostal,City U 
205,Hotel,SeneK
206,Hostal,El Mono
207,Hotel,Uni
208,Empreza vivienda univercitaria,Unal
209,Hostal,El sol
210,Hotel,Livin
211,Hostal,SisTrans
212,Empreza vivienda univercitaria,Avianca
213,Miembro comunidad,SeneK
214,Hotel,El sol
215,vecino,SisTrans
216,Hotel,Livin
217,Miembro comunidad,Uni
218,Hotel,SeneK
219,Miembro comunidad,SeneK
220,Hotel,Panamericana
221,Miembro comunidad,Livin
222,Hostal,Avianca
223,vecino,Hilton
224,Hotel,Operaciones b
225,vecino,City U 
226,Hotel,Hilton
227,Miembro comunidad,Uni
228,Empreza vivienda univercitaria,Hilton
229,Miembro comunidad,Hilton
230,Hotel,Unal
231,vecino,Panamericana
232,Hotel,City U 
233,vecino,Hilton
234,Miembro comunidad,El Mono
235,Miembro comunidad,Tostao
236,Miembro comunidad,Hilton
237,Hostal,Panamericana
238,Miembro comunidad,Panamericana
239,Empreza vivienda univercitaria,Uni
240,Miembro comunidad,City U 
241,Hotel,Hilton
242,Hostal,Unal
243,Empreza vivienda univercitaria,El sol
244,vecino,Unal
245,Empreza vivienda univercitaria,El Mono
246,Hotel,Livin
247,Hotel,Tostao
248,Miembro comunidad,El sol
249,Hotel,Tostao
250,Empreza vivienda univercitaria,Unal
251,Hostal,El sol
252,Hotel,Avianca
253,vecino,Unal
254,Hotel,Livin
255,Hotel,El Mono
256,Hostal,SisTrans
257,Miembro comunidad,Uni
258,Empreza vivienda univercitaria,SisTrans
259,Hostal,Tostao
260,Empreza vivienda univercitaria,Operaciones b
261,Hostal,Livin
262,Empreza vivienda univercitaria,Operaciones b
263,Hotel,Tostao
264,Empreza vivienda univercitaria,Operaciones b
265,Empreza vivienda univercitaria,Uni
266,vecino,Livin
267,vecino,Unal
268,Hotel,Hilton
269,Hotel,SeneK
270,vecino,Panamericana
271,vecino,Hilton
272,vecino,El Mono
273,Hotel,Panamericana
274,Miembro comunidad,Tostao
275,Empreza vivienda univercitaria,SisTrans
276,Miembro comunidad,SisTrans
277,vecino,El sol
278,Hostal,SisTrans
279,Miembro comunidad,Hilton
280,Hotel,Panamericana
281,Miembro comunidad,Tostao
282,Hostal,Hilton
283,Hostal,El Mono
284,Empreza vivienda univercitaria,City U 
285,Hotel,Livin
286,Hostal,City U 
287,vecino,SisTrans
288,Empreza vivienda univercitaria,Operaciones b
289,vecino,Operaciones b
290,Hostal,Uni
291,Miembro comunidad,El sol
292,vecino,Tostao
293,Empreza vivienda univercitaria,El sol
294,Empreza vivienda univercitaria,Tostao
295,Miembro comunidad,El sol
296,vecino,Hilton
297,Empreza vivienda univercitaria,City U 
298,vecino,Uni
299,vecino,El sol
300,Empreza vivienda univercitaria,El Mono
301,vecino,Uni
302,Hotel,Hilton
303,Miembro comunidad,Livin
304,vecino,Uni
305,Hostal,Uni
306,vecino,Hilton
307,Empreza vivienda univercitaria,Avianca
308,Miembro comunidad,Avianca
309,Hotel,SisTrans
310,Empreza vivienda univercitaria,El Mono
311,Hotel,Avianca
312,Empreza vivienda univercitaria,Unal
313,Hotel,Operaciones b
314,Miembro comunidad,Avianca
315,Miembro comunidad,Operaciones b
316,Miembro comunidad,City U 
317,Miembro comunidad,Operaciones b
318,Hotel,Uni
319,vecino,El sol
320,Hotel,Avianca
321,Hotel,Uni
322,Hotel,Avianca
323,Empreza vivienda univercitaria,City U 
324,Hotel,Hilton
325,Hostal,City U 
326,vecino,Livin
327,Empreza vivienda univercitaria,Uni
328,Hotel,Panamericana
329,Hotel,Hilton
330,Hostal,Uni
331,Miembro comunidad,SeneK
332,Hostal,SisTrans
333,Hotel,El Mono
334,Miembro comunidad,Unal
335,vecino,Panamericana
336,Hostal,SeneK
337,Hostal,Operaciones b
338,Miembro comunidad,Uni
339,Hostal,Hilton
340,Hotel,Unal
341,Miembro comunidad,Livin
342,Empreza vivienda univercitaria,Panamericana
343,Hostal,Unal
344,Hotel,Livin
345,Hotel,Avianca
346,Empreza vivienda univercitaria,Tostao
347,Miembro comunidad,Operaciones b
348,Hotel,Unal
349,Miembro comunidad,Tostao
350,Hotel,Tostao
351,Hotel,Panamericana
352,Miembro comunidad,El Mono
353,Hostal,Panamericana
354,Miembro comunidad,Tostao
355,Hostal,El sol
356,Miembro comunidad,El Mono
357,Empreza vivienda univercitaria,Unal
358,Empreza vivienda univercitaria,SisTrans
359,Hostal,SisTrans
360,Empreza vivienda univercitaria,Unal
361,Miembro comunidad,Panamericana
362,Miembro comunidad,Livin
363,Hostal,SisTrans
364,Empreza vivienda univercitaria,Livin
365,Hostal,Operaciones b
366,vecino,Panamericana
367,Miembro comunidad,SeneK
368,vecino,Panamericana
369,Hotel,Operaciones b
370,Hostal,City U 
371,Hotel,Uni
372,Empreza vivienda univercitaria,Tostao
373,Miembro comunidad,Unal
374,Empreza vivienda univercitaria,Operaciones b
375,Hotel,Hilton
376,Empreza vivienda univercitaria,Tostao
377,Miembro comunidad,Livin
378,vecino,Livin
379,Miembro comunidad,Unal
380,Hostal,Avianca
381,vecino,City U 
382,Miembro comunidad,Hilton
383,Hotel,El sol
384,Empreza vivienda univercitaria,Operaciones b
385,Hotel,Panamericana
386,Empreza vivienda univercitaria,Livin
387,Miembro comunidad,Panamericana
388,Hotel,SeneK
389,Hotel,SeneK
390,vecino,El sol
391,Miembro comunidad,City U 
392,Empreza vivienda univercitaria,City U 
393,Miembro comunidad,Unal
394,Miembro comunidad,Livin
395,Miembro comunidad,Tostao
396,Miembro comunidad,Operaciones b
397,Hostal,SeneK
398,Hostal,Unal
399,Hotel,SeneK
400,Hostal,Operaciones b
401,vecino,Operaciones b
402,Empreza vivienda univercitaria,El sol
403,vecino,Uni
404,vecino,Avianca
405,Hostal,Unal
406,Hostal,SisTrans
407,vecino,El Mono
408,Miembro comunidad,Unal
409,vecino,Panamericana
410,Hostal,El Mono
411,Hostal,Operaciones b
412,Miembro comunidad,Panamericana
413,Empreza vivienda univercitaria,City U 
414,vecino,Operaciones b
415,Hostal,Hilton
416,Miembro comunidad,Uni
417,vecino,El sol
418,Empreza vivienda univercitaria,Livin
419,vecino,City U 
420,Empreza vivienda univercitaria,Tostao
421,Empreza vivienda univercitaria,Operaciones b
422,Hotel,City U 
423,Hotel,Operaciones b
424,Empreza vivienda univercitaria,El sol
425,Hostal,Tostao
426,Hotel,SisTrans
427,Empreza vivienda univercitaria,Hilton
428,Miembro comunidad,SisTrans
429,Empreza vivienda univercitaria,Hilton
430,Hostal,Livin
431,vecino,Unal
432,Hostal,SisTrans
433,Miembro comunidad,Panamericana
434,Hotel,El sol
435,Hotel,Unal
436,Hostal,Panamericana
437,Empreza vivienda univercitaria,Operaciones b
438,vecino,Avianca
439,Hotel,Avianca
440,Hostal,Unal
441,Empreza vivienda univercitaria,City U 
442,Hostal,El sol
443,Hostal,SisTrans
444,Miembro comunidad,Operaciones b
445,Hotel,SisTrans
446,Hotel,Uni
447,vecino,Tostao
448,Hostal,El sol
449,Hostal,Uni
450,Hotel,Tostao
451,vecino,SeneK
452,Hotel,Operaciones b
453,vecino,Unal
454,Hotel,El sol
455,Hotel,Operaciones b
456,Hotel,El sol
457,Hotel,Unal
458,Miembro comunidad,Avianca
459,Hotel,City U 
460,vecino,Tostao
461,Miembro comunidad,Livin
462,Empreza vivienda univercitaria,Uni
463,Empreza vivienda univercitaria,Tostao
464,vecino,Avianca
465,Empreza vivienda univercitaria,Livin
466,vecino,Livin
467,Empreza vivienda univercitaria,SisTrans
468,vecino,City U 
469,Miembro comunidad,Avianca
470,Hostal,SisTrans
471,vecino,Operaciones b
472,Empreza vivienda univercitaria,Unal
473,Miembro comunidad,SeneK
474,Hotel,Livin
475,Hostal,Hilton
476,Miembro comunidad,Operaciones b
477,vecino,SisTrans
478,Empreza vivienda univercitaria,SisTrans
479,Hostal,City U 
480,Empreza vivienda univercitaria,El sol
481,Miembro comunidad,Panamericana
482,vecino,Unal
483,Empreza vivienda univercitaria,Unal
484,Hostal,El Mono
485,Hostal,Tostao
486,Hostal,El sol
487,Empreza vivienda univercitaria,Uni
488,Hostal,Panamericana
489,vecino,SisTrans
490,vecino,SisTrans
491,Miembro comunidad,SeneK
492,Empreza vivienda univercitaria,SisTrans
493,Hotel,Avianca
494,Empreza vivienda univercitaria,Tostao
495,vecino,Panamericana
496,Hotel,El sol
497,vecino,Unal
498,Hostal,Unal
499,Hotel,SeneK
500,vecino,City U 
501,Hostal,Livin
502,Hostal,Avianca
503,Hostal,El Mono
504,Hostal,Tostao
505,Empreza vivienda univercitaria,Unal
506,Miembro comunidad,El sol
507,vecino,Hilton
508,Empreza vivienda univercitaria,SisTrans
509,Miembro comunidad,City U 
510,Hostal,Livin
511,Miembro comunidad,City U 
512,Hotel,Panamericana
513,vecino,El sol
514,vecino,Avianca
515,Miembro comunidad,Tostao
516,Hostal,Operaciones b
517,Empreza vivienda univercitaria,Uni
518,Hotel,City U 
519,Miembro comunidad,SisTrans
520,Hostal,City U 
521,Hotel,SeneK
522,Empreza vivienda univercitaria,SisTrans
523,vecino,Uni
524,Empreza vivienda univercitaria,Hilton
525,Miembro comunidad,City U 
526,Hostal,El sol
527,Empreza vivienda univercitaria,Avianca
528,Empreza vivienda univercitaria,El Mono
529,Miembro comunidad,SisTrans
530,Hotel,Uni
531,Empreza vivienda univercitaria,Hilton
532,Hostal,SisTrans
533,Hotel,El Mono
534,Hotel,Livin
535,Empreza vivienda univercitaria,SeneK
536,Empreza vivienda univercitaria,Hilton
537,Miembro comunidad,SeneK
538,Hostal,Avianca
539,Empreza vivienda univercitaria,Avianca
540,Hostal,Livin
541,Empreza vivienda univercitaria,Panamericana
542,Hotel,Hilton
543,Hostal,SeneK
544,Hostal,Tostao
545,Hotel,City U 
546,Miembro comunidad,Unal
547,Miembro comunidad,Hilton
548,Hostal,City U 
549,Hotel,Hilton
550,Hostal,SeneK
551,Hotel,SeneK
552,Empreza vivienda univercitaria,Operaciones b
553,Miembro comunidad,Uni
554,Empreza vivienda univercitaria,Livin
555,Hotel,Livin
556,Empreza vivienda univercitaria,Uni
557,vecino,Avianca
558,Hotel,El Mono
559,vecino,Hilton
560,Hotel,Operaciones b
561,Hotel,Tostao
562,Miembro comunidad,Avianca
563,Empreza vivienda univercitaria,Panamericana
564,Empreza vivienda univercitaria,Avianca
565,Hostal,Hilton
566,Hostal,Unal
567,Hostal,El sol
568,Hostal,El sol
569,Hostal,Operaciones b
570,Empreza vivienda univercitaria,City U 
571,Empreza vivienda univercitaria,Uni
572,vecino,Tostao
573,Miembro comunidad,Livin
574,Hotel,Panamericana
575,Miembro comunidad,SeneK
576,Empreza vivienda univercitaria,Operaciones b
577,Hostal,Panamericana
578,Hotel,El Mono
579,Hostal,City U 
580,Hostal,SeneK
581,Empreza vivienda univercitaria,Panamericana
582,Miembro comunidad,Operaciones b
583,vecino,Panamericana
584,Hostal,Uni
585,vecino,Tostao
586,Hostal,Livin
587,Hostal,Uni
588,vecino,SeneK
589,Hostal,Unal
590,Miembro comunidad,Tostao
591,Empreza vivienda univercitaria,El Mono
592,Empreza vivienda univercitaria,SisTrans
593,Hostal,Panamericana
594,Miembro comunidad,Livin
595,Hotel,SeneK
596,Hotel,Unal
597,Miembro comunidad,Panamericana
598,Hostal,Avianca
599,Miembro comunidad,Uni
600,Hotel,Avianca
601,Miembro comunidad,El sol
602,Miembro comunidad,SisTrans
603,vecino,Livin
604,Hotel,Tostao
605,Empreza vivienda univercitaria,Panamericana
606,Empreza vivienda univercitaria,Panamericana
607,Hostal,SisTrans
608,vecino,City U 
609,Miembro comunidad,Uni
610,vecino,City U 
611,Hotel,Hilton
612,Hotel,SisTrans
613,vecino,City U 
614,vecino,City U 
615,Hotel,City U 
616,Hostal,SisTrans
617,vecino,Uni
618,Hostal,El sol
619,vecino,Tostao
620,Hotel,Unal
621,Empreza vivienda univercitaria,SisTrans
622,Empreza vivienda univercitaria,Unal
623,Empreza vivienda univercitaria,Unal
624,Empreza vivienda univercitaria,Avianca
625,Miembro comunidad,SeneK
626,Empreza vivienda univercitaria,SeneK
627,Hostal,Panamericana
628,Miembro comunidad,Avianca
629,Hostal,Avianca
630,Hotel,El sol
631,Hostal,Panamericana
632,Miembro comunidad,SeneK
633,Empreza vivienda univercitaria,Hilton
634,Empreza vivienda univercitaria,Hilton
635,Empreza vivienda univercitaria,Livin
636,vecino,Panamericana
637,Hotel,El sol
638,Hotel,Tostao
639,Hotel,Tostao
640,Miembro comunidad,Livin
641,Miembro comunidad,Uni
642,Miembro comunidad,Tostao
643,Miembro comunidad,Livin
644,Empreza vivienda univercitaria,Livin
645,vecino,El Mono
646,Empreza vivienda univercitaria,Avianca
647,Miembro comunidad,Operaciones b
648,Miembro comunidad,SisTrans
649,Empreza vivienda univercitaria,Tostao
650,vecino,El sol
651,vecino,Livin
652,Miembro comunidad,Operaciones b
653,Empreza vivienda univercitaria,Avianca
654,Hostal,City U 
655,Miembro comunidad,SeneK
656,Hostal,El sol
657,Hostal,SeneK
658,Empreza vivienda univercitaria,Uni
659,vecino,Tostao
660,Miembro comunidad,Avianca
661,Empreza vivienda univercitaria,Panamericana
662,Miembro comunidad,Uni
663,Hotel,El Mono
664,Hotel,Operaciones b
665,Miembro comunidad,Uni
666,Hotel,Avianca
667,Hostal,Operaciones b
668,Hotel,El sol
669,vecino,Operaciones b
670,Empreza vivienda univercitaria,El Mono
671,Empreza vivienda univercitaria,City U 
672,Hotel,El Mono
673,vecino,Livin
674,Hotel,Tostao
675,Miembro comunidad,Operaciones b
676,vecino,SeneK
677,Hotel,Unal
678,Miembro comunidad,SisTrans
679,Hotel,City U 
680,Empreza vivienda univercitaria,SisTrans
681,Hotel,Panamericana
682,vecino,Uni
683,Empreza vivienda univercitaria,City U 
684,vecino,SeneK
685,vecino,SisTrans
686,Miembro comunidad,Hilton
687,vecino,City U 
688,Empreza vivienda univercitaria,Panamericana
689,Miembro comunidad,City U 
690,Empreza vivienda univercitaria,SisTrans
691,Hotel,El Mono
692,Empreza vivienda univercitaria,El sol
693,Empreza vivienda univercitaria,SeneK
694,Miembro comunidad,Operaciones b
695,Hostal,City U 
696,vecino,El sol
697,Empreza vivienda univercitaria,Panamericana
698,vecino,Livin
699,Hotel,Hilton
700,Hostal,City U 
701,Hotel,SeneK
702,Miembro comunidad,Uni
703,vecino,City U 
704,Miembro comunidad,SisTrans
705,Empreza vivienda univercitaria,Hilton
706,Empreza vivienda univercitaria,Avianca
707,Miembro comunidad,Panamericana
708,Empreza vivienda univercitaria,City U 
709,Hotel,City U 
710,Hotel,SisTrans
711,Miembro comunidad,El Mono
712,vecino,Livin
713,Hostal,City U 
714,Miembro comunidad,Livin
715,Hotel,Tostao
716,Hostal,Tostao
717,Hotel,Operaciones b
718,vecino,Livin
719,Hotel,Tostao
720,Hostal,Panamericana
721,vecino,SisTrans
722,Empreza vivienda univercitaria,SisTrans
723,Miembro comunidad,Hilton
724,vecino,Uni
725,vecino,City U 
726,Empreza vivienda univercitaria,Panamericana
727,Empreza vivienda univercitaria,Tostao
728,Miembro comunidad,SisTrans
729,Empreza vivienda univercitaria,Operaciones b
730,Miembro comunidad,Uni
731,Hotel,Livin
732,Empreza vivienda univercitaria,Livin
733,Hostal,Avianca
734,Hostal,Hilton
735,Empreza vivienda univercitaria,Avianca
736,Empreza vivienda univercitaria,City U 
737,Empreza vivienda univercitaria,Avianca
738,Empreza vivienda univercitaria,SisTrans
739,Hostal,Tostao
740,Miembro comunidad,Livin
741,vecino,Hilton
742,vecino,Panamericana
743,vecino,Uni
744,Miembro comunidad,Avianca
745,Hostal,El Mono
746,vecino,Hilton
747,Hotel,El Mono
748,Miembro comunidad,Uni
749,Hostal,Uni
750,Hostal,El sol
751,Miembro comunidad,SeneK
752,Hostal,El sol
753,Empreza vivienda univercitaria,Uni
754,Hotel,Operaciones b
755,Hostal,Panamericana
756,Hotel,El Mono
757,vecino,Panamericana
758,vecino,Panamericana
759,Miembro comunidad,Tostao
760,Miembro comunidad,City U 
761,vecino,Operaciones b
762,Hotel,City U 
763,Empreza vivienda univercitaria,Panamericana
764,Hotel,SeneK
765,Hotel,Hilton
766,vecino,SisTrans
767,Hotel,Operaciones b
768,Empreza vivienda univercitaria,SeneK
769,Hostal,City U 
770,Empreza vivienda univercitaria,Avianca
771,Hostal,Uni
772,Hotel,Uni
773,Hostal,City U 
774,Empreza vivienda univercitaria,Operaciones b
775,Hotel,SisTrans
776,Miembro comunidad,Uni
777,vecino,SeneK
778,Miembro comunidad,El sol
779,Miembro comunidad,El Mono
780,Hotel,El Mono
781,Empreza vivienda univercitaria,City U 
782,vecino,Hilton
783,Empreza vivienda univercitaria,El sol
784,Hostal,Panamericana
785,vecino,Unal
786,vecino,Unal
787,Empreza vivienda univercitaria,Livin
788,Miembro comunidad,El sol
789,Hotel,Operaciones b
790,Empreza vivienda univercitaria,Uni
791,Hotel,Panamericana
792,Hotel,El Mono
793,vecino,Uni
794,Empreza vivienda univercitaria,City U 
795,Hostal,City U 
796,Hostal,Unal
797,Miembro comunidad,Unal
798,Empreza vivienda univercitaria,Livin
799,Hostal,Operaciones b
800,vecino,Operaciones b
801,Hotel,Unal
802,Empreza vivienda univercitaria,Hilton
803,vecino,Livin
804,Miembro comunidad,El sol
805,Empreza vivienda univercitaria,SeneK
806,vecino,Livin
807,Hotel,Unal
808,Empreza vivienda univercitaria,Operaciones b
809,Miembro comunidad,Hilton
810,Hostal,Livin
811,vecino,Livin
812,Hotel,Uni
813,Miembro comunidad,SeneK
814,Miembro comunidad,El Mono
815,Empreza vivienda univercitaria,Unal
816,Hostal,Livin
817,Miembro comunidad,City U 
818,Hotel,Operaciones b
819,vecino,Uni
820,vecino,Unal
821,vecino,Avianca
822,Hostal,El sol
823,Empreza vivienda univercitaria,City U 
824,Empreza vivienda univercitaria,Avianca
825,Hotel,Livin
826,Empreza vivienda univercitaria,City U 
827,Hotel,SeneK
828,Miembro comunidad,Hilton
829,Hotel,Tostao
830,Hotel,SisTrans
831,Hostal,Hilton
832,Empreza vivienda univercitaria,SeneK
833,Hotel,Tostao
834,Miembro comunidad,SeneK
835,Hotel,Avianca
836,Hotel,Panamericana
837,vecino,El Mono
838,Miembro comunidad,SeneK
839,Miembro comunidad,El Mono
840,Empreza vivienda univercitaria,Hilton
841,Hotel,SeneK
842,Miembro comunidad,Livin
843,Empreza vivienda univercitaria,Livin
844,vecino,El sol
845,Miembro comunidad,Panamericana
846,Hostal,Unal
847,Miembro comunidad,Hilton
848,vecino,SeneK
849,Miembro comunidad,El sol
850,Hotel,Unal
851,Hotel,Avianca
852,Hotel,Panamericana
853,Empreza vivienda univercitaria,Avianca
854,Hostal,Operaciones b
855,Empreza vivienda univercitaria,Unal
856,Empreza vivienda univercitaria,Avianca
857,vecino,Panamericana
858,Miembro comunidad,El sol
859,Hostal,Hilton
860,Empreza vivienda univercitaria,City U 
861,vecino,Livin
862,Miembro comunidad,Operaciones b
863,vecino,Livin
864,Hotel,Avianca
865,vecino,El sol
866,Hostal,Avianca
867,Miembro comunidad,City U 
868,Hotel,Unal
869,Empreza vivienda univercitaria,SisTrans
870,Empreza vivienda univercitaria,El Mono
871,Empreza vivienda univercitaria,Avianca
872,vecino,Operaciones b
873,vecino,Unal
874,Hotel,Uni
875,Hotel,Uni
876,Miembro comunidad,El Mono
877,Miembro comunidad,SisTrans
878,Hostal,City U 
879,Empreza vivienda univercitaria,Uni
880,Empreza vivienda univercitaria,El sol
881,Hostal,SeneK
882,Empreza vivienda univercitaria,Avianca
883,Miembro comunidad,SeneK
884,Hotel,Uni
885,Miembro comunidad,Unal
886,Hotel,Hilton
887,Empreza vivienda univercitaria,SisTrans
888,Miembro comunidad,El sol
889,Miembro comunidad,El Mono
890,Empreza vivienda univercitaria,City U 
891,Hotel,Hilton
892,vecino,City U 
893,Hostal,Tostao
894,Hostal,Uni
895,Empreza vivienda univercitaria,Avianca
896,Empreza vivienda univercitaria,El sol
897,Empreza vivienda univercitaria,El sol
898,vecino,Panamericana
899,Hostal,Avianca
900,Miembro comunidad,El Mono
901,Hotel,Avianca
902,Hostal,Avianca
903,vecino,Uni
904,Miembro comunidad,Avianca
905,vecino,El sol
906,Empreza vivienda univercitaria,Livin
907,Empreza vivienda univercitaria,SeneK
908,Empreza vivienda univercitaria,SeneK
909,vecino,Unal
910,vecino,Uni
911,Hostal,Panamericana
912,Miembro comunidad,Livin
913,vecino,Panamericana
914,Miembro comunidad,Livin
915,Hotel,City U 
916,Miembro comunidad,El sol
917,Empreza vivienda univercitaria,El sol
918,Miembro comunidad,Panamericana
919,Empreza vivienda univercitaria,SeneK
920,Miembro comunidad,El Mono
921,Hotel,City U 
922,Miembro comunidad,El Mono
923,vecino,Avianca
924,Hotel,El Mono
925,vecino,Tostao
926,Empreza vivienda univercitaria,Panamericana
927,Empreza vivienda univercitaria,Operaciones b
928,Miembro comunidad,Uni
929,Hostal,El Mono
930,Hotel,Uni
931,Empreza vivienda univercitaria,Operaciones b
932,vecino,Operaciones b
933,Hostal,El Mono
934,Empreza vivienda univercitaria,Tostao
935,Hostal,Avianca
936,Hotel,Unal
937,Hostal,Panamericana
938,Hostal,El Mono
939,Empreza vivienda univercitaria,Hilton
940,Hostal,Unal
941,Hotel,City U 
942,vecino,Hilton
943,Hostal,Livin
944,Miembro comunidad,Avianca
945,Hostal,Avianca
946,Hotel,Panamericana
947,Empreza vivienda univercitaria,Uni
948,Miembro comunidad,Operaciones b
949,Hostal,El sol
950,vecino,SeneK
951,Hostal,Tostao
952,Hotel,Unal
953,vecino,Livin
954,Empreza vivienda univercitaria,Operaciones b
955,Hostal,El sol
956,Hostal,Tostao
957,vecino,El sol
958,Hostal,SisTrans
959,vecino,El Mono
960,vecino,El Mono
961,Hotel,El sol
962,Empreza vivienda univercitaria,Avianca
