ID, NOMBRE, REGISTROCAMARACOMERCIO, TIENESALAESTUDIO, TIENESALAESPARCIMIENTO, TIENEGIMNASIO, TIENERESTAURANTE 
 rutrum a Cras,50687 West Cyprus St.,79,79,0,1,0,1
 Phasellus augue Nunc,42813  Cambodia Ln.,80,80,1,1,0,1
 sapien ligula arcu,25537  Canada Ave.,81,81,0,0,1,1
 vel cursus dictum,57998  Darlington Blvd.,82,82,0,0,1,1
 viverra pretium nunc,4032 South Seychelles Blvd.,83,83,1,1,1,1
 Quisque Mauris ante,43105 East Cape Verde Ln.,84,84,1,0,0,0
 Donec pede mattis,94284  Boulder Ln.,85,85,1,0,0,0
 sapien nascetur interdum,15204 East Mauritania Blvd.,86,86,0,1,1,0
 cubilia neque velit,47247 South Guatemala Way,87,87,0,1,1,1
 Aenean mollis eu,12516 South Uruguay Ct.,88,88,0,0,1,1
 pulvinar non placerat,15152  Morocco Blvd.,89,89,1,1,0,0
 Proin purus eget,88616 West Mauritius Ln.,90,90,1,1,1,0
 sit ullamcorper neque,7831 South Methuen St.,91,91,1,1,0,0
 aliquet ligula imperdiet,22715  French Polynesia Way,92,92,0,1,0,0
 natoque nostra In,21580  Afghanistan St.,93,93,1,0,1,1
 nunc litora amet,46614 South Belarus St.,94,94,1,1,0,1
 mi malesuada magna,32476 South Evansville Ln.,95,95,1,1,1,0
 sem Suspendisse vitae,19021  Djibouti Ave.,96,96,0,1,0,1
 pretium Class hendrerit,3246 North Belgium St.,97,97,0,0,0,0
 imperdiet sit taciti,75243 West Butler Blvd.,98,98,1,1,1,1
 habitant Aliquam pellentesque,48721 North Azerbaijan Way,99,99,0,1,0,1
 nulla natoque litora,23685 East Honduras St.,100,100,0,1,0,1
 ipsum venenatis ipsum,66673 West Port Orford St.,101,101,1,1,0,0
 blandit rutrum tincidunt,4024  Bahrain Ln.,102,102,1,1,0,0
 pulvinar aliquet semper,71114 East Beaumont St.,103,103,1,0,0,1
 penatibus sit pretium,40096 North Alameda Ct.,104,104,0,0,1,1
 Suspendisse sollicitudin nostra,81066 West Honduras St.,105,105,1,1,1,1
 Cum purus adipiscing,5573  Indonesia Ct.,106,106,1,0,0,0
 montes at tincidunt,32210 South France Way,107,107,0,1,0,1
 sit primis ornare,56109 West El Segundo Ave.,108,108,1,0,0,1
 fames commodo Nulla,90922 West Liechtenstein Way,109,109,1,0,0,1
 turpis taciti tortor,86858 West Boulder Ave.,110,110,0,0,1,1
 Maecenas ac molestie,7713 South Chad St.,111,111,0,1,1,0
 sociis Aliquam condimentum,38795 West Diamond Bar Ave.,112,112,0,0,1,0
 quam arcu sed,77397 North Algeria Way,113,113,1,0,1,0
 posuere vehicula est,17592 South Tokelau Blvd.,114,114,0,0,0,0
 consequat iaculis nec,93179 South East Rutherford Blvd.,115,115,1,1,1,0
 arcu suscipit habitant,71436 West Cudahy St.,116,116,0,0,0,1
 orci massa felis,79931 West Peru Way,117,117,0,1,1,0
 mus ipsum enim,11849 East Grambling Ct.,118,118,1,0,0,1
 nibh Donec venenatis,62313  Alpharetta Blvd.,119,119,0,1,0,0
 senectus velit convallis,47586 West Fresno Way,120,120,0,1,1,1
 ornare neque habitant,57541 West China Way,121,121,1,0,0,0
 laoreet scelerisque turpis,67592  Lesotho St.,122,122,0,1,0,1
 Donec cubilia ullamcorper,67474 South Romania Ave.,123,123,1,1,0,0
 habitant pharetra parturient,81117 South Chile Way,124,124,0,0,0,0
 Quisque molestie Duis,13015 West Argentina Way,125,125,1,1,0,1
 enim ultricies adipiscing,20265 East Council Bluffs Blvd.,126,126,1,0,1,1
 placerat varius ultrices,68130 East Ireland Ct.,127,127,0,0,1,1
 justo facilisi rhoncus,32337  Alamogordo Ave.,128,128,1,0,1,1
 volutpat Donec mauris,81799 East Columbus Way,129,129,0,1,0,0
 dictum nulla eu,64889 East Brazil Blvd.,130,130,1,1,1,0
 nec magna Cras,94971 South Chile Ct.,131,131,1,0,1,0
 condimentum viverra porta,15296 North Tajikistan Way,132,132,1,0,1,1
 Phasellus Curae odio,27955 West Antigua and Barbuda Ln.,133,133,0,1,1,0
 ut nostra et,86521 West Dominica St.,134,134,0,1,1,1
 inceptos fermentum metus,12302 West Cambodia Ln.,135,135,0,0,0,0
 senectus tempor eget,81410 West Carolina Way,136,136,1,0,1,1
 dignissim faucibus turpis,78459 West British Indian Ocean Territory Way,137,137,0,1,0,1
 Etiam hendrerit venenatis,41184 South Cayman Islands Ct.,138,138,0,1,0,0
 fringilla convallis risus,5992 North Afghanistan Blvd.,139,139,0,0,1,1
 venenatis dignissim lobortis,61418 East Gallup Way,140,140,0,0,1,1
 dapibus iaculis sociis,70108 South Laramie Ct.,141,141,1,0,1,0
 cubilia montes Duis,90093 North Albania Ave.,142,142,0,0,1,1
 Vivamus mauris semper,90815  Iceland Way,143,143,1,1,1,1
 ut elit varius,56425 East Slovakia Ave.,144,144,1,1,1,1
 diam facilisis laoreet,63900 South Evansville St.,145,145,0,1,0,0
 iaculis Nam at,144 West Belize Ln.,146,146,1,1,0,1
 sollicitudin libero egestas,7858 North Glens Falls Ave.,147,147,0,0,0,1
 vitae mus ante,26724  Chile Ct.,148,148,1,1,0,1
 tempor dui commodo,20311 East Colombia Ave.,149,149,0,0,1,0
 primis bibendum orci,77007 West Botswana Ave.,150,150,1,1,0,0
 sed interdum nascetur,48279 West Serbia and Montenegro Ave.,151,151,1,0,0,1
 posuere semper blandit,93265  Malden Ln.,152,152,0,0,0,1
 per Integer in,3974 East Palos Verdes Estates Way,153,153,0,1,1,0
 ante consectetuer tempus,73072 East Iran, Islamic Republic of Way,154,154,1,0,1,1
 natoque torquent Vivamus,27427 North Maldives Ln.,155,155,1,1,0,1
 vulputate quam inceptos,8190  Brunei Darussalam Ln.,156,156,0,0,0,1
 Quisque Phasellus enim,33194  Grenada St.,157,157,0,0,1,0
 Nulla penatibus pulvinar,79957 South Sweden Blvd.,158,158,1,1,1,0
 quam ipsum Praesent,10155  Fernley Blvd.,159,159,0,1,1,1
 consectetuer neque bibendum,30828 North Benin Ln.,160,160,0,1,1,1
 semper conubia purus,6302 West Denmark Way,161,161,1,1,0,1
 Praesent ligula urna,63935 North Uganda Ct.,162,162,1,0,0,1
 Vivamus auctor leo,17002 South Clarksburg Way,163,163,0,0,1,1
 semper primis enim,8114 South Berlin St.,164,164,0,0,0,1
 molestie venenatis Nulla,88248 South Elkhart St.,165,165,0,1,0,0
 vulputate sodales tempus,10273 South Tonga Ave.,166,166,0,0,0,0
 dolor Vivamus vitae,77894 North Samoa Ave.,167,167,1,0,0,1
 aliquam libero pharetra,82226  Belarus Ave.,168,168,1,0,1,1
 sit erat aliquam,19080 West Chile Way,169,169,1,0,0,1
 Aenean nunc Etiam,8825 West Charlotte St.,170,170,1,0,0,0
 diam magna quis,34367 North Netherlands Way,171,171,0,1,0,1
 Lorem Cras parturient,59669  American Samoa Ln.,172,172,1,1,0,1
 orci cubilia aptent,24372 West Clearwater St.,173,173,1,0,0,1
 auctor montes aliquam,38277  Venezuela Ave.,174,174,0,1,1,1
 viverra molestie facilisi,30192 North Bhutan Ct.,175,175,1,0,1,0
 ligula Maecenas diam,25795 North Hermosa Beach Blvd.,176,176,1,1,1,1
 Aliquam dignissim imperdiet,86660 East Timor-leste Ave.,177,177,1,0,0,1
 penatibus erat lacinia,52049 South Ghana Ct.,178,178,0,0,1,1
 Nullam facilisi enim,33613 West Czech Republic St.,179,179,0,0,1,0
 rhoncus placerat eu,93389 East Congo Blvd.,180,180,1,1,1,1
 gravida commodo magna,31975 East Carson Ln.,181,181,1,1,1,1
 ac Duis diam,81240 East Comoros Ave.,182,182,1,0,0,0
 ac venenatis Aenean,23851 West China Ct.,183,183,0,1,1,1
 pellentesque fringilla lacinia,45823 East Dayton Ave.,184,184,1,0,1,0
 laoreet Lorem porta,82318 North Morocco Way,185,185,1,1,1,0
 egestas aliquam sollicitudin,92252 North Zambia Blvd.,186,186,0,0,0,1
 morbi congue penatibus,7154  Guayama Way,187,187,1,1,0,0
 ligula odio venenatis,7539  Isle of Palms Ave.,188,188,0,1,1,0
 senectus ligula primis,29706 South Bulgaria Ln.,189,189,0,1,1,1
 tristique morbi tellus,28214 East Cameroon Ct.,190,190,1,0,0,1
 eros parturient facilisis,5419 North Klamath Falls St.,191,191,0,1,1,0
 elit faucibus magnis,32450 South Fort Dodge Ave.,192,192,0,0,1,1
 Integer adipiscing tellus,77846 East Sudan Way,193,193,1,0,1,1
 primis Aliquam Morbi,27834 South Fiji Way,194,194,0,1,0,1
 luctus mauris Etiam,83898 North Tuvalu Ct.,195,195,0,0,0,1
 viverra bibendum rhoncus,2103 South Chad St.,196,196,1,0,0,0
 mollis ullamcorper lectus,84566 North Chad Ct.,197,197,1,0,1,0
 turpis volutpat lectus,38944 North Beacon Ave.,198,198,1,1,1,0
 vehicula lacinia morbi,62961 South Bermuda Ct.,199,199,1,0,0,0
 sed morbi Vestibulum,53657 East Christmas Island St.,200,200,1,0,0,0
 natoque ligula interdum,67765  Samoa Ln.,201,201,1,1,1,1
 Aenean Suspendisse parturient,43094 South Bangladesh Ct.,202,202,1,0,1,0
 mi accumsan lectus,20947 West Kiribati Blvd.,203,203,0,0,0,1
 orci odio Quisque,40546  Florence Ln.,204,204,1,0,1,0
 mi natoque vulputate,41125 East Homer Ave.,205,205,1,0,0,1
 laoreet Curabitur neque,97399  Indonesia St.,206,206,1,0,0,1
 Nam varius Nullam,98145  Azerbaijan Way,207,207,0,1,0,1
 Nullam vestibulum parturient,36757 North El Salvador Blvd.,208,208,1,1,0,0
 elementum interdum aliquet,65460  Bangor St.,209,209,1,1,0,1
 tincidunt sagittis quis,21959 East Burundi Blvd.,210,210,0,0,1,0
 dis massa tempus,20421 West Russian Federation Blvd.,211,211,1,0,0,0
 facilisi morbi taciti,71546 South United Arab Emirates Ln.,212,212,0,1,1,1
 adipiscing ipsum netus,84804 East Barbados Ln.,213,213,0,1,0,0
 congue Vestibulum aptent,41132  Belarus Ave.,214,214,0,0,0,1
 penatibus Proin hendrerit,23540 East Greece Way,215,215,1,1,1,1
 mus montes ac,78953  French Guiana Ct.,216,216,1,1,0,1
 condimentum Ut rutrum,42014 North Haiti Way,217,217,0,1,0,0
 nostra Phasellus lacinia,90607 North Antarctica Ave.,218,218,1,0,1,1
 consequat per Ut,45914  Djibouti Ct.,219,219,1,0,1,0
 montes semper ad,18394 North Broken Arrow Ln.,220,220,0,0,0,1
 luctus auctor turpis,90743 East Zimbabwe Blvd.,221,221,1,1,1,1
 accumsan ac torquent,96701 East China Blvd.,222,222,0,1,1,0
 conubia vestibulum purus,79249 North Bermuda Ln.,223,223,0,1,0,1
 Nam sociis ultricies,19732  Italy Ave.,224,224,0,1,1,1
 eros pretium turpis,61822 East Monaco Ave.,225,225,1,0,0,1
 fermentum taciti egestas,19505 West Senegal Blvd.,226,226,1,0,1,0
 Quisque fermentum Vivamus,64352  Korea, Republic of Ln.,227,227,0,0,1,1
 euismod natoque dui,35500 North Gabon Ln.,228,228,1,0,1,0
 sociosqu risus posuere,11305  Astoria Ave.,229,229,0,0,1,1
 orci est magnis,950 West Cook Islands Ct.,230,230,1,1,0,0
 Nulla libero parturient,82389 North Burkina Faso Blvd.,231,231,1,0,1,0
 sapien tristique tellus,73148 South Gabon Ln.,232,232,0,0,0,0
 dolor mattis vel,42305 South Korea, Republic of Ln.,233,233,1,1,0,0
 cubilia nunc vel,78389 East Helena Blvd.,234,234,1,0,0,1
 Pellentesque consectetuer Lorem,98617 West Agawam Ct.,235,235,0,1,1,0
 quis ipsum Praesent,54353 North Commerce Ave.,236,236,1,1,1,1
 eros imperdiet Donec,99760 West Fort Lauderdale St.,237,237,1,0,0,1
 erat conubia nulla,73677 West Evansville Way,238,238,0,1,1,1
 Ut sapien Nulla,95892 East Netherlands Way,239,239,0,0,1,1
 tellus Nunc vestibulum,65549 South Chile Ct.,240,240,1,1,1,0
 condimentum odio tristique,13656 East Hutchinson Ct.,241,241,0,0,0,0
 sagittis venenatis mauris,5629 North Canada Blvd.,242,242,1,1,1,1
 Praesent sollicitudin tellus,7302 West Croatia St.,243,243,0,1,1,1
 ante lobortis nonummy,7287  Sao Tome and Principe Ct.,244,244,1,1,0,1
 euismod per sapien,89865 East Amesbury Way,245,245,1,0,0,1
 litora congue nulla,13108 South Bellingham Ave.,246,246,1,1,0,1
 Cras Curae taciti,40801 East Parkersburg Blvd.,247,247,1,1,0,0
 morbi facilisi Etiam,55802 North Belarus Ln.,248,248,1,0,0,1
 senectus ligula condimentum,41651 East Ogden Way,249,249,1,0,0,1
 sit taciti Quisque,94422  Fort Lauderdale Ct.,250,250,0,0,1,1
 hendrerit lectus Fusce,11252 North Faroe Islands Blvd.,251,251,0,1,1,1
 porta pellentesque erat,43617 South Ireland Ct.,252,252,1,1,1,0
 euismod sed bibendum,15016 North Andorra Way,253,253,1,1,1,1
 lectus nostra faucibus,49349 North Netherlands Antilles Way,254,254,0,0,1,0
 quis torquent ultricies,98046  Russian Federation Way,255,255,0,1,0,0
 felis nascetur elit,9942 East Portugal Ct.,256,256,1,0,0,0
 dictum Ut lacinia,21217  Cayman Islands Way,257,257,0,0,1,0
 nonummy montes eu,2927  Covington St.,258,258,1,1,1,0
 rhoncus magna egestas,36180  Liberia Ave.,259,259,0,0,1,1
 ante placerat eget,74058 East Austria St.,260,260,1,0,1,1
 Etiam pulvinar nisi,55559 East Brazil Ln.,261,261,1,1,1,1
 tempus mus pulvinar,38645 South Azerbaijan Blvd.,262,262,1,0,0,0
 massa Nulla non,79270 West Davenport Ln.,263,263,1,0,0,1
 lobortis cubilia quam,43666 North Argentina Way,264,264,0,0,1,0
 magna condimentum ullamcorper,13566  Slovenia Blvd.,265,265,0,0,0,0
 porta nec dapibus,49336 South Hong Kong Way,266,266,0,0,0,0
 Maecenas commodo ullamcorper,68334 South Congo Ct.,267,267,0,1,1,1
 egestas tristique Praesent,70738 East China Ave.,268,268,1,1,0,1
 congue mollis tellus,78723 West Egypt Way,269,269,1,1,0,0
 blandit Integer dapibus,35539  North Pole St.,270,270,0,1,1,1
 leo magna Nam,80583 West Carrollton Way,271,271,0,1,1,0
 condimentum rutrum sagittis,13225 North Boulder St.,272,272,1,1,1,1
 conubia adipiscing pretium,35899 North Burkina Faso St.,273,273,1,1,0,1
 tellus Duis lacus,97402  Latvia Ave.,274,274,1,1,0,1
 dictum eleifend amet,34758 East Indonesia Blvd.,275,275,0,0,1,1
 Cum pretium arcu,13384 East Eureka Ln.,276,276,1,1,0,0
 arcu adipiscing pede,38066 South Azerbaijan Ave.,277,277,0,1,1,0
 auctor adipiscing blandit,86238  Thailand Ct.,278,278,1,1,1,0
 risus eleifend dis,20380 West Brunei Darussalam Way,279,279,0,1,1,0
 primis sodales turpis,55245 South Pakistan Way,280,280,1,1,1,1
 Aliquam risus dignissim,27272  Niger St.,281,281,1,0,0,1
 faucibus velit sodales,53420 West Brunei Darussalam St.,282,282,0,0,1,1
 vitae placerat semper,2692 East Congo St.,283,283,0,0,0,0
 congue molestie libero,88271 East Mequon Ave.,284,284,0,0,0,1
 felis ultrices primis,13010 East Frederick Blvd.,285,285,0,0,1,1
 consectetuer dapibus nunc,74837 East Israel Ct.,286,286,1,1,0,1
 volutpat adipiscing quis,54709 East Martinique Ave.,287,287,1,0,1,0
 urna mi velit,44267  Luxembourg Ln.,288,288,1,1,0,1
 netus fermentum ligula,85778 South Mali Ln.,289,289,0,1,1,0
 Pellentesque rutrum torquent,72720 North Ghana Blvd.,290,290,0,0,1,0
 torquent Cras nostra,45707 South Andorra Ave.,291,291,1,0,0,1
 consequat arcu Etiam,90368 West Chicopee Way,292,292,1,0,1,0
 est natoque pretium,14195 South Belgium Way,293,293,0,0,0,0
 dis et molestie,18274 South Armenia Ave.,294,294,1,0,0,1
 semper nisl volutpat,54293 West France Ln.,295,295,0,0,0,1
 ridiculus consequat sodales,37586 South Jordan Way,296,296,0,1,1,1
 auctor nonummy convallis,93438 North Aruba Blvd.,297,297,0,1,0,0
 facilisi Nunc Sed,47593 South Moldova Blvd.,298,298,1,1,0,0
 fermentum venenatis hendrerit,36800 East Kazakhstan Ct.,299,299,1,0,0,1
 et justo hymenaeos,83358 East Pico Rivera St.,300,300,1,0,0,1
 diam porttitor Etiam,53677 West Albania Ln.,301,301,0,0,0,1
 Lorem mattis felis,77489 North Slovakia St.,302,302,1,1,0,0
 habitant mi varius,86201 North American Samoa Ave.,303,303,0,1,0,1
 fringilla dolor vestibulum,71664 South Belarus Way,304,304,1,1,1,1
 justo sagittis a,88312 West Ireland Way,305,305,1,1,0,1
 libero tellus facilisis,36373 East Eritrea St.,306,306,1,0,1,1
 tellus sodales Class,15322 East Saint Pierre and Miquelon Way,307,307,1,1,0,1
 tincidunt augue Class,56124 South Algeria Ln.,308,308,0,0,1,0
 pharetra blandit justo,78194 East Iraq Ct.,309,309,1,1,0,1
 primis per scelerisque,62499  Kemmerer Ave.,310,310,0,0,1,1
 viverra nostra amet,16042 North Guam Ln.,311,311,0,1,1,1
 aliquam tellus ornare,6426 South Everett St.,312,312,0,1,0,1
 dictum Etiam vel,55619 North Anguilla Ave.,313,313,0,0,0,0
 Duis dictum Vivamus,10674 West Brigham City Ct.,314,314,0,0,0,1
 elementum consequat id,42705 East Aruba Blvd.,315,315,0,0,1,0
 Cum odio fames,49333 East Tunisia Ct.,316,316,1,0,0,0
 magna in fermentum,69155 West Anguilla Ave.,317,317,0,1,0,1
 morbi Morbi dictum,43260 North Papua New Guinea Ln.,318,318,1,0,1,1
 dignissim eleifend tristique,59000 West El Salvador Ct.,319,319,1,0,1,1
 velit sapien Fusce,18004 West Venezuela Way,320,320,1,1,1,1
 dictum felis magnis,91626  Algeria Way,321,321,0,1,0,0
 arcu sed Mauris,35588 East Tanzania, United Republic of St.,322,322,1,1,1,1
 venenatis ipsum at,36599  Charleston Way,323,323,1,1,0,0
 libero quis euismod,92180 West Bulgaria Blvd.,324,324,1,0,0,0
 malesuada penatibus ultricies,52719 North Cook Islands Ct.,325,325,1,0,1,1
 mollis posuere euismod,91919 South Madagascar Blvd.,326,326,1,1,0,1
 convallis mollis nisl,3183 North Alexandria Ct.,327,327,1,1,0,1
 Proin lobortis fringilla,82183 West Cayman Islands Way,328,328,0,0,0,1
 elit egestas eros,81385 West Morocco Way,329,329,1,1,1,1
 suscipit vitae adipiscing,49051 North Gambia Ln.,330,330,1,0,0,0
 vel cubilia quam,85517  Fiji Blvd.,331,331,0,1,0,1
 hendrerit arcu tempus,3977 North Mozambique Ln.,332,332,1,0,0,0
 diam Proin pellentesque,83290 West Turkmenistan Blvd.,333,333,1,1,1,0
 Vestibulum sociis sollicitudin,84708 East Antarctica Ave.,334,334,1,0,0,1
 orci metus imperdiet,77366 North Singapore Ave.,335,335,1,0,0,0
 ante fames aptent,24865 East Norfolk Island Ave.,336,336,1,1,1,1
 a nibh Fusce,27423 North Andorra St.,337,337,1,0,1,1
 Fusce condimentum pede,74663 East Marshfield St.,338,338,1,1,1,1
 est ac magnis,50974  Kearney Ct.,339,339,0,0,0,0
 mauris risus eleifend,24021 North Mayotte Way,340,340,1,0,0,1
 ut ante Nulla,5347 East Kent St.,341,341,1,1,1,0
 tincidunt risus adipiscing,9009 West Austria Ave.,342,342,0,0,0,1
 in torquent velit,68953 South Barbados Ave.,343,343,1,0,1,1
 lacinia condimentum velit,28917 South Wallis and Futuna Ln.,344,344,0,1,0,1
 aliquet vitae lacus,72195 South American Samoa Ln.,345,345,0,0,1,1
 aptent enim consectetuer,42877 North Comoros Way,346,346,0,1,1,0
 habitant Ut mus,65548 West Ecuador Blvd.,347,347,0,0,1,0
 nascetur est velit,69382  Fiji Ln.,348,348,0,0,1,1
 ad tristique dapibus,8422 South Solomon Islands St.,349,349,0,1,1,1
 feugiat porttitor interdum,94103 North Brazil St.,350,350,0,0,1,0
 pulvinar neque netus,79519 South Mozambique Ave.,351,351,0,1,0,0
 porttitor dignissim lectus,9567 East Djibouti Way,352,352,0,0,0,1
 eu viverra mi,9306 South Congo Ct.,353,353,1,0,1,0
 pede Sed Duis,27779 South Turkey Ave.,354,354,1,0,1,1
 lorem ligula netus,95665  South Georgia and The South Sandwich Islands St.,355,355,1,1,1,0
 scelerisque Pellentesque massa,86353 North Comoros Ln.,356,356,1,0,0,1
 quam tempus sapien,98835 North Belize Ct.,357,357,1,0,1,1
 tortor magna aptent,5061 North Denmark Ave.,358,358,0,0,1,0
 netus inceptos cubilia,31526 West Papua New Guinea St.,359,359,1,1,0,1
 fringilla sed feugiat,29508 North Pakistan Ave.,360,360,0,0,0,0
 libero ornare nascetur,5869 East Canada Ln.,361,361,0,0,0,0
 mi Nulla semper,56522  Cambodia St.,362,362,0,0,1,1
 eleifend elementum quam,26486 West South Georgia and The South Sandwich Islands Ln.,363,363,1,1,1,0
 posuere a viverra,80195 North Citrus Heights Way,364,364,0,0,0,0
 leo ullamcorper nascetur,75312 East Uruguay Ct.,365,365,1,1,0,1
 fames feugiat Sed,30012 East Iran, Islamic Republic of Ln.,366,366,0,1,1,0
 per convallis lacus,74363  Honduras Ct.,367,367,0,1,1,1
 nisi nec nascetur,20516 North San Marino Ave.,368,368,0,1,1,0
 ut augue lectus,80914  Cambodia Ct.,369,369,1,1,1,1
 dis Fusce pellentesque,26821  Azerbaijan Blvd.,370,370,0,0,1,0
 rhoncus Aenean condimentum,1717 West Honduras Ln.,371,371,1,1,0,1
 vehicula facilisi sit,53883 West Viet Nam Ave.,372,372,1,1,1,0
 elit eget aliquet,34205 North Daly City Blvd.,373,373,1,0,0,1
 conubia suscipit erat,98891 South Venezuela Blvd.,374,374,0,1,1,0
 senectus consequat tempor,11135  Cameroon Ln.,375,375,1,1,1,1
 malesuada hendrerit tortor,31157  Antarctica Blvd.,376,376,1,0,1,1
