PRECIO,CAPACIDAD,UBICACION,TAMANIO,NUMERO
4052364,2,ultimo piso,107,128
4442500,4,ultimo piso,155,129
6369161,2,piso intermedio,89,130
427558,3,primer piso,151,131
725345,2,piso intermedio,196,132
4381181,2,ultimo piso,137,133
5524240,1,ultimo piso,94,134
113391,4,primer piso,125,135
6465518,4,ultimo piso,191,136
2082140,1,piso intermedio,161,137
2833295,3,primer piso,164,138
5535196,4,primer piso,133,139
2712710,2,ultimo piso,142,140
5212176,4,ultimo piso,180,141
4465982,1,primer piso,71,142
3513710,2,ultimo piso,124,143
6737350,1,primer piso,131,144
2285768,2,ultimo piso,76,145
4653128,2,primer piso,199,146
1626434,3,ultimo piso,100,147
5703319,2,primer piso,133,148
4196638,1,primer piso,196,149
2476046,4,piso intermedio,83,150
6019209,1,piso intermedio,184,151
3883737,1,piso intermedio,185,152
2482349,4,piso intermedio,141,153
4358883,2,primer piso,165,154
850791,1,primer piso,144,155
4562759,2,ultimo piso,83,156
4065830,3,ultimo piso,189,157
2106433,3,primer piso,159,158
1529955,1,primer piso,190,159
5482962,1,primer piso,124,160
1591938,1,primer piso,140,161
2263065,3,piso intermedio,141,162
2714079,4,ultimo piso,151,163
472185,2,primer piso,92,164
2959831,3,piso intermedio,77,165
4003560,3,primer piso,130,166
2113297,2,ultimo piso,170,167
6873215,4,primer piso,162,168
3117599,2,piso intermedio,75,169
6959147,3,ultimo piso,81,170
2648451,4,primer piso,85,171
4231035,2,piso intermedio,151,172
6149835,1,ultimo piso,147,173
5437094,4,piso intermedio,76,174
3021525,4,piso intermedio,161,175
2816389,1,piso intermedio,200,176
196099,1,primer piso,109,177
5966871,2,ultimo piso,156,178
2119193,3,ultimo piso,144,179
5522782,1,ultimo piso,192,180
3277443,4,ultimo piso,149,181
387365,3,ultimo piso,199,182
6852701,3,ultimo piso,76,183
4241892,3,primer piso,181,184
6029121,3,primer piso,97,185
3648947,2,primer piso,177,186
1837072,3,piso intermedio,105,187
1802504,1,piso intermedio,189,188
1905340,2,ultimo piso,162,189
4461550,4,piso intermedio,93,190
2946691,2,primer piso,120,191
6409796,2,primer piso,193,192
3467139,1,piso intermedio,115,193
1135270,4,ultimo piso,159,194
4833768,4,piso intermedio,110,195
459047,2,ultimo piso,153,196
6560936,2,piso intermedio,73,197
4843545,2,piso intermedio,156,198
2690942,4,primer piso,75,199
6054231,4,primer piso,131,200
667802,3,ultimo piso,76,201
3137337,4,ultimo piso,200,202
1862690,1,ultimo piso,176,203
6858601,2,primer piso,128,204
6516768,1,primer piso,97,205
5756880,2,ultimo piso,138,206
3269581,4,primer piso,118,207
6723944,4,piso intermedio,107,208
2326838,2,primer piso,161,209
3533449,2,primer piso,107,210
4307112,4,primer piso,182,211
1157973,1,ultimo piso,186,212
353008,4,piso intermedio,112,213
3653180,1,ultimo piso,107,214
6323933,2,piso intermedio,142,215
5140898,4,piso intermedio,71,216
1709807,3,ultimo piso,121,217
1759527,3,primer piso,110,218
1387533,4,piso intermedio,79,219
6768901,1,ultimo piso,173,220
3203286,2,piso intermedio,142,221
5487351,1,primer piso,144,222
6978233,2,primer piso,92,223
4831369,1,ultimo piso,107,224
2125347,1,primer piso,199,225
590539,4,primer piso,172,226
6241696,2,primer piso,129,227
2437877,3,primer piso,113,228
6493188,1,piso intermedio,140,229
124667,4,piso intermedio,79,230
1698201,3,ultimo piso,75,231
6650699,3,piso intermedio,191,232
5194354,3,piso intermedio,159,233
4220770,2,piso intermedio,86,234
516386,2,primer piso,137,235
3537245,1,ultimo piso,194,236
5982804,4,piso intermedio,140,237
6120899,4,ultimo piso,148,238
4575109,4,piso intermedio,106,239
5924885,2,piso intermedio,195,240
1800172,2,ultimo piso,77,241
3059184,2,ultimo piso,162,242
5003942,4,primer piso,113,243
4893857,1,piso intermedio,176,244
5507142,3,ultimo piso,183,245
3704646,1,primer piso,136,246
6645400,2,ultimo piso,136,247
5754890,3,piso intermedio,166,248
4529758,1,piso intermedio,104,249
3424379,1,ultimo piso,163,250
799044,3,ultimo piso,138,251
2513023,3,piso intermedio,166,252
6190881,1,primer piso,109,253
6972435,3,piso intermedio,131,254
2934098,1,primer piso,90,255
3741664,3,ultimo piso,175,256
263477,1,primer piso,175,257
6829236,1,primer piso,200,258
6842326,1,ultimo piso,162,259
5216108,4,piso intermedio,129,260
4690095,1,piso intermedio,155,261
517668,1,ultimo piso,173,262
1628443,4,ultimo piso,138,263
6078266,2,piso intermedio,111,264
5008824,1,primer piso,152,265
6609449,4,primer piso,100,266
2266509,2,piso intermedio,115,267
3120926,3,primer piso,119,268
3537340,2,piso intermedio,88,269
4682304,1,piso intermedio,79,270
3958874,3,piso intermedio,72,271
1243330,2,primer piso,105,272
2271953,1,primer piso,158,273
2439431,2,primer piso,75,274
540020,3,primer piso,83,275
4040257,2,primer piso,144,276
2653625,3,primer piso,84,277
1990152,4,piso intermedio,195,278
2082179,3,ultimo piso,171,279
1273570,4,ultimo piso,89,280
3741277,3,ultimo piso,195,281
3602481,3,ultimo piso,76,282
1918657,1,piso intermedio,112,283
2049052,1,primer piso,200,284
3973255,4,piso intermedio,163,285
4735983,4,ultimo piso,185,286
5409918,1,primer piso,182,287
1798351,3,ultimo piso,153,288
1864849,2,piso intermedio,197,289
4062130,3,piso intermedio,166,290
4185363,3,piso intermedio,78,291
664979,3,piso intermedio,125,292
1168428,1,piso intermedio,107,293
1722102,1,piso intermedio,195,294
4431787,1,ultimo piso,134,295
2829808,3,primer piso,77,296
2875083,3,ultimo piso,94,297
4629451,1,primer piso,146,298
1003478,1,primer piso,80,299
3115666,1,piso intermedio,191,300
3209298,2,primer piso,115,301
4971413,4,ultimo piso,92,302
6124048,3,ultimo piso,129,303
6222763,3,primer piso,168,304
2629991,3,primer piso,106,305
1326257,1,ultimo piso,77,306
462856,3,ultimo piso,82,307
6106277,2,ultimo piso,89,308
3084037,4,piso intermedio,102,309
180547,4,ultimo piso,80,310
5705969,2,primer piso,110,311
1129067,1,piso intermedio,146,312
2214231,4,ultimo piso,140,313
6867213,3,ultimo piso,162,314
4777407,4,piso intermedio,96,315
5419789,2,ultimo piso,121,316
2363862,4,ultimo piso,149,317
936757,4,piso intermedio,148,318
3194775,3,piso intermedio,169,319
220098,4,piso intermedio,195,320
2520820,3,primer piso,133,321
2322825,3,ultimo piso,78,322
5601148,3,ultimo piso,144,323
3130740,4,piso intermedio,141,324
845023,2,primer piso,154,325
2292040,2,ultimo piso,123,326
1570291,2,primer piso,179,327
1232229,4,piso intermedio,200,328
3061373,2,piso intermedio,114,329
5450236,3,piso intermedio,76,330
5046958,2,piso intermedio,144,331
3618676,2,piso intermedio,77,332
1662049,4,primer piso,86,333
4397864,4,piso intermedio,134,334
6410858,3,primer piso,107,335
3972060,1,ultimo piso,133,336
5092356,2,piso intermedio,162,337
1345150,4,ultimo piso,87,338
2054241,2,ultimo piso,152,339
5652607,1,ultimo piso,179,340
3717130,4,primer piso,187,341
5394153,4,piso intermedio,142,342
4604151,2,ultimo piso,138,343
1643704,3,ultimo piso,111,344
4882146,4,piso intermedio,120,345
548262,3,piso intermedio,138,346
260802,4,piso intermedio,156,347
162381,2,primer piso,195,348
5483381,3,ultimo piso,142,349
5457062,1,primer piso,121,350
4721629,3,primer piso,101,351
5014330,2,piso intermedio,83,352
1289788,2,primer piso,92,353
6306493,2,piso intermedio,190,354
1209463,2,ultimo piso,78,355
1411517,4,primer piso,138,356
3182817,1,piso intermedio,72,357
4953163,4,primer piso,170,358
5425862,3,piso intermedio,117,359
6193503,3,primer piso,136,360
4510792,2,primer piso,116,361
6671458,4,piso intermedio,161,362
1445872,4,ultimo piso,91,363
923952,2,ultimo piso,157,364
1666079,1,primer piso,172,365
1924535,1,piso intermedio,78,366
6168323,2,ultimo piso,105,367
5696407,3,primer piso,160,368
5313628,2,ultimo piso,184,369
870604,4,piso intermedio,79,370
2502021,1,primer piso,76,371
3501341,1,ultimo piso,89,372
3714587,3,ultimo piso,98,373
6038948,3,ultimo piso,136,374
6313332,2,primer piso,152,375
3454412,1,piso intermedio,97,376
6704703,2,piso intermedio,173,377
2749814,4,primer piso,119,378
6575587,2,ultimo piso,76,379
2039423,4,piso intermedio,123,380
4541515,2,ultimo piso,161,381
845416,1,piso intermedio,168,382
6611699,3,ultimo piso,126,383
4882282,4,primer piso,153,384
5143898,4,ultimo piso,108,385
4833064,1,piso intermedio,179,386
3041724,3,ultimo piso,111,387
2402280,2,piso intermedio,187,388
3734424,2,primer piso,93,389
5121520,2,ultimo piso,129,390
844053,1,primer piso,149,391
4082370,3,piso intermedio,185,392
6735932,1,ultimo piso,198,393
1234514,3,piso intermedio,133,394
6709230,2,piso intermedio,117,395
4165651,2,piso intermedio,165,396
5574910,1,primer piso,96,397
3082957,2,primer piso,116,398
5358657,1,piso intermedio,144,399
5145316,1,piso intermedio,70,400
6862316,4,piso intermedio,72,401
4724118,2,primer piso,195,402
6798788,2,piso intermedio,81,403
4576414,3,ultimo piso,182,404
6400053,4,piso intermedio,74,405
6673736,4,primer piso,87,406
3845791,4,primer piso,95,407
1031015,4,ultimo piso,146,408
5147783,4,piso intermedio,91,409
4819912,3,piso intermedio,152,410
2518227,3,ultimo piso,107,411
3830152,2,piso intermedio,116,412
727985,2,primer piso,118,413
5367044,1,ultimo piso,172,414
5575920,2,primer piso,138,415
1126726,2,piso intermedio,192,416
3101144,1,ultimo piso,92,417
4589642,1,primer piso,179,418
6831936,2,piso intermedio,139,419
4910867,1,ultimo piso,79,420
6223818,2,primer piso,134,421
479204,2,primer piso,125,422
5472389,1,piso intermedio,90,423
4228903,2,ultimo piso,79,424
4338158,2,piso intermedio,189,425
6833350,4,piso intermedio,108,426
6238301,2,ultimo piso,80,427
1728355,1,ultimo piso,119,428
6172543,3,primer piso,155,429
3957149,3,ultimo piso,70,430
6699820,3,piso intermedio,186,431
1757462,1,piso intermedio,190,432
3354586,3,primer piso,98,433
6683985,1,ultimo piso,83,434
2380777,1,ultimo piso,70,435
3910973,3,ultimo piso,199,436
1540914,2,ultimo piso,73,437
1518529,2,ultimo piso,144,438
3294359,4,primer piso,102,439
5617345,2,ultimo piso,135,440
3957623,3,piso intermedio,99,441
5459203,1,primer piso,166,442
2561535,2,piso intermedio,165,443
1178950,2,primer piso,186,444
3452043,2,ultimo piso,130,445
4744449,3,primer piso,101,446
1316368,1,piso intermedio,135,447
391498,2,primer piso,98,448
5183874,4,primer piso,135,449
3081550,2,primer piso,188,450
1581132,3,piso intermedio,174,451
2182609,3,ultimo piso,88,452
3698795,4,ultimo piso,175,453
1453301,3,primer piso,182,454
2097716,3,piso intermedio,99,455
548791,1,ultimo piso,92,456
4401611,1,primer piso,135,457
4204767,4,piso intermedio,136,458
2781952,4,piso intermedio,73,459
5174202,4,piso intermedio,104,460
4321085,2,primer piso,115,461
3942911,4,piso intermedio,165,462
733953,2,primer piso,128,463
3053317,1,piso intermedio,109,464
1000324,1,piso intermedio,192,465
5114609,3,ultimo piso,156,466
1684286,1,primer piso,189,467
1242236,2,ultimo piso,193,468
5512090,1,primer piso,109,469
2814229,1,piso intermedio,108,470
6146673,2,primer piso,182,471
4226361,4,piso intermedio,193,472
5108206,3,ultimo piso,181,473
3016594,3,ultimo piso,75,474
6737679,3,primer piso,94,475
2136377,3,ultimo piso,82,476
486102,1,piso intermedio,198,477
1081155,3,piso intermedio,123,478
5132630,2,ultimo piso,142,479
4284978,1,piso intermedio,121,480
2297908,1,primer piso,130,481
3802111,2,piso intermedio,193,482
6430804,1,primer piso,131,483
5277577,2,primer piso,94,484
3334292,4,primer piso,113,485
1102410,3,primer piso,107,486
6250673,2,piso intermedio,100,487
5797111,1,piso intermedio,71,488
6785066,4,piso intermedio,123,489
1880196,4,primer piso,70,490
1274514,1,primer piso,97,491
6668275,3,piso intermedio,147,492
1466354,4,primer piso,73,493
788575,3,primer piso,151,494
2762464,1,piso intermedio,76,495
2894527,3,primer piso,138,496
3547763,4,primer piso,142,497
1620136,4,piso intermedio,128,498
2672266,4,primer piso,182,499
6914044,1,ultimo piso,81,500
5625666,2,primer piso,118,501
5073249,2,piso intermedio,90,502
6078628,2,primer piso,91,503
5160951,1,primer piso,130,504
1237508,3,ultimo piso,182,505
5545768,2,piso intermedio,149,506
4172619,1,ultimo piso,153,507
1884762,1,piso intermedio,99,508
1896758,1,ultimo piso,160,509
6937996,3,piso intermedio,172,510
1844868,2,ultimo piso,142,511
395428,2,ultimo piso,173,512
5726922,1,piso intermedio,169,513
1127087,1,primer piso,87,514
4281538,3,piso intermedio,121,515
4249791,4,ultimo piso,140,516
4797451,2,ultimo piso,194,517
5264053,1,piso intermedio,174,518
2738197,4,primer piso,179,519
1978819,1,ultimo piso,140,520
104931,4,primer piso,118,521
1546982,2,piso intermedio,95,522
4859829,1,piso intermedio,97,523
762500,4,ultimo piso,90,524
1572318,4,piso intermedio,186,525
5713947,4,ultimo piso,112,526
5091086,4,ultimo piso,144,527
5019996,3,ultimo piso,104,528
6152186,3,piso intermedio,195,529
4753391,2,ultimo piso,128,530
237190,1,piso intermedio,146,531
3361582,4,primer piso,150,532
3673280,4,ultimo piso,163,533
4826376,2,ultimo piso,159,534
4051979,1,piso intermedio,96,535
5466279,3,primer piso,88,536
1325365,2,primer piso,95,537
5976706,3,primer piso,70,538
3007914,2,primer piso,83,539
4976083,2,primer piso,159,540
6553677,4,piso intermedio,100,541
3196287,4,primer piso,80,542
1904126,1,primer piso,148,543
990051,1,piso intermedio,126,544
6788110,3,primer piso,183,545
4228563,1,primer piso,120,546
6561453,1,ultimo piso,99,547
2664412,4,piso intermedio,177,548
6744898,2,piso intermedio,88,549
3892306,3,piso intermedio,132,550
5304430,3,primer piso,75,551
934013,3,ultimo piso,99,552
6754631,3,ultimo piso,165,553
2495373,2,primer piso,160,554
2870413,1,ultimo piso,181,555
363485,4,primer piso,82,556
1134310,2,primer piso,117,557
4445225,2,ultimo piso,195,558
2490970,2,ultimo piso,107,559
5983515,3,primer piso,101,560
4002743,4,primer piso,183,561
446383,2,ultimo piso,166,562
4753212,3,piso intermedio,73,563
3274441,3,piso intermedio,142,564
3997112,3,ultimo piso,191,565
1165101,4,primer piso,133,566
6433960,1,primer piso,79,567
4158164,1,primer piso,109,568
1711508,2,piso intermedio,196,569
5991326,1,ultimo piso,180,570
5769674,4,piso intermedio,107,571
2795441,4,ultimo piso,138,572
3703719,1,primer piso,126,573
205493,2,piso intermedio,134,574
5967815,4,piso intermedio,111,575
1350049,1,primer piso,174,576
3450396,4,piso intermedio,130,577
2173661,3,piso intermedio,92,578
4697477,2,ultimo piso,72,579
4140679,2,piso intermedio,94,580
6069251,3,primer piso,106,581
2106665,4,ultimo piso,92,582
1177759,3,primer piso,150,583
1696633,2,primer piso,168,584
3803628,2,ultimo piso,177,585
5817404,4,piso intermedio,73,586
2388606,2,primer piso,99,587
736335,3,ultimo piso,171,588
6347026,3,ultimo piso,78,589
5478394,1,ultimo piso,113,590
5903553,1,piso intermedio,99,591
6046603,4,primer piso,92,592
1836804,2,piso intermedio,71,593
2499110,3,primer piso,199,594
1250352,2,primer piso,83,595
2376414,2,piso intermedio,92,596
5772555,1,ultimo piso,88,597
2557172,4,piso intermedio,124,598
793374,2,ultimo piso,198,599
582542,1,piso intermedio,184,600
4860793,1,ultimo piso,157,601
2069947,3,ultimo piso,113,602
2632416,2,piso intermedio,115,603
2241355,3,ultimo piso,158,604
5994307,4,ultimo piso,190,605
4460117,4,ultimo piso,186,606
6810576,1,ultimo piso,181,607
4108829,1,primer piso,116,608
2441175,1,piso intermedio,134,609
2651614,3,ultimo piso,114,610
1558106,1,piso intermedio,143,611
3330309,1,piso intermedio,174,612
1377748,3,piso intermedio,166,613
327379,3,primer piso,132,614
4552439,4,piso intermedio,84,615
5319617,3,ultimo piso,157,616
6541066,4,primer piso,144,617
5740551,4,piso intermedio,149,618
203750,4,primer piso,157,619
6142236,4,primer piso,197,620
2911206,2,primer piso,78,621
1613112,2,piso intermedio,137,622
6266500,1,piso intermedio,70,623
1369682,2,piso intermedio,161,624
3695712,4,primer piso,174,625
6112098,2,piso intermedio,139,626
1771138,2,primer piso,117,627
3885395,1,piso intermedio,166,628
4959029,2,ultimo piso,103,629
6509858,3,primer piso,116,630
4162315,4,ultimo piso,125,631
3411985,3,ultimo piso,170,632
5240318,3,ultimo piso,143,633
5686879,4,piso intermedio,181,634
5578086,1,ultimo piso,89,635
810969,1,primer piso,177,636
1460461,1,piso intermedio,114,637
4283300,1,piso intermedio,96,638
3596108,1,ultimo piso,176,639
1213422,1,primer piso,181,640
5728356,2,piso intermedio,117,641
968733,1,ultimo piso,107,642
4734593,3,ultimo piso,179,643
4410158,2,ultimo piso,118,644
5614648,2,piso intermedio,106,645
1651060,4,ultimo piso,84,646
2815533,1,piso intermedio,123,647
1680382,4,primer piso,176,648
4528212,3,ultimo piso,98,649
3209519,4,ultimo piso,97,650
5814556,2,primer piso,163,651
4073270,2,primer piso,148,652
3417821,3,ultimo piso,186,653
6157174,4,piso intermedio,172,654
657820,3,piso intermedio,180,655
5990868,3,primer piso,177,656
4037225,4,primer piso,93,657
6032721,2,ultimo piso,177,658
4848596,2,piso intermedio,102,659
4701033,2,primer piso,92,660
5850511,1,piso intermedio,101,661
2882416,1,piso intermedio,188,662
2224601,4,primer piso,72,663
533307,4,ultimo piso,188,664
6567577,4,primer piso,174,665
5147723,2,piso intermedio,159,666
3650688,2,ultimo piso,136,667
5288152,4,piso intermedio,92,668
724276,2,ultimo piso,141,669
713403,2,ultimo piso,122,670
6319694,3,ultimo piso,158,671
5136134,2,ultimo piso,195,672
2294864,2,piso intermedio,99,673
4022157,3,ultimo piso,146,674
5865875,1,primer piso,74,675
1477645,3,primer piso,76,676
1254946,4,primer piso,149,677
2033974,1,piso intermedio,123,678
3291406,1,primer piso,182,679
6827955,2,primer piso,163,680
3859321,1,primer piso,109,681
2060650,3,piso intermedio,170,682
6106949,4,piso intermedio,71,683
2760457,3,ultimo piso,77,684
2953986,2,primer piso,152,685
1869693,2,ultimo piso,190,686
2195202,2,ultimo piso,113,687
6562902,3,primer piso,164,688
2750508,2,ultimo piso,88,689
5636328,4,primer piso,148,690
3633310,1,piso intermedio,194,691
2485009,2,primer piso,144,692
555571,4,primer piso,191,693
2156937,1,ultimo piso,77,694
3410883,3,ultimo piso,189,695
4426312,1,ultimo piso,176,696
3774396,3,primer piso,172,697
4049788,1,ultimo piso,142,698
1740276,1,ultimo piso,174,699
2625317,2,primer piso,169,700
5381004,2,primer piso,102,701
940738,4,piso intermedio,167,702
5419324,3,primer piso,157,703
3539717,2,ultimo piso,138,704
5346474,1,primer piso,110,705
6923816,4,piso intermedio,172,706
1720669,4,piso intermedio,148,707
3668385,4,piso intermedio,91,708
3510736,2,primer piso,108,709
5864191,3,primer piso,196,710
129810,1,primer piso,123,711
550275,4,piso intermedio,70,712
1629650,3,ultimo piso,155,713
96629,2,ultimo piso,88,714
4639158,1,ultimo piso,186,715
2313548,4,ultimo piso,116,716
4912235,3,ultimo piso,145,717
4983582,4,primer piso,94,718
6205305,4,primer piso,175,719
5745276,3,primer piso,118,720
2347534,2,primer piso,75,721
4346487,2,ultimo piso,126,722
971594,2,ultimo piso,113,723
6906301,3,ultimo piso,182,724
3794798,1,piso intermedio,194,725
1019273,4,piso intermedio,152,726
5639305,1,piso intermedio,88,727
4639015,1,primer piso,144,728
4070254,2,primer piso,187,729
3823009,4,ultimo piso,191,730
3172744,3,primer piso,83,731
2053789,1,ultimo piso,84,732
802203,4,ultimo piso,185,733
5206221,3,piso intermedio,93,734
3496249,2,ultimo piso,161,735
6781066,3,primer piso,179,736
5396646,3,piso intermedio,91,737
2658500,3,piso intermedio,154,738
3505225,2,primer piso,191,739
2292105,3,ultimo piso,82,740
5462694,1,ultimo piso,101,741
3437992,4,ultimo piso,170,742
3483983,3,piso intermedio,111,743
2675337,3,piso intermedio,107,744
3101657,3,ultimo piso,164,745
5686307,3,primer piso,126,746
6381164,1,piso intermedio,169,747
4228392,3,primer piso,133,748
5726894,4,ultimo piso,185,749
6488712,4,ultimo piso,132,750
334021,1,primer piso,105,751
772347,3,ultimo piso,185,752
2103429,2,piso intermedio,132,753
2422677,3,ultimo piso,80,754
4516733,1,piso intermedio,135,755
4878437,2,piso intermedio,155,756
2902449,3,ultimo piso,132,757
5122217,2,piso intermedio,91,758
5157786,1,ultimo piso,102,759
1280451,3,ultimo piso,200,760
6487604,4,ultimo piso,84,761
999424,1,piso intermedio,123,762
2472917,2,primer piso,184,763
284139,3,ultimo piso,116,764
2898271,1,ultimo piso,171,765
4465543,4,primer piso,136,766
117511,3,piso intermedio,98,767
156322,3,piso intermedio,171,768
6278304,1,ultimo piso,100,769
2892690,3,ultimo piso,97,770
4545590,1,piso intermedio,178,771
1598785,2,piso intermedio,121,772
6830267,3,ultimo piso,143,773
6201977,2,piso intermedio,140,774
3687942,4,ultimo piso,136,775
6387758,4,primer piso,113,776
1095076,4,primer piso,199,777
6667984,1,primer piso,140,778
1160787,2,primer piso,133,779
2153243,3,primer piso,190,780
6321147,1,piso intermedio,196,781
6348421,3,ultimo piso,124,782
3445640,1,piso intermedio,128,783
678686,2,ultimo piso,146,784
1428510,2,primer piso,199,785
4665694,3,primer piso,174,786
2032800,4,piso intermedio,110,787
641860,2,primer piso,106,788
4919228,1,primer piso,164,789
327607,4,primer piso,166,790
2547726,4,ultimo piso,182,791
6274529,1,piso intermedio,161,792
112780,4,piso intermedio,140,793
3958782,3,primer piso,94,794
1045393,4,piso intermedio,136,795
1691405,3,piso intermedio,138,796
5452448,3,primer piso,136,797
205946,1,ultimo piso,107,798
2056886,1,ultimo piso,134,799
5566099,4,primer piso,182,800
4278983,4,primer piso,143,801
5840963,3,piso intermedio,138,802
1765954,2,ultimo piso,98,803
5425731,1,piso intermedio,153,804
2717077,1,primer piso,93,805
5051181,2,piso intermedio,200,806
314832,4,ultimo piso,186,807
6741260,2,ultimo piso,172,808
500729,1,primer piso,132,809
323390,1,ultimo piso,198,810
3316618,4,primer piso,104,811
3453228,3,piso intermedio,179,812
5609445,2,piso intermedio,200,813
2247244,2,piso intermedio,190,814
2526391,1,primer piso,164,815
1609883,3,piso intermedio,137,816
4727672,1,primer piso,133,817
3721296,4,ultimo piso,128,818
3179094,1,ultimo piso,172,819
1289437,2,piso intermedio,111,820
5984988,2,piso intermedio,169,821
4186369,2,piso intermedio,78,822
4062902,4,primer piso,76,823
5122061,3,ultimo piso,178,824
6650506,3,piso intermedio,131,825
1366308,1,ultimo piso,199,826
6717306,1,ultimo piso,76,827
683981,1,piso intermedio,137,828
806218,3,piso intermedio,75,829
1481971,1,ultimo piso,180,830
5768148,4,ultimo piso,103,831
509889,3,primer piso,134,832
2746072,3,primer piso,193,833
3889846,2,piso intermedio,160,834
4973191,4,ultimo piso,174,835
4716479,1,ultimo piso,75,836
1150632,3,primer piso,170,837
6241895,1,primer piso,181,838
5314753,2,piso intermedio,143,839
6961211,3,piso intermedio,123,840
5265280,1,ultimo piso,148,841
5149578,4,primer piso,179,842
3054029,1,primer piso,182,843
3012108,3,primer piso,143,844
1017754,4,piso intermedio,136,845
5046465,3,primer piso,95,846
1748223,3,primer piso,144,847
6596943,2,piso intermedio,100,848
3501949,3,primer piso,145,849
6742768,2,ultimo piso,180,850
1551943,1,piso intermedio,95,851
1647074,4,ultimo piso,183,852
4721987,3,primer piso,93,853
423351,4,primer piso,169,854
6238490,2,primer piso,128,855
4766778,2,primer piso,85,856
4470093,1,primer piso,108,857
